"ID","rewardTrackTypeEnum","prerequisiteId","localizedTextId","localizedTextIdSummary","assetPathImage","assetPathButtonImage","rewardPointCost00","rewardPointCost01","rewardPointCost02","rewardPointCost03","rewardPointCost04","rewardPointCost05","rewardPointCost06","rewardPointCost07","rewardPointCost08","rewardPointCost09","rewardTrackIdParent","flags"
4,0,0,672272,672273,"","",1000,2000,3000,0,0,0,0,0,0,0,0,0
5,1,0,672276,672277,"","",1000,2000,3000,4000,5000,0,0,0,0,0,0,0
9,2,0,691119,691120,"MTX:UI_BK3_MTX_LoyaltyTier01","MTX:UI_BK3_MTX_LoyaltyTierIcon01",800,1600,2400,3200,3200,4000,0,0,0,0,0,1
10,2,0,691121,691122,"MTX:UI_BK3_MTX_LoyaltyTier02","MTX:UI_BK3_MTX_LoyaltyTierIcon02",1000,1000,2000,3000,4000,5000,0,0,0,0,9,1
11,2,0,691123,691124,"MTX:UI_BK3_MTX_LoyaltyTier03","MTX:UI_BK3_MTX_LoyaltyTierIcon03",3000,6000,6000,9000,12000,15000,0,0,0,0,10,1
12,2,0,691125,691126,"MTX:UI_BK3_MTX_LoyaltyTier04","MTX:UI_BK3_MTX_LoyaltyTierIcon04",11200,22400,33600,44800,56000,0,0,0,0,0,11,1
13,2,0,691127,691128,"MTX:UI_BK3_MTX_LoyaltyTier05","MTX:UI_BK3_MTX_LoyaltyTierIcon05",14000,28000,42000,56000,70000,0,0,0,0,0,12,1
14,2,0,691129,691130,"MTX:UI_BK3_MTX_LoyaltyTier06","MTX:UI_BK3_MTX_LoyaltyTierIcon06",30000,60000,60000,90000,120000,150000,0,0,0,0,13,1
15,3,0,700126,700127,"","",300,600,900,1200,0,0,0,0,0,0,0,0
16,3,0,700181,700182,"","",100,200,300,0,0,0,0,0,0,0,0,0
17,3,0,700184,700185,"","",300,600,900,1200,0,0,0,0,0,0,0,0
18,3,0,700186,700187,"","",300,600,900,1200,0,0,0,0,0,0,0,0
19,3,0,700188,700189,"","",300,600,900,1200,0,0,0,0,0,0,0,0
20,3,0,700190,700191,"","",300,600,900,1200,0,0,0,0,0,0,0,0
21,3,0,700192,700193,"","",300,600,900,1200,0,0,0,0,0,0,0,0
22,3,0,700194,700195,"","",300,600,900,1200,0,0,0,0,0,0,0,0
23,3,0,700196,700197,"","",300,600,900,1200,0,0,0,0,0,0,0,0
24,3,0,700198,700199,"","",300,600,900,1200,0,0,0,0,0,0,0,0
25,3,0,700200,700201,"","",300,600,900,1200,0,0,0,0,0,0,0,0
26,3,0,700202,700203,"","",300,600,900,1200,0,0,0,0,0,0,0,0
27,3,0,700204,700205,"","",300,600,900,1200,0,0,0,0,0,0,0,0
28,3,0,700206,700207,"","",300,600,900,1200,0,0,0,0,0,0,0,0
29,3,0,700208,700209,"","",300,600,900,1200,0,0,0,0,0,0,0,0
30,3,0,700210,700211,"","",300,600,900,1200,0,0,0,0,0,0,0,0
31,3,0,700212,700213,"","",300,600,900,1200,0,0,0,0,0,0,0,0
32,3,0,700214,700215,"","",300,600,900,1200,0,0,0,0,0,0,0,0
33,3,0,700219,700220,"","",300,600,900,1200,0,0,0,0,0,0,0,0
34,3,0,700280,700281,"","",300,600,900,1200,0,0,0,0,0,0,0,0
35,4,0,744816,744817,"","",6000000,0,0,0,0,0,0,0,0,0,0,0
36,3,0,745873,745874,"","",300,600,900,1200,0,0,0,0,0,0,0,0
38,2,0,763274,763275,"MTX:UI_BK3_MTX_LoyaltyTier07","MTX:UI_BK3_MTX_LoyaltyTierIcon07",60000,120000,180000,240000,300000,0,0,0,0,0,14,1
39,2,0,769457,769458,"MTX:UI_BK3_MTX_LoyaltyTier08","MTX:UI_BK3_MTX_LoyaltyTierIcon08",120000,240000,360000,480000,600000,0,0,0,0,0,38,1
