"ID","item2TypeId","level"
10,51,5
11,51,6
12,51,7
13,51,8
14,51,9
15,51,10
16,51,11
17,51,12
18,51,13
19,51,14
20,51,15
21,51,16
22,51,17
23,51,18
24,51,19
25,51,20
26,51,21
27,51,22
28,51,23
29,51,24
30,51,25
31,51,26
32,51,27
33,51,28
34,51,29
35,51,30
36,51,31
37,51,32
38,51,33
39,51,34
40,51,35
41,51,36
42,51,37
43,51,38
44,51,39
45,51,40
46,51,41
47,51,42
48,51,43
49,51,44
50,51,45
70,51,46
71,51,47
72,51,48
73,51,49
74,51,50
75,204,5
76,204,6
77,204,7
78,204,8
79,204,9
80,204,10
81,204,11
82,204,12
83,204,13
84,204,14
85,204,15
86,204,16
87,204,17
88,204,18
89,204,19
90,204,20
91,204,21
92,204,22
93,204,23
94,204,24
95,204,25
96,204,26
97,204,27
98,204,28
99,204,29
100,204,30
101,204,31
102,204,32
103,204,33
104,204,34
106,204,35
107,204,36
108,204,37
109,204,38
110,204,39
130,204,40
131,204,41
132,204,42
133,204,43
134,204,44
135,204,45
136,204,46
137,204,47
138,204,48
139,204,49
140,204,50
141,79,5
142,79,6
143,79,7
144,79,8
145,79,9
146,79,10
147,79,11
148,79,12
149,79,13
150,79,14
151,79,15
152,79,16
153,79,17
154,79,18
155,79,19
156,79,20
157,79,21
158,79,22
159,79,23
160,79,24
161,79,25
162,79,26
163,79,27
164,79,28
165,79,29
166,79,30
167,79,31
168,79,32
169,79,33
170,79,34
190,79,35
191,79,36
197,79,37
198,79,38
199,79,39
200,79,40
201,79,41
202,79,42
203,79,43
204,79,44
205,79,45
206,79,46
212,79,47
213,79,48
214,79,49
215,79,50
216,48,5
217,48,6
218,48,7
219,48,8
220,48,9
221,48,10
227,48,11
228,48,12
229,48,13
230,48,14
231,48,15
232,48,16
233,48,17
234,48,18
235,48,19
236,48,20
242,48,21
243,48,22
244,48,23
245,48,24
246,48,25
247,48,26
248,48,27
249,48,28
250,48,29
280,48,30
281,48,31
287,48,32
288,48,33
289,48,34
290,48,35
291,48,36
292,48,37
293,48,38
294,48,39
295,48,40
296,48,41
302,48,42
303,48,43
304,48,44
305,48,45
306,48,46
307,48,47
308,48,48
309,48,49
310,48,50
311,45,5
317,45,6
318,45,7
319,45,8
320,45,9
321,45,10
322,45,11
323,45,12
324,45,13
325,45,14
326,45,15
332,45,16
333,45,17
334,45,18
335,45,19
336,45,20
337,45,21
338,45,22
339,45,23
340,45,24
370,45,25
371,45,26
377,45,27
378,45,28
379,45,29
380,45,30
381,45,31
382,45,32
383,45,33
384,45,34
385,45,35
386,45,36
392,45,37
393,45,38
394,45,39
395,45,40
396,45,41
397,45,42
398,45,43
399,45,44
400,45,45
401,45,46
407,45,47
408,45,48
409,45,49
410,45,50
411,46,5
412,46,6
413,46,7
414,46,8
415,46,9
416,46,10
422,46,11
423,46,12
424,46,13
425,46,14
426,46,15
427,46,16
428,46,17
429,46,18
430,46,19
460,46,20
461,46,21
