"ID","count","minSize00","minSize01","minSize02","minSize03","minSize04","minSize05","minSize06","minSize07","minSize08","minSize09","minSize10","minSize11","maxSize00","maxSize01","maxSize02","maxSize03","maxSize04","maxSize05","maxSize06","maxSize07","maxSize08","maxSize09","maxSize10","maxSize11","model00","model01","model02","model03","model04","model05","model06","model07","model08","model09","model10","model11"
1,7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0,"Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_000.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_001.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_002.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_003.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_004.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_005.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_006.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_007.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_008.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_009.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track0_010.m3",""
2,5,0.2,0.4,0.5,0.4,0.4,0.4,1,1,1,1,1,1,0.4,0.5,0.7,0.5,0.6,0.5,1,1,1,1,1,1,"Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track1_000.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track1_001.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track1_002.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track1_003.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track1_004.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track1_005.m3","","","","","",""
3,6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,0.7,0.7,0.6,0.6,0.6,0.6,0.6,1,1,1,1,1,"Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track2_000.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track2_001.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track2_002.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track2_003.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track2_004.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track2_005.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track2_006.m3","","","","",""
4,6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,6,1,1,1,1,"Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track4_000.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track4_001.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track4_002.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track4_003.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track4_004.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track4_005.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track4_006.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track4_007.m3","","","",""
5,8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,"Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_000.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_001.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_002.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_003.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_004.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_005.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_006.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_007.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_008.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_009.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_010.m3","Art\Sky\Clouds\Wispy\Sky_Cloud_Wispy_Track5_011.m3"
6,7,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_000.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_001.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_002.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_003.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_004.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_005.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_006.M3","","","","",""
7,5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track1_000.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track1_001.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track1_002.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track1_003.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track1_004.M3","","","","","","",""
8,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track2_000.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track2_001.M3","","","","","","","","","",""
9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track3_000.M3","","","","","","","","","","",""
10,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track4_000.M3","","","","","","","","","","",""
