"ID","eventId","type"
2,113,1
3,122,1
4,619,6
5,22,6
6,619,6
7,619,6
8,619,6
9,840,6
10,619,6
11,22,6
12,619,6
13,0,6
15,4275,1
17,610,1
18,614,1
21,616,1
23,612,1
25,618,1
26,614,1
27,614,1
33,0,1
38,10,2
39,6255,1
40,47751,1
41,47747,1
42,617,1
43,617,1
45,8000,1
46,61053,1
47,0,1
50,0,1
51,0,1
54,0,1
56,3097,1
60,27,4
61,30,4
71,12,2
72,4112,1
73,4102,1
74,4102,1
75,4125,1
76,4125,1
77,4112,1
78,4099,1
79,4099,1
80,4125,1
81,4316,1
82,4317,1
84,0,2
85,4312,1
86,4377,1
87,4376,1
88,0,1
89,13,2
90,4962,1
91,4963,1
92,6254,1
93,25,6
96,59,6
97,700,6
98,4,2
99,3,2
100,5,2
101,6,2
102,7,2
103,8,2
104,15,2
105,6134,1
106,6133,1
107,23,3
108,22,3
109,0,2
110,0,1
111,16,2
112,6878,1
113,6877,1
114,6879,1
115,17,2
116,19,2
117,20,2
118,18,2
119,0,2
120,14,2
121,0,2
122,0,1
123,21,2
124,24,2
125,25,2
127,8748,1
128,8747,1
129,0,2
130,26,2
131,0,6
132,27,2
133,41157,1
134,41158,1
135,41155,1
136,41156,1
137,7052,1
138,7053,1
139,75,3
140,76,3
142,0,1
143,0,1
144,0,1
145,0,1
146,0,1
147,0,1
148,0,3
149,0,3
150,390,3
151,391,3
152,297,3
153,298,3
154,299,3
155,300,3
156,301,3
157,302,3
158,305,3
159,304,3
160,33,3
161,32,3
162,61244,1
163,61245,1
164,30,2
165,31,2
166,61052,1
168,61052,1
169,396,3
170,395,3
173,1293,6
174,69733,1
175,1476,6
