"ID","origin","target","qualifier","event"
1,2,0,0,7464
9,1,0,0,43868
11,1,6,0,43851
16,5,0,0,43861
17,7,0,0,43863
20,7,8,0,43865
22,1,13,0,43851
23,12,0,0,43859
24,2,8,0,7469
26,5,8,0,43861
29,15,0,0,43868
33,17,0,0,43866
35,17,9,0,43866
36,17,11,0,43867
37,19,0,0,7568
39,19,9,0,7574
40,19,11,0,7570
41,20,0,0,43866
43,20,6,0,43867
44,20,13,0,43867
46,0,3,0,7457
47,0,4,0,7460
48,0,6,0,7461
49,0,9,0,7463
50,0,13,0,7461
51,0,10,0,7462
52,0,11,0,7459
53,0,0,0,7457
54,21,3,0,4288
55,21,4,0,4289
56,21,0,0,4288
57,21,6,0,4289
58,21,9,0,4290
59,21,10,0,4288
60,21,11,0,4288
61,21,13,0,4289
63,22,0,0,43861
65,23,0,0,43863
66,24,0,0,43863
69,1,25,0,43868
71,20,25,0,43866
72,26,0,0,43866
75,28,0,0,43865
143,29,0,0,43861
152,30,0,0,43859
174,29,8,0,43861
176,32,0,0,43866
177,32,6,0,43867
178,32,13,0,43867
179,32,25,0,43866
180,33,0,0,43868
181,34,0,0,43866
184,33,6,0,43851
188,33,13,0,43851
189,33,25,0,43868
258,26,9,0,43866
260,26,11,0,43867
267,28,8,0,43865
337,7,6,0,43864
345,1,3,0,43868
346,1,4,0,43851
347,1,8,0,43869
348,1,9,0,43869
349,1,10,0,43869
350,1,11,0,43851
351,1,27,0,43869
352,2,3,0,7464
353,2,4,0,7467
354,2,6,0,7468
355,2,9,0,7470
356,2,10,0,7469
357,2,11,0,7466
358,2,13,0,7468
359,2,25,0,7465
360,2,27,0,7469
361,5,3,0,43861
362,5,4,0,43862
363,5,6,0,43862
364,5,9,0,43861
365,5,10,0,43861
366,5,11,0,43862
367,5,13,0,43862
368,5,25,0,43861
369,5,27,0,43861
370,7,3,0,43863
371,7,4,0,43864
372,7,9,0,43865
373,7,10,0,43865
374,7,11,0,43864
375,7,13,0,43864
376,7,25,0,43863
377,7,27,0,43865
378,14,0,0,4288
379,16,0,0,4288
380,0,8,0,7462
381,0,25,0,7458
382,0,27,0,7462
383,12,3,0,43859
384,12,4,0,43860
385,12,6,0,43860
386,12,8,0,43859
387,12,9,0,43859
388,12,10,0,43859
389,12,11,0,43860
390,12,13,0,43860
391,12,25,0,43859
392,12,27,0,43859
393,20,3,0,43866
394,20,4,0,43867
395,20,8,0,43866
396,20,9,0,43866
397,20,10,0,43866
398,20,11,0,43867
399,20,27,0,43866
400,17,3,0,43866
401,17,4,0,43867
402,17,6,0,43867
403,17,8,0,43866
404,17,10,0,43866
405,17,13,0,43867
406,17,25,0,43866
407,17,27,0,43866
408,19,3,0,7568
409,19,4,0,7571
410,19,6,0,7572
411,19,8,0,7573
412,19,10,0,7573
413,19,13,0,7572
414,19,25,0,7569
415,19,27,0,7573
416,23,3,0,43863
417,23,4,0,43864
418,23,6,0,43864
419,23,8,0,43865
420,23,9,0,43865
421,23,10,0,43865
422,23,27,0,43865
423,23,25,0,43863
424,23,13,0,43864
425,23,11,0,43864
426,24,3,0,43863
427,24,4,0,43864
428,24,6,0,43864
429,24,8,0,43865
430,24,9,0,43865
431,24,10,0,43865
432,24,11,0,43864
433,24,13,0,43864
434,24,25,0,43863
435,24,27,0,43865
436,22,4,0,43862
437,22,6,0,43862
438,22,8,0,43861
439,22,10,0,43861
440,22,11,0,43862
441,22,13,0,43862
442,22,25,0,43861
443,22,27,0,43861
444,22,9,0,43861
445,22,3,0,43861
446,15,3,0,43868
447,15,4,0,43851
448,15,6,0,43851
449,15,8,0,43868
450,15,9,0,43869
451,15,10,0,43869
452,15,11,0,43851
453,15,13,0,43851
454,15,25,0,43868
455,15,27,0,43869
456,26,3,0,43866
457,26,4,0,43867
458,26,6,0,43867
459,26,8,0,43866
460,26,10,0,43866
461,26,13,0,43867
462,26,25,0,43866
463,26,27,0,43866
464,28,3,0,43865
465,28,4,0,43864
466,28,6,0,43864
467,28,9,0,43865
468,28,10,0,43865
469,28,11,0,43864
470,28,13,0,43864
471,28,25,0,43865
472,28,27,0,43865
473,29,3,0,43861
474,29,4,0,43862
475,29,6,0,43862
476,29,9,0,43861
477,29,10,0,43861
478,29,11,0,43862
479,29,13,0,43862
480,29,25,0,43861
481,29,27,0,43861
482,30,3,0,43859
483,30,4,0,43860
484,30,6,0,43860
485,30,27,0,43859
486,30,25,0,43859
487,30,13,0,43860
488,30,11,0,43860
489,30,10,0,43859
490,30,9,0,43859
491,30,8,0,43859
492,32,3,0,43866
493,32,4,0,43867
494,32,8,0,43866
495,32,9,0,43866
496,32,10,0,43866
497,32,11,0,43867
498,32,27,0,43866
499,33,3,0,43868
500,33,4,0,43851
501,33,8,0,43869
502,33,9,0,43869
503,33,10,0,43869
504,33,11,0,43851
505,33,27,0,43869
506,34,3,0,43866
507,34,4,0,43867
508,34,6,0,43867
509,34,8,0,43866
510,34,9,0,43866
511,34,10,0,43866
512,34,11,0,43867
513,34,13,0,43867
514,34,25,0,43866
515,34,27,0,43866
516,31,0,0,43863
517,31,4,0,43864
518,31,6,0,43864
519,31,9,0,43865
520,31,10,0,43865
521,31,8,0,43865
522,31,11,0,43864
523,31,13,0,43864
524,31,27,0,43865
