"ID","soundEventIdStart","soundEventIdStop","restartDelayMin","restartDelayMax","flags"
10,608,113,0,0,1
11,5607,5627,60,90,0
12,5606,5627,60,90,0
13,5610,5627,60,90,0
14,9172,5627,0,0,0
15,9226,5627,60,90,0
16,5611,5627,60,90,0
17,5612,5627,60,90,0
18,5599,5627,90,120,0
19,5608,5627,90,120,0
20,40767,5627,0,0,1
21,9255,5627,0,0,0
22,5603,5627,60,60,1
23,8941,5627,0,0,0
25,7199,5627,90,120,0
26,7968,5627,60,90,1
27,8609,5627,0,0,1
29,8746,5627,0,0,0
30,8831,5627,0,0,1
31,8831,5627,0,0,1
32,8749,5627,20,45,0
33,8752,5627,0,0,0
34,8816,5627,0,0,1
35,8820,5627,0,0,0
36,8779,5627,0,0,0
37,8815,5627,0,0,1
38,8819,5627,0,0,1
39,8842,5627,0,0,0
40,8849,5627,0,0,0
41,8848,5627,0,0,0
42,8926,5627,0,0,0
43,8927,5627,0,0,0
44,8948,5627,0,0,0
45,8929,5627,0,0,1
49,8928,5627,0,0,0
50,8935,5627,0,0,0
51,8942,5627,0,0,0
52,8947,5627,60,90,0
53,8949,5627,60,120,0
54,9171,5627,0,0,0
55,9173,5627,0,0,0
56,9176,5627,60,90,0
57,14372,5627,15,45,0
58,9183,5627,0,0,0
59,9179,5627,60,90,1
60,9181,5627,0,0,0
61,9198,5627,0,0,0
62,9227,5627,0,0,0
63,9228,5627,60,90,0
64,9253,5627,0,0,0
65,9252,5627,0,0,1
66,9254,5627,0,0,0
67,9256,5627,0,0,0
68,9237,5627,0,0,0
69,12598,5627,0,0,0
70,12615,5627,0,0,0
71,12616,5627,0,0,0
72,12617,5627,0,0,0
73,12619,5627,0,0,0
74,12627,12629,0,0,1
75,12618,5627,0,0,1
76,12602,5627,0,0,1
77,12601,5627,0,0,0
78,12718,5627,0,0,0
79,12719,5627,0,0,0
80,14333,5627,0,0,1
81,14406,5627,0,0,0
82,14476,5627,0,0,0
83,14477,5627,0,0,0
84,14478,5627,0,0,0
85,14479,5627,0,0,0
86,14536,5627,0,0,0
87,7942,5627,0,0,1
88,7951,5627,0,0,1
89,40395,5627,0,0,1
90,40396,5627,0,0,1
91,40675,5627,0,0,0
92,40779,5627,60,120,0
93,40780,5627,0,0,0
94,45275,5627,0,0,0
95,40768,5627,0,0,0
96,40762,5627,0,0,0
97,40764,5627,0,0,0
98,40765,5627,0,0,0
99,40766,5627,0,0,0
100,40783,5627,0,0,0
101,40760,5627,0,0,0
102,8806,5627,0,0,0
103,40763,5627,0,0,1
104,40896,5627,0,0,1
105,41134,5627,0,0,0
106,41135,5627,0,0,0
107,41164,5627,0,0,0
108,41202,5627,0,0,1
109,41205,5627,0,0,0
110,41204,5627,0,0,0
111,41207,5627,0,0,0
112,41208,5627,0,0,0
113,41203,5627,0,0,0
115,41206,5627,0,0,0
116,41252,5627,0,0,0
117,41253,5627,0,0,0
118,41254,5627,30,70,0
119,43053,5627,0,0,0
120,43051,5627,0,0,0
121,43050,5627,0,0,0
122,43052,5627,0,0,0
123,43049,5627,0,0,0
124,43048,5627,0,0,0
125,43054,5627,0,0,1
126,43069,5627,0,0,1
127,43089,5627,0,0,0
128,43090,5627,0,0,0
129,43091,5627,0,0,0
130,41145,5627,0,0,0
131,43238,5627,0,0,0
132,43248,5627,0,0,0
133,43234,5627,0,0,0
134,43414,5627,0,0,0
135,43415,5627,0,0,0
136,43429,5627,0,0,0
137,43443,5627,6,20,0
138,43449,5627,0,0,0
139,43450,5627,0,0,0
140,43462,5627,0,0,1
141,43468,5627,0,0,0
142,43474,5627,0,0,0
143,43475,5627,0,0,0
144,43492,5627,0,0,1
145,43493,5627,0,0,1
146,43495,5627,0,0,0
147,43522,5627,0,0,0
148,43525,5627,0,0,0
149,43545,5627,0,0,0
150,43646,5627,0,0,0
151,43647,5627,0,0,0
152,43648,5627,0,0,0
153,43682,5627,0,0,0
154,43681,5627,0,0,0
155,43684,5627,0,0,0
156,43685,5627,0,0,0
157,43702,5627,0,0,0
158,43789,5627,0,0,0
159,43790,5627,0,0,0
160,43830,5627,0,0,1
161,43831,5627,0,0,1
162,43834,5627,0,0,0
163,43833,61472,0,0,0
164,43839,5627,0,0,0
165,43840,5627,0,0,0
166,43838,5627,0,0,0
167,43685,5627,0,0,0
169,43853,5627,0,0,1
170,43854,5627,0,0,1
171,43852,5627,0,0,1
172,43855,5627,0,0,0
173,43856,5627,0,0,1
174,43857,5627,0,0,1
175,43858,5627,0,0,0
176,43874,5627,0,0,0
177,43875,5627,0,0,0
178,43887,5627,0,0,1
179,43888,5627,0,0,1
180,43927,5627,0,0,1
181,43926,5627,0,0,1
182,43935,5627,0,0,0
183,43936,5627,0,0,0
184,43962,5627,0,0,0
185,43961,5627,0,0,0
186,44226,5627,0,0,0
187,44265,5627,0,0,1
188,44266,5627,0,0,1
189,44267,5627,0,0,1
190,44318,5627,0,0,1
191,44417,5627,0,0,1
192,44492,5627,0,0,0
193,44493,5627,0,0,0
195,44601,5627,0,0,1
196,45267,5627,0,0,1
197,45265,5627,0,0,0
198,8749,5627,0,0,0
199,45273,5627,0,0,0
200,45274,5627,0,0,0
201,45276,5627,0,0,0
202,58381,5627,0,0,0
203,47080,5627,0,0,0
204,47081,5627,0,0,0
205,47205,5627,0,0,0
206,58384,5627,0,0,0
207,47654,5627,0,0,1
208,51611,5627,0,0,1
209,51612,5627,0,0,1
210,51615,5627,0,0,1
211,51614,5627,0,0,1
212,51766,5627,0,0,1
213,51782,5627,0,0,1
214,51783,5627,0,0,1
215,51784,5627,0,0,1
216,58217,5627,0,0,0
217,58380,5627,0,0,0
218,58379,5627,0,0,0
219,58385,5627,0,0,0
220,58382,5627,0,0,0
221,58383,5627,0,0,0
222,58384,5627,0,0,0
223,58390,5627,0,0,0
224,58406,5627,0,0,0
225,58410,5627,0,0,0
226,58450,5627,0,0,0
227,58467,5627,0,0,0
228,41164,5627,0,0,0
229,58667,5627,0,0,1
230,58769,58771,0,0,0
231,58770,5627,0,0,0
232,59028,5627,0,0,1
233,58785,5627,0,0,0
234,59014,5627,0,0,1
235,59112,5627,0,0,0
236,59111,5627,0,0,0
239,59102,5627,0,0,0
240,59110,5627,0,0,0
241,58623,5627,0,0,1
242,59767,5627,0,0,1
243,59768,5627,0,0,1
244,59769,5627,0,0,1
245,59770,5627,0,0,1
246,59793,59794,0,0,0
247,58623,5627,0,0,1
248,59925,5627,0,0,1
249,59985,59986,0,0,1
250,60160,5627,0,0,0
251,60161,5627,0,0,0
252,60173,60174,0,0,1
253,60267,5627,0,0,1
254,60268,5627,0,0,1
255,60269,5627,0,0,1
256,60287,5627,0,0,0
257,60580,5627,0,0,0
258,60618,5627,0,0,1
259,60946,5627,0,0,1
260,61020,5627,0,0,1
261,61021,5627,0,0,1
262,61262,61263,0,0,1
263,61457,5627,0,0,1
264,61459,5627,0,0,1
265,61460,5627,0,0,1
266,61458,5627,0,0,1
267,61461,61462,0,0,1
268,61469,5627,0,0,1
269,61470,5627,0,0,1
270,61471,5627,0,0,1
271,61514,5627,0,0,0
272,61513,5627,0,0,0
273,61513,5627,0,0,0
274,61513,5627,0,0,0
275,61553,5627,0,0,1
276,61552,5627,0,0,1
277,61585,5627,0,0,1
278,61586,5627,0,0,1
279,61601,5627,0,0,1
280,61602,5627,0,0,1
281,62681,5627,0,0,1
282,62682,5627,0,0,1
283,62683,5627,0,0,1
284,62685,5627,0,0,1
285,62684,5627,0,0,1
286,62686,5627,0,0,1
287,62687,5627,0,0,1
288,62724,5627,0,0,1
289,62725,5627,0,0,1
290,63626,5627,0,0,1
291,69023,5627,0,0,1
292,63726,5627,0,0,1
293,63727,5627,0,0,1
294,63728,5627,0,0,1
295,63729,5627,0,0,1
296,63733,5627,0,0,1
297,63731,5627,0,0,1
298,63731,5627,0,0,1
299,63732,5627,0,0,1
300,63730,5627,0,0,1
301,64192,64193,0,0,1
302,64216,5627,0,0,1
303,64217,5627,0,0,1
304,0,5627,0,0,1
305,0,5627,0,0,1
306,0,5627,0,0,1
307,0,5627,0,0,1
308,0,5627,0,0,1
309,0,5627,0,0,1
310,0,5627,0,0,1
311,0,5627,0,0,1
312,0,5627,0,0,1
313,0,5627,0,0,1
314,0,5627,0,0,1
315,0,5627,0,0,1
316,0,5627,0,0,1
317,64928,5627,0,0,1
318,64926,5627,0,0,1
319,64925,5627,0,0,1
320,64930,5627,0,0,1
321,64923,5627,0,0,1
322,64920,5627,0,0,1
323,64918,5627,0,0,1
324,64929,5627,0,0,1
325,64921,5627,0,0,1
326,64924,5627,0,0,1
327,64922,5627,0,0,1
328,64927,5627,0,0,1
329,64919,5627,0,0,1
330,61355,61356,0,0,1
331,61355,61356,0,0,1
332,0,5627,0,0,1
333,43545,5627,0,0,1
334,65364,5627,0,0,0
335,65368,5627,0,0,1
336,65369,5627,0,0,1
337,65370,5627,0,0,1
340,68107,5627,0,0,1
341,65437,5627,0,0,1
342,65436,5627,0,0,1
343,65439,5627,0,0,0
349,65512,5627,0,0,1
351,65548,65550,0,0,1
352,65549,65551,0,0,1
353,65994,5627,0,0,1
354,65976,5627,0,0,1
355,65993,5627,0,0,1
356,43248,5627,0,0,1
357,0,5627,0,0,0
358,65964,5627,0,0,1
359,65983,65984,0,0,1
360,65366,5627,0,0,1
361,66030,5627,0,0,1
362,66040,5627,0,0,0
363,66049,5627,0,0,0
364,67744,67745,0,0,1
365,67761,5627,0,0,1
366,61553,5627,0,0,1
367,68294,5627,0,0,1
368,68296,5627,0,0,1
369,68295,5627,0,0,1
370,68293,5627,0,0,1
371,68328,68329,0,0,1
372,68338,5627,0,0,1
