"ID","luaVariableName","soundEventId"
2,"TestPlaySoftClick",0
3,"TestPlayWindowOpenClose",0
4,"TestPlayCommBeep",0
5,"PlayUIWindowClose",0
6,"PlayUIWindowOpen",0
7,"PlayUITapButtonRapid",0
8,"PlayUITapButton",0
9,"PlayUIBagClose",47747
10,"PlayUIBagOpen",47751
11,"PlayUIEquipItem",0
12,"PlayUIDatachronIncoming",3097
13,"PlayUIDatachronBeep",3098
14,"PlayUIDatachronEnd",3099
15,"PlayUIDatachronContactWaiting",0
16,"PlayUILootMoney",0
17,"PlayUILootFood",0
18,"PlayUILootHelmet",0
19,"PlayUILootQuestGivingItem",0
20,"PlayUILootQuestItem",0
21,"PlayUILootJewelry",0
22,"PlayUILootPotion",0
23,"PlayUILootStuff",0
24,"PlayUILootEsperEquipable",0
25,"PlayUILootWarriorEquipable",0
26,"PlayUILootEngineerEquipable",0
27,"PlayUILootMedicEquipable",0
28,"PlayUILootStalkerEquipable",0
29,"PlayUILootDarkWeaverEquipable",0
30,"PlayUILootSorcererEquipable",0
31,"PlayUILootCharmerEquipable",0
32,"PlayUILootSpellslingerEquipable",0
33,"PlayUIButtonDown",0
34,"PlayUIButtonUp",0
35,"PlayUIClick",0
36,"PlayUIMouseButtonDown",0
37,"PlayUIMouseButtonUp",0
38,"PlayUIMouseSelectUnit",6255
39,"PlayUIAbilityClick",0
43,"PlayUIDatachronSpam",3098
44,"PlayUIDatachronSpamNoVO",4291
45,"PlayUIMouseover",0
46,"PlayUIMaxThirdResource",0
47,"PlayUIBuySell",0
48,"UIOpeningBag",47751
49,"UIOpeningMap",3098
50,"UIDropIntoTier",0
51,"UIClosingTask",0
52,"UIChatCombat",0
53,"UIQuestLogShowCompleted",0
54,"UIQuestLogShowOutLeveled",0
55,"UIQuestLogSortByBar",0
56,"UIQuestLogShowDetails",0
57,"UIQuestLogQuestDetails",0
58,"UIQuestLogLocate",0
59,"UIQuestLogAbandon",0
60,"UIQuestLogShare",0
61,"UIQuestLogTrack",0
64,"PlayUI01ClosePhysical",0
65,"PlayUI05ArrowScrollUpDigital",0
66,"PlayUI06ArrowScrollDownDigital",0
68,"PlayUI08To10GenericPushButtonOffPhysical01",0
69,"PlayUI08To10GenericPushButtonOffPhysical02",0
70,"PlayUI08To10GenericPushButtonOffPhysical03",0
71,"PlayUI08To10GenericPushButtonOnPhysical01",0
72,"PlayUI08To10GenericPushButtonOnPhysical02",0
73,"PlayUI08To10GenericPushButtonOnPhysical03",0
74,"PlayUI11To13GenericPushButtonDigital01",5676
75,"PlayUI11To13GenericPushButtonDigital02",5677
76,"PlayUI11To13GenericPushButtonDigital03",5678
77,"PlayUI14ZoomInPhysical",5679
78,"PlayUI15ZoomOutPhysical",5680
79,"PlayUI16BuyVirtual",0
80,"PlayUI17SellVirtual",0
81,"PlayUI18RepairVirtual",0
82,"PlayUI19SelectStoreItemVirtual",0
83,"PlayUI20OpenBagVirtual",47751
84,"PlayUI21MenuLockOnPhysical",5681
85,"PlayUI22MenuLockOffPhysical",5682
86,"PlayUI23And25GenericToggleOnPhysical01",5683
87,"PlayUI23And25GenericToggleOnPhysical02",5684
88,"PlayUI24And26GenericToggleOffPhysical01",5685
89,"PlayUI24And26GenericToggleOffPhysical02",5686
90,"PlayUI33DropDownExpandDigital",0
91,"PlayUI34DropDownContractDigital",0
92,"PlayUI37OpenRemoteWindowDigital",0
93,"PlayUI38CloseRemoteWindowDigital",0
94,"PlayUI39AutoAttackToggleOnPhysical",0
95,"PlayUI40AutoAttackToggleOffPhysical",0
96,"PlayUI43RotateRightClickDigital",5693
97,"PlayUI44RotateLeftClickDigital",5694
99,"PlayUI45LiftVirtual",5681
100,"PlayUI46PlaceVirtual",5682
101,"PlayUI47CancelVirtual",5700
102,"PlayUI48DeleteVirtual",5701
103,"PlayUI49EquipClothingArmorVirtual",0
104,"PlayUI50EquipWeaponVirtual",0
105,"PlayUI53SlideUpDigital",5696
106,"PlayUI54SlideDownDigital",5697
107,"PlayUI55ErrorVirtual",5704
108,"PlayUI60MessageAlertDigital",5698
109,"PlayUI62ItemDroppingIntoBagVirtual",0
110,"PlayUI63ItemRolledOverInStoreVirtual",0
111,"PlayUI64AddRowToHUDVirtual",0
112,"PlayUI65DeleteRowFromHUDVirtual",0
113,"PlayUI68OpenPanelFromKeystrokeVirtual",0
114,"PlayUI07SelectTabPhysical",5669
115,"PlayUIHousingHardwareAddition",7050
116,"PlayUIHousingHardwareFinalized",7054
117,"PlayUIHousingDecor",7058
118,"PlayUIHousingEnterHouse",7052
119,"PlayUIHousingExitHouse",7053
120,"PlayUIHousingCrateItem",7084
121,"PlayUIHousingTogglePreview",7085
122,"PlayUIHousingItemCancelled",7055
123,"PlayUIResurrection",7142
124,"PlayUIAlertPopUpGeneralClosing",0
125,"PlayUIAlertPopUpGeneralOpen",0
126,"PlayUIAlertPopUpMessageReceived",7755
127,"PlayUIAlertPopUpRepIncrease",7756
128,"PlayUIAlertPopUpTitleReceived",7757
129,"PlayUIChallengeQuestOffered",7158
130,"PlayUIChallengeQuestComplete",7156
131,"PlayUIChallengeQuestFailed",7157
132,"PlayUIExplorerActivateGuideArrow",8112
133,"PlayUIExplorerButtonDisabled",8113
134,"PlayUIExplorerButtonEnabled",8114
135,"PlayUIExplorerPathInterfaceOpens",8115
136,"PlayUIExplorerSignalDetection0",8116
137,"PlayUIExplorerSignalDetection1",8117
138,"PlayUIExplorerSignalDetection2",8118
139,"PlayUIExplorerSignalDetection3",8119
