"ID","angle","targetCount","minRange","maxRange","targetSelection"
2,0,1,0,5,1
4,0,1,0,10,3
5,0,1,0,25,3
7,0,2,0,5,1
8,0,2,0,10,1
10,0,2,0,15,2
12,0,3,0,5,1
14,0,3,0,10,1
15,0,3,0,25,3
16,0,3,0,40,1
17,0,4,0,5,1
18,0,5,0,2,3
19,0,5,0,5,1
20,0,5,0,5,3
22,0,5,0,8,1
23,0,5,0,8,3
24,0,5,0,10,1
29,0,5,0,250,1
36,0,10,0,5,1
39,0,10,0,8,1
40,0,10,0,9,1
52,0,20,0,30,1
55,0,25,0,20,1
56,0,25,0,50,3
64,0,99,1,2,1
65,0,100,0,60,3
66,30,5,0,9,1
67,30,5,10,18,1
68,30,5,19,25,1
80,90,10,0,13,1
83,120,10,0,7,1
84,120,10,0,10,1
90,180,3,0,10,1
92,180,4,0,10,1
95,180,10,0,5,1
108,360,1,0,5,1
109,180,1,0,5,1
110,360,1,0,10,1
111,180,1,0,10,1
112,120,1,0,10,1
113,180,1,0,20,1
114,360,10,0,5,1
115,120,10,0,5,1
116,360,10,0,10,1
117,180,10,0,10,1
118,120,10,0,10,1
119,360,10,0,20,1
120,360,1,0,20,1
121,180,10,0,20,1
122,120,1,0,20,1
123,180,10,0,5,1
124,360,10,0,10,1
125,360,10,0,20,1
126,360,10,0,25,1
130,0,50,0,50,1
131,0,3,0,8,1
132,0,4,0,20,1
133,0,10,0,8,1
134,0,3,0,8,1
135,180,3,0,5,1
136,180,5,0,5,1
137,90,5,0,10,1
138,0,5,0,5,1
139,180,3,0,10,1
140,0,5,0,5,1
141,360,10,0,4,1
142,360,10,0,7,1
143,360,10,0,15,1
144,360,10,0,30,1
145,180,10,0,4,1
146,180,10,0,7,1
147,180,10,0,15,1
148,180,10,0,30,1
149,120,10,0,4,1
150,120,10,0,7,1
151,120,10,0,15,1
152,120,10,0,30,1
153,360,10,0,3,1
154,360,10,0,7,1
155,360,10,0,15,1
156,0,5,0,5,1
157,0,1,0,25,2
158,0,1,0,5,1
159,180,10,0,10,1
160,0,1,0,5,3
161,0,1,0,15,2
162,0,1,0,40,3
163,0,2,0,5,3
164,180,1,0,5,1
165,120,2,0,10,3
166,0,6,0,8,1
167,0,2,0,5,3
168,0,1,0,128,3
169,360,10,0,10,1
170,360,10,20,30,1
171,360,10,10,20,1
172,0,3,0,10,3
173,180,5,0,15,1
174,0,1,7,60,3
175,0,2,0,8,1
176,0,3,0,8,1
177,0,4,0,8,1
178,0,5,0,8,1
181,90,5,0,30,1
182,180,2,0,30,3
183,40,10,0,7,1
184,360,40,0,40,1
185,360,10,0,10,1
186,0,1,0,60,3
187,360,10,0,3,1
188,0,100,0,10,1
189,0,100,0,20,1
190,0,100,0,30,1
191,0,2,0,5,1
192,180,3,0,5,1
193,0,5,6,30,1
194,360,1,0,7,1
195,120,10,0,20,1
196,360,3,0,0.5,1
197,360,1,0,1,1
198,360,5,0,200,1
199,90,1,0,15,1
200,360,2,0,5,1
201,0,10,0,10,1
202,360,1,0,60,3
203,360,10,0,60,1
204,360,2,0,60,3
205,360,4,0,60,3
206,360,20,0,2,1
207,360,2,0,60,1
208,360,10,0,4,1
209,360,3,0,0.5,1
210,360,10,0,12,1
211,360,2,0,60,3
212,360,10,0,10,1
213,180,10,0,100,1
214,360,10,0,0.1,1
215,42.97,10,0,0.1,1
216,360,10,0,1,1
217,360,10,0,3,1
218,360,10,0,10,1
219,360,2,0,100,3
220,360,10,0,100,1
221,60,10,0,30,1
222,360,20,0,1,1
223,120,10,0,50,1
224,360,25,0,4,1
225,30,10,0,20,1
226,90,10,0,4,1
227,0,1,0,30,4
228,0,1,0,30,5
229,30,10,0,4,1
230,360,10,8,45,1
232,360,10,0,1.5,1
233,360,5,0,0.1,1
234,30,10,0,15,1
235,360,5,0,0.25,1
237,360,10,0,35,1
238,360,10,0,2,1
239,360,10,7,15,1
240,360,25,0,50,1
241,360,20,0,15,1
242,0,1,0,15,4
243,30,10,0,30,1
244,45,10,0,4,1
245,45,10,0,2,1
246,180,5,0,5,1
247,360,25,0,5,1
248,230,4,0,4,1
249,15,10,0,20,1
250,360,10,0,8,1
251,135,10,0,5,1
252,360,20,4,7,1
253,45,5,0,3,1
254,30,10,0,8,1
255,0,10,0,8,1
256,360,5,0,30,1
257,360,2,0,30,5
258,360,3,0,30,5
259,360,4,0,30,5
260,360,5,0,5,1
261,360,3,0,80,3
262,45,10,0,20,1
263,90,10,0,8,1
264,45,10,0,8,1
265,360,20,0,8,1
266,360,5,0,10,3
267,120,3,0,5,1
268,30,3,0,30,1
269,360,25,0,100,1
270,90,3,0,5,1
271,30,3,0,5,1
272,30,1,0,30,1
273,360,1,0,5,5
274,120,1,0,5,1
275,180,3,0,5,1
276,60,3,0,8,1
277,360,3,0,5,1
278,45,3,0,30,1
279,45,5,0,30,1
280,270,5,0,5,1
281,45,3,0,8,1
282,60,2,0,30,1
283,90,5,0,15,1
284,20,3,0,25,1
285,15,5,0,35,1
286,90,5,0,5,1
287,360,3,0,2.5,1
288,15,5,0,30,1
289,360,10,10,30,1
290,60,5,0,12,1
291,20,3,0,15,1
292,30,10,0,20,1
293,360,10,0,15,1
294,5,5,0,30,1
295,10,5,0,30,1
296,3,5,0,30,1
297,1,5,0,30,1
298,30,3,0,12,1
299,360,5,0,8,1
300,30,10,0,6,1
301,30,3,0,24,1
302,30,30,0,30,1
303,360,10,0,18.75,1
304,3,5,0,15,1
305,180,1,0,5,3
306,360,3,0,10,3
307,1,1,0,30,1
308,360,4,0,15,5
309,345,5,0,30,1
310,315,5,0,30,1
311,45,5,0,10,1
312,20,5,0,15,1
313,90,20,0,15,1
314,360,1,0,100,3
315,45,5,0,5,1
316,360,35,0,80,1
317,360,1,0,30,3
318,360,1,0,40,3
319,180,5,0,5,3
320,360,5,0,20,1
321,360,5,0,10,1
322,4,20,0,30,1
323,135,1,0,60,3
324,60,10,0,8,1
325,3,1,0,30,1
326,360,1,0,100,1
327,360,5,0,15,3
328,5,8,0,30,1
329,360,5,0,8,3
330,360,3,0,5,3
331,3,3,0,30,1
332,360,10,0,8,1
333,360,5,0,30,5
334,360,5,0,15,5
335,360,10,0,30,1
336,3,5,0,20,1
337,3,5,0,25,1
338,4,3,0,8,1
339,360,3,0,3,1
340,360,10,0,7,1
341,360,1,0,3,1
342,180,3,0,8,1
343,180,5,0,30,1
344,360,3,0,30,1
345,360,5,0,30,1
347,360,5,0,25,5
348,360,1,0,15,3
349,360,2,0,20,1
350,360,25,0,10,1
351,360,25,0,15,1
352,360,25,0,20,1
353,360,25,0,25,1
354,360,25,0,30,1
355,360,20,0,10,1
356,360,20,0,15,1
357,360,20,0,20,1
358,360,20,0,25,1
359,360,20,0,30,1
360,360,5,0,15,1
361,15,1,0,20,1
362,15,2,0,20,1
363,3,5,0,10,1
364,45,10,0,10,1
365,45,10,0,15,1
366,45,20,0,10,1
367,45,20,0,20,1
368,20,5,0,20,1
369,360,3,0,35,1
370,360,1,0,30,1
371,180,1,0,30,1
372,90,1,0,30,1
373,45,1,0,30,1
374,30,1,0,30,1
375,360,3,0,10,1
376,360,1,0,30,1
377,360,20,0,5,1
378,360,10,0,5,1
379,360,20,0,5,1
380,360,20,0,5,1
381,360,10,0,6,1
382,360,10,0,5,1
383,360,1,10,60,3
384,90,40,0,15,1
385,180,40,0,15,1
386,90,40,0,5,1
387,180,40,0,5,1
388,360,40,0,10,1
389,360,5,0,30,3
390,360,10,0,20,3
391,360,10,0,15,3
392,360,1,0,20,3
393,360,1,0,20,4
394,360,1,0,25,3
395,360,1,0,25,4
396,90,3,0,10,1
397,360,2,0,30,1
398,360,1,0,35,1
399,180,3,0,30,1
400,360,3,0,8,1
401,360,3,0,15,1
402,360,3,0,20,1
403,5,5,0,10,1
404,360,1,0,25,1
405,360,3,0,25,1
406,180,3,0,40,1
407,360,5,0,35,1
408,360,3,0,35,5
409,360,5,0,10,5
410,360,1,0,35,1
411,360,5,0,25,1
412,180,1,0,35,1
413,3,1,0,35,1
414,360,3,0,7,3
415,90,2,0,5,1
416,90,2,0,10,1
417,90,4,0,10,1
418,180,3,0,35,1
419,3,3,0,35,1
420,360,1,0,5,3
421,60,3,0,15,1
422,360,1,0,40,1
423,360,3,0,40,1
425,360,1,0,40,1
426,30,1,0,40,1
427,120,3,0,8,1
428,30,3,0,8,1
429,360,3,0,30,5
430,180,5,0,12,1
431,360,10,0,15,1
432,360,10,0,0.5,1
433,30,1,0,35,1
434,30,3,0,35,1
435,360,5,0,24,1
436,180,3,0,15,1
437,30,1,0,5,1
438,360,2,0,8,1
439,30,5,0,25,5
440,25,5,0,25,5
441,360,5,0,4,1
442,360,3,0,15,3
443,30,3,0,40,1
444,30,3,0,45,1
445,30,3,0,25,1
446,45,3,0,25,5
447,360,1,0,175,3
448,45,3,0,25,1
449,360,4,0,25,5
450,360,4,0,15,5
451,30,3,0,35,5
452,360,40,0,6,1
453,360,4,0,15,1
454,360,4,0,35,1
455,360,2,0,35,5
456,360,3,0,45,1
457,30,3,0,30,5
458,360,3,0,25,5
459,360,3,5,15,2
460,360,5,0,6,5
461,180,5,0,10,1
462,180,5,0,20,1
463,360,5,0,2.5,1
464,360,50,0,100,1
465,360,40,0,35,1
466,0,1,0,15,5
467,360,5,0,6,1
468,180,5,0,5,1
469,360,3,0,100,3
470,360,3,0,5,5
471,180,3,0,6,1
472,360,3,0,6,1
473,90,1,0,75,1
474,360,10,0,13,1
475,90,5,15,45,1
476,360,3,0,12,1
477,360,5,0,45,1
478,360,3,2.5,10,2
479,360,10,8,15,1
480,360,2,0,35,1
481,360,1,0,10,4
483,180,3,0,10,1
484,360,80,0,200,3
485,360,2,0,200,3
486,360,2,0,25,1
487,180,3,0,20,1
488,360,10,0,99,1
489,360,3,5,10,2
490,180,1,0,15,1
491,360,3,0,40,3
492,360,5,0,60,1
493,360,2,0,100,1
494,360,5,0,100,1
495,360,1,0,8,1
496,360,4,0,10,1
497,360,1,0,50,1
498,360,5,0,35,4
499,360,3,0,30,3
500,360,1,0,15,1
501,360,4,0,100,3
502,360,2,0,15,1
503,360,5,0,12,1
504,360,40,0,60,1
505,360,3,0,20,4
506,360,1,0,50,2
507,360,1,0,50,4
508,120,1,5,40,3
509,360,5,0,20,4
510,360,10,0,35,4
511,360,10,0,40,3
512,360,1,5,30,3
513,120,1,0,40,3
514,360,1,0,200,3
515,360,3,0,200,3
516,360,4,0,200,3
517,360,5,0,200,3
518,360,6,0,200,3
519,360,7,0,200,3
520,360,8,0,200,3
521,360,9,0,200,3
522,360,10,0,200,3
523,360,5,0,30,2
524,360,4,0,25,1
525,360,1,0,17.5,3
526,360,3,0,9,3
527,360,3,0,4,1
528,120,3,5,40,3
529,180,2,0,20,1
530,0,100,0,40,1
531,0,100,0,50,1
532,360,10,0,100,3
533,360,2,0,200,1
535,120,1,5,30,3
536,360,1,0,8,3
537,360,25,0,30,3
538,360,25,0,60,3
539,360,25,0,120,3
540,360,2,10,40,3
541,360,1,0,70,3
542,360,2,0,70,3
543,360,3,0,70,3
544,360,4,0,70,3
545,360,5,0,70,3
546,360,6,0,70,3
547,360,7,0,70,3
548,360,8,0,70,3
549,360,9,0,70,3
550,360,10,0,70,3
551,360,11,0,70,3
552,360,12,0,70,3
553,360,13,0,70,3
554,360,14,0,70,3
555,360,15,0,70,3
556,360,40,0,15,1
564,360,40,0,70,1
565,360,1,5,35,2
566,360,40,0,200,1
567,360,5,5,40,2
568,0,80,0,100,1
569,360,40,0,120,3
570,360,2,0,5,3
572,360,4,0,20,1
573,360,50,0,300,3
574,60,40,0,50,1
575,360,5,0,50,2
576,60,10,0,50,2
577,60,10,3,50,2
578,360,1,0,10,3
580,360,100,0,60,3
581,360,150,0,300,1
582,360,1,0,300,1
583,360,80,0,20,1
584,360,80,0,50,1
585,360,1,0,70,2
586,360,1,10,40,3
587,360,1,0,30,2
588,360,1,0,6,1
589,180,1,0,6,1
590,180,2,0,6,1
591,360,5,0,45,3
592,360,10,0,40,1
593,360,80,0,6,1
594,360,80,0,5,1
595,360,80,0,40,1
596,360,80,0,60,1
597,360,1,0,10,2
598,360,1,0,20,2
599,360,1,0,40,2
600,360,1,0,60,2
601,360,1,0,100,2
602,360,1,0,200,2
603,360,40,0,7,1
604,360,2,0,10,4
605,360,1,0,45,1
606,360,3,0,40,4
607,360,2,0,3,1
608,0,3,0,25,5
609,360,5,0,1.5,1
610,360,1,0,200,1
611,360,1,0,10,3
612,120,3,0,40,3
613,20,5,0,25,1
615,360,2,0,40,3
616,360,2,0,100,2
617,360,20,0,200,1
618,360,5,0,100,3
619,360,10,0,28,1
620,360,50,0,200,1
621,360,3,0,50,1
622,360,1,0,250,3
623,360,5,0,80,3
624,360,3,0,15,2
625,360,20,0,200,3
626,360,3,0,200,2
627,360,200,0,10,1
628,360,20,0,35,1
629,360,20,0,60,1
630,360,3,0,60,2
631,360,20,0,40,3
632,360,20,0,100,1
633,360,5,0,100,2
634,20,10,0,25,1
635,360,5,0,40,1
636,360,5,0,50,1
637,45,5,0,25,5
638,45,5,0,25,1
639,30,5,0,25,1
640,180,5,0,8,1
641,360,4,0,5,1
642,360,5,0,60,3
643,360,5,0,15,2
644,360,10,0,25,5
645,360,5,0,9,3
646,360,5,0,3,1
647,360,5,0,12,2
648,360,5,5,30,3
649,360,40,0,30,1
650,360,40,0,5,1
651,360,40,0,20,1
652,360,40,0,100,1
653,360,10,0,10,4
654,360,10,0,12,4
655,360,20,0,70,3
656,180,4,0,25,1
657,360,40,0,175,3
658,360,5,0,45,3
659,360,2,0,35,1
660,360,4,0,30,5
661,360,4,0,20,5
662,180,4,0,15,1
663,360,9,0,35,1
664,360,9,0,25,5
665,360,4,0,6,1
666,360,9,0,20,1
667,360,9,0,20,5
668,360,1,0,45,4
669,180,1,0,30,4
670,360,1,0,1000,1
671,90,10,0,60,2
672,180,1,7,17.5,1
673,360,1,0,350,3
674,360,10,0,40,2
675,360,3,0,12,2
676,360,50,0,150,1
677,360,3,0,10,2
678,360,5,0,8,5
679,360,3,0,25,2
680,360,4,0,8,1
681,360,3,0,200,1
682,360,2,0,40,2
683,360,3,0,40,2
684,360,4,0,40,2
685,360,5,0,40,2
686,360,20,0,200,1
687,360,1,0,12,1
688,360,6,0,100,3
689,360,2,0,100,3
690,360,4,0,100,3
691,360,4,0,40,3
693,360,1,0,50,3
694,360,5,0,6.5,1
695,360,1,0,7,1
696,360,1,0,6.5,1
697,360,10,0,11,1
698,180,1,0,25,1
699,360,2,0,7,1
700,360,2,0,6,1
701,180,2,0,25,1
702,360,10,0,50,1
703,360,6,0,100,3
704,360,4,0,4,1
705,360,1,0,100,1
706,360,2,0,100,1
707,360,3,0,100,1
708,360,4,0,100,1
709,360,5,0,100,1
710,360,6,0,100,1
711,360,7,0,100,1
712,360,8,0,100,1
713,360,9,0,100,1
714,360,10,0,100,1
715,360,11,0,100,1
716,360,12,0,100,1
717,360,13,0,100,1
718,360,14,0,100,1
719,360,15,0,100,1
720,360,16,0,100,1
721,360,17,0,100,1
722,360,18,0,100,1
723,360,19,0,100,1
724,360,20,0,100,1
725,360,5,0,60,2
726,360,1,0,300,3
727,360,5,0,300,3
728,180,10,0,200,1
729,180,2,0,35,5
730,120,10,0,200,1
731,90,10,0,200,1
732,180,2,0,200,1
733,120,2,0,200,1
734,90,2,0,200,1
735,360,1,0,35,5
736,360,1,0,8,5
737,180,1,0,30,5
739,360,4,0,35,5
740,360,48,0,25,1
