"ID","enumName","combatMessageTypeEnum","localizedTextIdDisplayText","soundEventId"
0,"Ok",49,0,0
1,"UnableToCreateSpell",49,119668,0
2,"MovingToCast",49,413233,0
3,"PendingSpellCast",49,0,0
4,"SpellUnknown",49,119669,0
5,"SpellBad",49,119670,0
6,"SpellCancelled",49,119671,0
7,"SpellMaxChannel",49,119672,0
8,"SpellRemoved",49,119674,0
9,"SpellCountered",49,119675,0
10,"SpellCastingInterrupts",49,119676,0
11,"SpellInterrupted",49,119679,0
12,"SpellCombatModeActiveCount",49,119680,0
13,"SpellAlreadyCasting",49,119683,0
14,"SpellGlobalCooldown",49,119846,0
15,"SpellCooldown",49,119214,0
16,"SpellGroupCooldown",49,119684,0
17,"SpellPreRequisites",49,119685,0
18,"ActionBarSetDisallows",49,119687,0
19,"DamageInterrupts",49,119688,0
20,"InvalidInventoryIndex",49,119689,0
21,"ItemUnknown",47,119690,0
22,"ItemBad",47,119691,0
23,"ItemNoSpellId",47,119692,0
24,"ItemUnEquipped",47,119693,0
25,"ItemCharges",47,119694,0
26,"ItemTooHighLevel",47,119695,0
27,"ItemAchievementComplete",47,119696,0
28,"ItemQuestRequirementsNotMet",47,119697,0
29,"ItemObjectiveComplete",47,119698,0
30,"CasterUnknown",49,119699,0
31,"CasterMustHaveTarget",49,119700,0
32,"CasterCannotBePrimaryTarget",49,119701,0
33,"CasterNotIncontrolOfSelf",49,119702,0
34,"CasterMovement",49,119703,0
35,"CasterMaxCast",49,119704,0
36,"CCStun",48,119705,0
37,"CCSleep",48,119706,0
38,"CCRoot",48,119708,0
39,"CCDisarm",48,119709,0
40,"CCSilence",48,119710,0
41,"CCPolymorph",48,119711,0
42,"CCFear",48,119712,0
43,"CCHold",48,119713,0
44,"CasterVitalCostHealth",48,119714,0
45,"CasterVitalCostXp",48,119715,0
46,"CasterVitalCostMoney",48,119716,0
47,"CasterVitalCostCurrency1",48,119717,0
48,"CasterVitalCostCurrency2",48,119718,0
49,"CasterVitalCostCurrency3",48,119719,0
50,"CasterVitalCostResource0",48,119720,0
51,"CasterVitalCostResource1",48,119721,0
52,"CasterVitalCostResource2",48,119722,0
53,"CasterVitalCostResource3",48,119723,0
54,"CasterVitalCostResource4",48,119724,0
55,"CasterVitalCostResource5",48,119725,0
56,"CasterVitalCostResource6",48,119726,0
57,"Caster_CannotBeDead",48,119727,0
58,"Caster_MustBeDead",48,119728,0
59,"Caster_CannotBeInCombat",48,119729,0
60,"Caster_MustBeInCombat",48,119730,0
63,"Caster_CannotBe_Moving",48,119733,0
64,"Caster_MustBe_Moving",48,119734,0
65,"Caster_CannotBe_Stealth",48,119735,0
66,"Caster_MustBe_Stealth",48,119736,0
67,"Caster_CannotBe_Piloting",48,119737,0
68,"Caster_MustBe_Piloting",48,119738,0
69,"Caster_CannotBe_Embarked",48,119739,0
70,"Caster_MustBe_Embarked",48,119740,0
71,"Caster_CannotBe_Taxi",48,119741,0
72,"Caster_MustBe_Taxi",48,119742,0
73,"Caster_CannotBe_Stun",48,119743,0
74,"Caster_MustBe_Stun",48,119744,0
75,"Caster_CannotBe_Sleep",48,119745,0
76,"Caster_MustBe_Sleep",48,119746,0
77,"Caster_CannotBe_Root",48,119747,0
78,"Caster_MustBe_Root",48,119748,0
79,"Caster_CannotBe_Disarm",48,119749,0
