"ID","missileType","castStage","originUnitEnum","targetFlags","modelPath","fxPath","beamPath","beamSource","beamTarget","itemSlot","costumeSide","modelAttachmentIdCaster","modelAttachmentIdTarget","clientDelay","modelEventIdDelayedBy","flags","duration","frequency","speedMps","accMpss","revolverNestedMissileInitDelay","revolverNestedMissileSubDelay","spell4ClientMissileIdNested","revolverMissileImpactAssetPath","missileRevolverTrackId","birthAnchorPath","deathAnchorPath","trajAnchorPath","birthDuration","birthAnchorAngleMin","birthAnchorAngleMax","deathAnchorAngleMin","deathAnchorAngleMax","deathAnchorSpace","itemSlotIdObj","objCostumeSide","trajPoseFullBlendDistance","trajAnchorPlaySpeed","parabolaHeightScale","rotateX","rotateY","rotateZ","scale","endScale","phaseFlags","telegraphDamageIdAttach","soundEventIdBirth","soundEventIdLoopStart","soundEventIdLoopStop","soundEventIdDeath","beamDiffuseColor","missileDiffuseColor"
7,2,0,0,2,"Art\FX\Model\Missiles\Gun_Comet_PPL\Gun_Comet_PPL.m3","","",0,0,20,1,16,14,267,0,2,0,0,30,0,0,0,0,"",0,"","","",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4294967295,0,0,0,0,0,0,0
9,0,0,0,2,"Art\FX\Model\Missiles\Gun_DotBall_PPL\Gun_DotBall_PPL.m3","","",0,0,0,1,0,14,0,0,0,16000,0,0,0,0,0,0,"Art\FX\Placeholder\IM_RED_14.m3",1,"","","",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4294967295,0,0,0,0,0,0,0
10,0,0,0,2,"Art\FX\Model\Missiles\Gun_DotBall_PPL\Gun_DotBall_v2_PPL.m3","","",0,0,20,0,16,14,100,0,0,0,0,0,0,0,0,0,"",0,"","","",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4294967295,0,0,0,0,0,0,0
11,0,0,0,2,"Art\FX\Model\Missiles\Gun_Comet_PPL\Gun_Comet_PPL.m3","","",0,0,20,0,16,14,100,0,0,0,0,0,0,0,0,0,"",0,"","","",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4294967295,0,0,0,0,0,0,0
12,0,0,0,2,"Art\Prop\Natural\Rock\SandStonePlatedRust\PRP_Rock_SandStonePlatedSmall_Rust_002.M3","","",0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,"",0,"","","",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4294967295,0,0,0,0,0,0,0
13,0,0,0,2,"Art\FX\Model\Missiles\Fire_Ball_OGE\Fire_Ball_OGE_12.m3","","",0,0,0,1,12,14,300,0,0,0,0,0,0,0,0,0,"",0,"","","",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4294967295,0,0,0,0,0,0,0
15,2,0,0,2,"Art\FX\Placeholder\Flux\Ball_NoArms.m3","","",0,0,20,0,14,14,0,0,3,16000,0,0,0,0,0,0,"Art\FX\Placeholder\IM_RED_14.m3",2,"","","",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4294967295,0,0,0,0,0,0,0
17,0,0,0,2,"Art\FX\Model\Impacts\Skug_ToxicSpit\Skug_ToxicSpit_14.M3","","",0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,"",0,"","","",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4294967295,0,0,0,0,0,0,0
18,0,0,0,0,"Art\FX\Model\Missiles\Fireball_OGE\Fireball_OGE.M3","","",0,0,20,1,2,8,0,0,0,0,0,0,0,0,0,0,"",0,"","","",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4294967295,0,0,0,0,0,0,0
19,0,0,0,0,"Art\FX\Model\Missiles\Fire_Ball_OGE\Fire_Ball_OGE_12.m3","","",0,0,0,1,2,8,0,0,0,0,0,0,0,0,0,0,"",0,"","","",0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,4294967295,0,0,0,0,0,0,0
