"ID","spell4EffectsId","effectTypeEnum","modificationParameterEnum","priority","modificationTypeEnum","data00","data01","data02","data03"
2,11867,8,7,1,0,1,1000,1000,0
3,11885,8,7,1,0,1,2000,2000,0
4,11887,8,7,1,0,1,3000,3000,0
5,12430,8,7,1,0,1,20,500,0
6,12431,8,6,1,1,1.2,10,0,0
7,12432,8,5,1,4,2,1,0,0
8,12433,8,7,1,0,2,10,0,0
9,12545,0,4,1,0,1,10000,300000,0
10,12873,8,1,0,3,1,0,0,0
11,12875,8,7,1,0,1,5,1000,0
12,13091,8,7,1,0,1,8,1000,0
13,13092,8,7,1,0,1,11,1000,0
14,13093,8,7,1,0,1,14,1000,0
15,13094,8,7,1,0,1,17,1000,0
16,13095,8,7,1,0,1,20,1000,0
17,13096,8,7,1,0,1,24,1000,0
18,13097,8,7,1,0,1,27,1000,0
19,13098,8,7,1,0,1,31,1000,0
20,13099,8,7,1,0,1,35,1000,0
21,13100,8,7,1,0,1,38,1000,0
22,13101,8,7,1,0,1,41,1000,0
23,13119,8,7,1,0,1,5,1000,0
24,13120,8,7,1,0,1,8,1000,0
25,13121,8,7,1,0,1,11,1000,0
26,13122,8,7,1,0,1,14,1000,0
27,13123,8,7,1,0,1,17,1000,0
28,13124,8,7,1,0,1,20,1000,0
29,13125,8,7,1,0,1,24,1000,0
30,13126,8,7,1,0,1,27,1000,0
31,13127,8,7,1,0,1,31,1000,0
32,13128,8,7,1,0,1,35,1000,0
33,13129,8,7,1,0,1,38,1000,0
34,13130,8,7,1,0,1,41,1000,0
35,13135,8,7,1,0,1,5,1000,0
36,13136,8,7,1,0,1,8,1000,0
37,13137,8,7,1,0,1,11,1000,0
38,13138,8,7,1,0,1,14,1000,0
39,13139,8,7,1,0,1,17,1000,0
40,13140,8,7,1,0,1,20,1000,0
41,13141,8,7,1,0,1,24,1000,0
42,13142,8,7,1,0,1,27,1000,0
43,13143,8,7,1,0,1,31,1000,0
44,13144,8,7,1,0,1,35,1000,0
45,13145,8,7,1,0,1,38,1000,0
46,13146,8,7,1,0,1,41,1000,0
47,13156,8,7,1,0,1,5,1000,0
48,13157,8,7,1,0,1,8,1000,0
49,13158,8,7,1,0,1,11,1000,0
50,13159,8,7,1,0,1,14,1000,0
51,13160,8,7,1,0,1,17,1000,0
52,13161,8,7,1,0,1,20,1000,0
53,13162,8,7,1,0,1,24,1000,0
54,13163,8,7,1,0,1,27,1000,0
55,13164,8,7,1,0,1,31,1000,0
56,13165,8,7,1,0,1,35,1000,0
57,13166,8,7,1,0,1,38,1000,0
58,13167,8,7,1,0,1,41,1000,0
59,13168,8,7,1,0,1,5,1000,0
60,13169,8,7,1,0,1,8,1000,0
61,13170,8,7,1,0,1,11,1000,0
62,13171,8,7,1,0,1,14,1000,0
63,13172,8,7,1,0,1,17,1000,0
64,13173,8,7,1,0,1,20,1000,0
65,13174,8,7,1,0,1,24,1000,0
66,13175,8,7,1,0,1,27,1000,0
67,13176,8,7,1,0,1,31,1000,0
68,13177,8,7,1,0,1,35,1000,0
69,13178,8,7,1,0,1,38,1000,0
70,13179,8,7,1,0,1,41,1000,0
71,13180,8,7,1,0,1,5,1000,0
72,13181,8,7,1,0,1,8,1000,0
73,13182,8,7,1,0,1,11,1000,0
74,13183,8,7,1,0,1,14,1000,0
75,13184,8,7,1,0,1,17,1000,0
76,13185,8,7,1,0,1,20,1000,0
77,13186,8,7,1,0,1,24,1000,0
78,13187,8,7,1,0,1,27,1000,0
79,13188,8,7,1,0,1,31,1000,0
80,13189,8,7,1,0,1,35,1000,0
81,13190,8,7,1,0,1,38,1000,0
82,13191,8,7,1,0,1,41,1000,0
83,13192,8,7,1,0,1,5,1000,0
84,13193,8,7,1,0,1,8,1000,0
85,13194,8,7,1,0,1,11,1000,0
86,13195,8,7,1,0,1,14,1000,0
87,13196,8,7,1,0,1,17,1000,0
88,13197,8,7,1,0,1,20,1000,0
89,13198,8,7,1,0,1,24,1000,0
90,13199,8,7,1,0,1,27,1000,0
91,13200,8,7,1,0,1,31,1000,0
92,13201,8,7,1,0,1,35,1000,0
93,13202,8,7,1,0,1,38,1000,0
94,13203,8,7,1,0,1,41,1000,0
95,13204,8,7,1,0,1,5,1000,0
96,13205,8,7,1,0,1,8,1000,0
97,13206,8,7,1,0,1,11,1000,0
98,13207,8,7,1,0,1,14,1000,0
99,13208,8,7,1,0,1,17,1000,0
100,13209,8,7,1,0,1,20,1000,0
101,13210,8,7,1,0,1,24,1000,0
102,13211,8,7,1,0,1,27,1000,0
103,13212,8,7,1,0,1,31,1000,0
104,13213,8,7,1,0,1,35,1000,0
105,13214,8,7,1,0,1,38,1000,0
106,13215,8,7,1,0,1,41,1000,0
107,13216,8,7,1,0,1,5,1000,0
108,13217,8,7,1,0,1,8,1000,0
109,13218,8,7,1,0,1,11,1000,0
110,13219,8,7,1,0,1,14,1000,0
111,13220,8,7,1,0,1,17,1000,0
112,13221,8,7,1,0,1,20,1000,0
113,13222,8,7,1,0,1,24,1000,0
114,13223,8,7,1,0,1,27,1000,0
115,13224,8,7,1,0,1,31,1000,0
116,13225,8,7,1,0,1,35,1000,0
117,13226,8,7,1,0,1,38,1000,0
118,13227,8,7,1,0,1,41,1000,0
119,13228,8,7,1,0,1,5,1000,0
120,13229,8,7,1,0,1,8,1000,0
121,13230,8,7,1,0,1,11,1000,0
122,13231,8,7,1,0,1,14,1000,0
123,13232,8,7,1,0,1,17,1000,0
124,13233,8,7,1,0,1,20,1000,0
125,13234,8,7,1,0,1,24,1000,0
126,13235,8,7,1,0,1,27,1000,0
127,13236,8,7,1,0,1,31,1000,0
128,13237,8,7,1,0,1,35,1000,0
129,13238,8,7,1,0,1,38,1000,0
130,13239,8,7,1,0,1,41,1000,0
131,13274,8,1,0,3,4,0,0,0
132,13275,8,1,0,3,2,0,0,0
133,13276,8,1,0,3,8,0,0,0
134,13277,8,1,0,3,16,0,0,0
135,13278,8,1,0,3,32,0,0,0
136,13279,8,1,0,3,128,0,0,0
137,13280,8,1,0,3,64,0,0,0
141,13508,4,8,1,0,1,200,10000,0
142,13510,0,8,1,0,1,-1,0,1
143,13520,8,7,1,0,1.5,100,10,0
144,13574,8,7,0,0,1,100,10000,0
145,13568,26,2,0,0,1,-2000,0,1
146,13577,29,6,0,0,1,500,10000,0
147,13578,4,8,0,0,1,300,10000000,0
148,13580,10,7,0,0,1,500,100000,0
149,13877,17,12,0,0,1,-5,0,1
150,13880,8,7,0,0,1,100,100000,0
151,13881,10,7,0,0,1,100,100000,0
152,13883,17,12,0,0,1,-10,0,1
153,13885,0,9,0,0,1,100,10000,0
154,13886,4,8,1,0,1,600,100000,0
155,13971,5,10,0,0,1,100,100,0
158,13974,0,4,0,0,1,5000,30000,0
159,13979,33,7,0,0,1,100,10000,0
160,13980,8,7,0,0,1,100,100000,0
161,13981,14,4,0,0,1,5000,30000,0
162,14298,8,2,0,0,0,-1000,0,1
163,14299,8,2,0,0,0,-1000,0,1
164,14300,8,2,0,0,0,-1000,0,1
165,14301,8,2,0,0,0,-1000,0,1
166,14302,8,2,0,0,0,-1000,0,1
168,14304,8,2,0,0,0,-1000,0,1
169,14305,8,6,0,0,1,100,10000,0
170,14306,8,7,0,0,1,100,100000,0
175,14311,8,2,0,0,0,-1000,0,1
180,14316,8,2,0,0,0,-1000,0,1
181,14317,8,2,0,0,0,-1000,0,1
182,14318,8,2,0,0,0,-1000,0,1
183,14319,8,2,0,0,0,-1000,0,1
184,14320,8,2,0,0,0,-1000,0,1
185,14321,8,2,0,0,0,-1000,0,1
186,14322,8,2,0,0,0,-1000,0,1
187,14323,8,2,0,0,0,-1000,0,1
188,14324,8,2,0,0,0,-1000,0,1
189,14325,4,8,0,0,1.5,100,10000,0
190,14326,8,2,0,0,0,-1000,0,1
191,14327,0,4,0,0,1,3000,100000,0
192,14328,29,7,0,0,1,1000,100000,0
193,14329,8,2,0,0,0,-1000,0,1
194,14332,8,2,0,0,0,-1000,0,1
196,14303,0,8,0,0,1,-0.4,0,1
199,13884,17,12,0,0,1,-5,0,1
200,13973,1,7,0,0,1,1,10,0
201,14457,51,4,0,0,1,3000,100000,0
202,14310,8,4,0,0,1,3000,10000,0
203,14458,8,4,0,0,1,3000,10000,0
212,14939,8,7,0,0,1,100,10000,0
218,13417,8,6,0,0,1.01,0,10000,0
219,15267,8,7,0,0,1.01,0,10000,0
220,13419,0,4,0,0,1,2000,120000,0
231,15296,8,6,0,0,1.03,0,100000,0
232,15301,8,7,0,0,1.03,0,100000,0
233,15312,8,7,0,0,1.2,0,100,0
234,15314,8,6,0,0,1.01,0,10000,0
235,15315,8,7,0,0,1.01,0,10000,0
238,13428,0,0,0,0,1,0,10000,0
241,15327,0,0,0,0,1,0,10000,0
248,15347,8,6,0,0,1.04,0,10000,0
249,15348,8,7,0,0,1.04,0,10000,0
255,15362,8,7,0,0,1.05,0,10000,0
257,13435,8,6,0,0,1.01,0,1000,0
258,15369,8,7,0,0,1.01,0,1000,0
259,13436,0,8,0,0,1,0.05,5,0
265,13442,8,6,0,0,1.01,0,1000,0
266,15392,8,7,0,0,1.01,0,1000,0
267,15396,8,6,0,0,1.01,0,1000,0
268,15397,8,7,0,0,1.01,0,1000,0
269,15400,8,6,0,0,1.1,0,1000,0
270,15401,8,6,0,0,1.1,0,1000,0
271,13444,0,8,0,0,1,0.05,10,0
272,15488,8,6,0,0,2,0,10000,0
273,15491,8,7,0,0,2,0,10000,0
274,15495,8,6,0,0,1.1,0,10000,0
275,15498,8,7,0,0,1.1,0,10000,0
276,15251,0,8,0,0,1,-0.5,0,1
278,15507,8,7,0,0,1.1,0,10000,0
280,15512,8,6,0,0,1.5,0,1000,0
281,15515,8,7,0,0,1.5,0,1000,0
282,15516,8,6,0,0,1.5,0,1000,0
283,15517,8,7,0,0,1.5,0,1000,0
299,15561,8,6,0,0,1.1,0,10000,0
300,15562,8,7,0,0,1.1,0,10000,0
303,15625,8,7,0,0,1.05,0,10000,0
304,13426,8,4,0,0,1,750,20000,0
305,15626,26,4,0,0,1,750,20000,0
307,15777,0,4,0,0,1,500,100000,0
308,16288,1,4,0,0,1,2000,120000,0
309,16289,23,4,0,0,1,2000,120000,0
310,16290,8,6,0,0,1.2,0,100,0
311,16420,8,6,0,0,1.02,0,100000,0
312,16422,8,7,0,0,1.02,0,100000,0
313,16473,8,6,0,0,1.02,0,10000,0
314,16474,8,7,0,0,1.02,0,10000,0
315,16476,8,6,0,0,1.03,0,10000,0
316,16477,8,7,0,0,1.03,0,10000,0
317,16479,8,6,0,0,1.04,0,10000,0
318,16480,8,7,0,0,1.04,0,10000,0
319,16482,8,6,0,0,1.05,0,10000,0
320,16483,8,7,0,0,1.05,0,10000,0
321,16501,0,4,0,0,1,4000,120000,0
322,16502,1,4,0,0,1,4000,120000,0
323,16503,23,4,0,0,1,4000,120000,0
324,16504,0,4,0,0,1,6000,120000,0
325,16505,1,4,0,0,1,6000,120000,0
326,16506,23,4,0,0,1,6000,120000,0
327,16507,0,4,0,0,1,8000,120000,0
328,16508,1,4,0,0,1,8000,120000,0
329,16509,23,4,0,0,1,8000,120000,0
330,16510,0,4,0,0,1,10000,120000,0
331,16511,1,4,0,0,1,10000,120000,0
332,16512,23,4,0,0,1,10000,120000,0
333,16537,8,4,0,0,1,1500,20000,0
334,16538,26,4,0,0,1,1500,20000,0
335,16539,8,4,0,0,1,2250,20000,0
336,16540,26,4,0,0,1,2250,20000,0
337,16541,8,4,0,0,1,3000,20000,0
338,16542,26,4,0,0,1,3000,20000,0
339,16543,8,4,0,0,1,3750,20000,0
340,16544,26,4,0,0,1,3750,20000,0
341,16397,8,6,0,0,1.01,0,10000,0
342,16622,8,7,0,0,1.01,0,10000,0
343,16630,8,6,0,0,1.02,0,10000,0
344,16632,8,7,0,0,1.02,0,10000,0
