"ID","spellGroupId00","spellGroupId01","spellGroupId02","spellGroupId03","spellGroupId04","spellGroupId05","spellGroupId06","spellGroupId07","spellGroupId08","spellGroupId09","spellGroupId10","spellGroupId11","spellGroupId12","spellGroupId13","spellGroupId14","spellGroupId15","spellGroupId16","spellGroupId17","spellGroupId18","spellGroupId19","spellGroupId20","spellGroupId21","spellGroupId22","spellGroupId23","spellGroupId24","spellGroupId25","spellGroupId26","spellGroupId27","spellGroupId28","spellGroupId29","spellGroupId30","spellGroupId31"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,26,50,51,9,6,17,23,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,26,46,50,6,9,17,20,22,92,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,26,46,51,6,9,17,20,22,92,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26,47,48,6,9,17,20,22,92,52,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26,47,48,6,9,17,20,22,92,53,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,26,47,48,6,9,17,20,22,92,54,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,26,47,49,6,9,17,20,22,92,55,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,26,47,49,6,9,17,20,22,92,56,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,26,47,49,6,9,17,20,22,92,57,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,9,17,20,23,26,47,48,52,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,9,17,20,23,26,47,48,53,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6,9,17,20,23,26,47,48,54,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,9,17,20,23,26,47,49,55,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6,9,17,20,23,26,47,49,56,94,149,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,9,17,20,23,26,47,49,57,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,9,17,20,23,26,47,48,52,98,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,9,17,20,23,26,47,48,53,98,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,9,17,20,23,26,47,48,54,98,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,9,17,20,23,26,47,49,55,98,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,9,17,20,23,26,47,49,56,98,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,9,17,20,23,26,47,49,57,98,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,9,17,20,23,26,47,48,52,29,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6,9,17,20,23,26,47,48,53,29,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,9,17,20,23,26,47,48,54,29,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6,9,17,20,23,26,47,49,55,29,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,6,9,17,20,23,26,47,49,56,29,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6,9,17,20,23,26,47,49,57,29,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,6,9,17,20,23,26,47,48,52,98,29,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6,9,17,20,23,26,47,48,53,98,29,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,6,9,17,20,23,26,47,48,54,98,29,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6,9,17,20,23,26,47,49,55,98,29,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6,9,17,20,23,26,47,49,56,98,29,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,6,9,17,20,23,26,47,49,57,98,29,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,6,9,17,20,23,26,47,48,52,30,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,9,17,20,23,26,47,48,53,30,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6,9,17,20,23,26,47,48,54,30,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6,9,17,20,23,26,47,49,55,30,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6,9,17,20,23,26,47,49,56,30,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6,9,17,20,23,26,47,49,57,30,94,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6,9,17,20,23,26,47,48,52,98,30,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6,9,17,20,23,26,47,48,53,98,30,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6,9,17,20,23,26,47,48,54,98,30,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6,9,17,20,23,26,47,49,55,98,30,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6,9,17,20,23,26,47,49,56,98,30,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6,9,17,20,23,26,47,49,57,98,30,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,6,9,17,20,23,26,46,50,93,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6,9,17,20,23,26,46,51,93,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,6,9,17,20,23,26,47,52,93,48,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6,9,17,20,23,26,47,53,93,48,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,6,9,17,20,23,26,47,54,93,48,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,6,9,17,20,23,26,47,55,93,49,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6,9,17,20,23,26,47,56,93,49,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,6,9,17,20,23,26,47,57,93,49,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,6,9,17,20,23,26,46,50,93,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
