"ID","spell4EffectsId","modificationParameterEnum","priority","modificationTypeEnum","data00","data01","data02","data03"
2,11866,2,1,0,1,25,25,0
3,11884,2,1,0,1,25,25,0
4,11886,2,1,0,1,25,25,0
5,12426,2,0,0,1,-10,0,1
6,12428,2,1,1,1.2,100,0,0
7,12429,3,0,0,1,-10000,0,1
9,12755,8,1,0,1.25,0,500,0
11,13507,0,0,0,1,-250,0.5,1
12,13509,8,0,0,1,-20,0,1
14,13518,3,0,0,1,-1000,0,1
15,13588,2,0,0,1,5,100,0
16,13573,8,0,0,1,-20,0,1
17,13582,3,0,0,1,-10000,1500,1
18,13878,0,0,0,1,-500,0,1
19,13879,3,0,0,1,-5000,0,1
20,13982,8,0,0,1,-100,0,1
21,14302,0,0,0,1,-250,0,1
22,14307,11,0,0,1,750,100000,0
23,14362,3,0,0,1,-10000,0,1
26,14322,3,0,0,1,-1000,0,1
27,14326,3,0,0,1,-2000,0,1
28,14329,2,0,0,1,10,50,0
30,14308,11,0,0,1,3000,100000,0
31,14320,8,0,0,1,-50,0,1
33,14566,2,0,2,5,0,10,0
34,14678,2,0,2,5,0,10,0
37,5397,3,0,0,0.92,0,0,1
38,14848,3,0,0,0.92,0,0,1
39,5399,3,0,0,0.88,0,0,1
40,14852,3,0,0,0.88,0,0,1
41,5401,3,0,0,0.84,0,0,1
42,14853,3,0,0,0.84,0,0,1
43,5403,3,0,0,0.8,0,0,1
44,14855,3,0,0,0.8,0,0,1
46,14917,3,0,0,0.96,0,0,1
47,14918,3,0,0,0.96,0,0,1
71,13427,3,0,0,1,-500,0,1
72,13433,3,0,0,1,-1000,0,1
75,14613,0,0,0,0.8,0,0,1
76,15386,0,0,0,0.95,0,0,1
77,15385,0,0,0,0.8,0,0,1
78,15388,0,0,0,0.8,0,0,1
79,13441,8,0,0,0.95,-10,0,1
80,15395,0,0,0,0.95,0,0,1
86,15410,8,0,0,0,0,0,1
87,15454,3,0,2,3000,0,0,1
88,15460,3,0,2,3000,0,0,1
89,15468,8,0,0,0,0,0,1
90,15472,8,0,0,0,0,0,1
91,15474,0,0,0,0.8,0,0,1
92,15478,0,0,0,1.1,0,100000,0
93,15479,0,0,0,1.1,0,100000,0
94,15481,0,0,0,0.8,0,0,1
95,15484,8,0,0,1,-10,0,1
96,15488,8,0,0,1,-10,0,1
97,15500,8,0,2,0,0,0,0
98,15552,8,0,2,0,0,0,0
99,15565,8,0,2,0,0,0,0
100,15601,8,0,0,1,-10,0,1
101,15638,3,0,0,1000,0,10000,0
102,15645,3,0,0,0.96,0,0,1
103,15646,3,0,0,0.96,0,0,1
105,15691,0,0,0,1.5,0,100000,0
106,15692,0,0,0,1.5,0,100000,0
107,15722,0,0,0,0.5,0,100000,1
108,15724,0,0,0,0.5,0,100000,1
109,15909,0,0,0,0.8,0,0,1
110,16093,0,0,0,0.05,0,1000,1
111,16340,0,0,0,0.8,0,0,1
112,13436,0,0,0,0.5,0,0,1
113,16398,0,0,0,0.5,0,0,1
114,16402,0,0,0,0,0,0,1
117,16545,3,0,0,1,-1000,0,1
118,16546,3,0,0,1,-1500,0,1
119,16547,3,0,0,1,-2000,0,1
120,16548,3,0,0,1,-2500,0,1
121,16669,3,0,0,1,-2000,0,1
122,16671,3,0,0,1,-3000,0,1
123,16673,3,0,0,1,-4000,0,1
124,16675,3,0,0,1,-5000,0,1
129,22013,0,0,0,0.1,0,1000,1
130,22015,0,0,0,0.15,0,1000,1
131,22017,0,0,0,0.2,0,1000,1
132,22019,0,0,0,0.25,0,1000,1
133,22021,0,0,0,0.3,0,1000,1
134,22023,0,0,0,0.35,0,1000,1
135,22025,0,0,0,0.4,0,1000,1
136,22027,0,0,0,0.45,0,1000,1
137,22029,0,0,0,0.5,0,1000,1
138,22031,0,0,0,0.55,0,1000,1
139,22033,0,0,0,0.6,0,1000,1
140,22036,0,0,0,0.05,0,1000,1
141,22038,0,0,0,0.1,0,1000,1
142,22040,0,0,0,0.15,0,1000,1
143,22042,0,0,0,0.2,0,1000,1
144,22044,0,0,0,0.25,0,1000,1
145,22046,0,0,0,0.3,0,1000,1
146,22048,0,0,0,0.35,0,1000,1
147,22050,0,0,0,0.4,0,1000,1
148,22052,0,0,0,0.45,0,1000,1
149,22054,0,0,0,0.5,0,1000,1
150,22056,0,0,0,0.55,0,1000,1
151,22058,0,0,0,0.6,0,1000,1
152,22060,0,0,0,0.05,0,1000,1
153,22062,0,0,0,0.1,0,1000,1
154,22064,0,0,0,0.15,0,1000,1
155,22066,0,0,0,0.2,0,1000,1
156,22068,0,0,0,0.25,0,1000,1
157,22076,0,0,0,0.3,0,1000,1
158,22078,0,0,0,0.35,0,1000,1
159,22080,0,0,0,0.4,0,1000,1
160,22082,0,0,0,0.45,0,1000,1
161,22084,0,0,0,0.5,0,1000,1
162,22086,0,0,0,0.55,0,1000,1
163,22088,0,0,0,0.6,0,1000,1
164,22257,0,0,0,0.05,0,1000,1
165,22259,0,0,0,0.1,0,1000,1
166,22261,0,0,0,0.15,0,1000,1
167,22263,0,0,0,0.2,0,1000,1
168,22265,0,0,0,0.25,0,1000,1
169,22267,0,0,0,0.3,0,1000,1
170,22269,0,0,0,0.35,0,1000,1
171,22271,0,0,0,0.4,0,1000,1
172,22273,0,0,0,0.45,0,1000,1
173,22275,0,0,0,0.5,0,1000,1
174,22277,0,0,0,0.55,0,1000,1
175,22279,0,0,0,0.6,0,1000,1
176,22281,0,0,0,0.05,0,1000,1
177,22283,0,0,0,0.1,0,1000,1
178,22285,0,0,0,0.15,0,1000,1
179,22287,0,0,0,0.2,0,1000,1
180,22289,0,0,0,0.25,0,1000,1
181,22291,0,0,0,0.3,0,1000,1
182,22293,0,0,0,0.35,0,1000,1
183,22295,0,0,0,0.4,0,1000,1
184,22297,0,0,0,0.45,0,1000,1
