"ID","reagentType","reagentTypeObjectId","reagentCount","consumeReagent"
5,0,12566,1,1
6,0,12567,1,1
7,0,12563,5,1
8,0,12568,5,1
9,0,12879,1,1
10,0,12880,1,1
12,0,22143,1,1
13,0,28285,1,1
14,0,28286,2,1
15,0,29211,1,1
16,0,40488,1,1
17,0,49611,5,1
18,0,74313,1,1
19,0,74335,1,1
20,0,74928,1,1
21,0,74930,1,1
22,0,74931,1,1
23,0,74935,1,1
24,0,74936,1,1
25,0,74937,1,1
26,0,77654,1,1
27,0,77655,1,1
28,0,77656,1,1
29,0,77711,1,1
30,0,77712,1,1
31,0,77713,1,1
32,0,77714,1,1
33,0,77715,1,1
34,0,77716,1,1
35,0,77726,1,1
36,0,81275,1,1
37,0,83660,1,1
38,0,83663,1,1
39,0,83664,1,1
40,0,83624,1,1
41,0,83697,1,1
42,0,83627,1,1
43,0,90834,1,1
44,0,90835,1,1
45,0,90836,1,1
46,0,90163,1,1
47,0,91249,1,1
48,0,91250,1,1
49,0,91973,1,1
50,0,91974,1,1
51,0,92272,1,1
52,0,92273,1,1
53,0,92274,1,1
54,0,92542,1,1
55,0,92543,1,1
56,0,92545,1,1
