"ID","spell4Id","telegraphDamageId"
5,33454,5
7,33795,8
8,33810,9
9,33828,10
10,33828,11
11,33828,12
12,33828,13
13,33828,14
14,33919,16
20,33928,22
21,33928,23
22,33944,24
23,33944,25
24,33953,26
25,33953,27
26,33953,28
27,33953,29
28,33953,30
29,33953,31
30,33953,32
31,33953,33
33,33972,35
34,33972,36
35,33972,37
36,33972,39
37,33972,40
38,33972,41
39,33972,42
40,34009,43
41,34009,44
42,34009,45
43,34009,46
44,34009,47
45,34010,50
46,34022,51
48,34024,53
49,34027,54
50,34027,55
51,34027,56
52,34027,57
53,34027,58
54,34037,62
55,29710,63
56,34050,76
57,34050,77
58,34050,78
59,34050,79
60,34050,80
61,34050,81
62,34051,82
63,34051,83
64,34051,84
65,34051,85
66,34051,86
69,34053,87
70,34053,88
71,34056,93
72,34056,94
73,34056,95
74,34056,96
75,34056,97
76,34056,98
77,34056,99
78,34074,100
80,34085,102
81,34085,103
82,34085,104
83,34097,105
84,34098,106
85,34131,107
86,34150,109
87,34150,110
88,34150,111
89,34150,112
90,34150,113
91,34150,114
92,34150,115
93,34150,116
94,34226,117
95,34226,118
96,34226,119
97,34226,120
98,34226,121
100,34234,122
102,34241,124
103,32808,125
115,30444,132
116,34772,205
117,34773,205
118,32893,133
119,34254,135
121,0,204
122,0,204
123,0,204
124,0,204
126,32809,139
127,33295,140
128,0,141
131,34262,145
132,33360,136
135,33361,136
142,33429,148
143,32810,1103
156,33181,195
160,33271,192
167,33140,155
173,33458,161
174,33050,972
185,34094,166
187,32129,168
189,34276,170
197,32321,163
200,32328,134
203,32328,147
205,33802,173
206,33813,174
208,32342,175
210,34299,177
213,32360,179
214,32360,180
221,34204,305
223,34309,184
224,32894,186
225,32894,187
226,32894,188
227,32894,189
228,32894,190
229,32894,191
230,33360,193
231,33361,193
234,33330,197
235,30447,194
237,34320,199
238,33445,200
239,33452,201
240,33472,202
243,34327,206
249,34347,207
253,32808,185
254,34371,212
255,34371,213
256,34373,214
257,34371,215
258,34371,216
259,34371,217
260,34371,218
262,34404,219
263,34404,220
264,34404,221
265,34555,226
266,34570,227
267,34571,228
268,34348,117
269,34348,118
270,34348,119
271,34348,120
272,34348,121
273,34348,231
276,34426,232
278,34349,234
279,34349,235
280,34349,236
281,34349,237
282,34349,238
283,34349,239
284,34446,240
292,34458,242
294,34457,243
296,34454,117
297,34454,118
298,34454,119
299,34454,120
303,34502,117
304,34502,118
305,34502,119
306,34502,120
309,34518,246
310,34522,816
312,34536,430
313,34551,251
315,34530,253
316,34530,254
325,34570,226
326,34571,227
327,34571,226
330,34584,259
332,34585,261
333,34585,262
334,34585,263
349,34634,265
350,34634,266
351,34634,267
352,34634,268
360,34642,277
361,34652,278
367,34658,284
369,34662,286
370,34662,287
371,34668,288
373,34682,290
374,34696,291
378,34704,296
379,34704,297
380,34704,298
381,34704,299
382,34704,300
383,34704,301
384,34704,302
385,34704,303
386,34739,304
387,34736,306
388,34788,307
389,34800,308
390,34771,132
391,0,205
392,0,205
393,34603,1343
395,34717,138
396,34012,309
397,34021,309
398,29874,310
400,29876,312
401,32893,125
402,32894,125
403,30223,314
404,30291,315
405,34759,316
406,34792,317
411,34906,322
413,34913,327
417,34913,328
418,34913,329
419,34913,330
420,34913,331
421,34836,333
422,34836,334
423,34836,335
427,34903,339
434,34370,342
435,34685,343
436,34286,344
438,34961,345
439,34964,346
440,34967,347
445,0,352
446,34972,353
447,34981,354
448,34980,355
449,34981,356
455,34980,357
456,34969,358
457,35000,359
458,35000,360
459,35000,361
460,35000,362
461,35000,363
462,35000,364
463,35000,365
464,35000,366
465,35000,367
466,35000,368
467,35000,369
468,35000,370
469,35000,371
470,35000,372
471,32214,373
472,35024,374
475,35041,377
476,35035,378
477,35038,379
478,35066,380
479,35068,382
480,35068,381
481,35153,199
482,35032,383
483,35171,384
484,35167,385
485,35187,386
486,35187,387
487,35187,388
488,35187,389
489,35187,390
490,35192,391
491,35223,392
495,35242,394
496,35242,395
497,35242,396
498,35242,397
499,35242,398
500,35246,399
501,34013,309
504,35248,401
508,35267,405
509,35274,411
510,35274,406
511,35274,407
512,35274,408
513,35274,409
514,35274,410
521,35282,418
524,35290,427
525,35284,421
526,35304,422
528,25529,424
531,35323,428
532,35324,429
533,35341,431
534,35341,432
540,35328,438
549,35376,446
550,35379,447
551,35379,448
552,35379,449
553,35379,450
554,35379,451
555,35379,452
556,35378,453
557,35378,454
558,35378,455
559,35378,456
560,35382,457
565,35388,447
566,35388,448
567,35388,449
568,35388,450
569,35388,451
570,35388,452
574,35389,447
575,35389,448
576,35389,449
577,35389,450
578,35389,451
579,35389,452
585,35391,463
586,35392,464
589,28928,467
590,28930,468
591,35403,467
602,35390,447
603,35390,448
604,35390,449
605,35390,450
606,35390,451
608,35411,486
609,35411,488
611,35406,485
616,35411,489
617,35411,490
618,35411,491
619,35411,492
625,35439,507
627,35417,493
631,35419,499
632,35419,500
633,35419,501
634,35419,502
635,35419,503
636,35419,504
637,35419,505
638,35434,509
639,35434,510
640,30287,511
641,35441,245
642,35443,512
647,34083,520
649,34086,522
653,35467,654
654,35467,655
656,34782,204
657,34782,137
658,35481,526
659,35481,527
660,35482,526
661,35482,527
662,35482,529
663,35482,530
664,35483,526
665,35483,527
666,35483,529
667,35483,530
668,35483,531
669,35483,532
670,35483,533
671,35483,534
672,35481,50
673,35482,50
674,35483,50
675,35480,535
677,35487,537
678,35494,538
679,35495,539
681,35505,540
682,35505,541
683,35505,542
684,35505,543
685,35505,544
686,35505,47
687,35505,43
688,35505,44
689,35505,45
690,35505,46
691,35388,461
692,35505,545
693,35505,546
694,35505,547
695,35505,548
696,35505,549
698,35507,551
703,35508,550
704,35509,550
706,34285,554
707,35516,153
708,35510,555
709,35510,556
710,35510,557
711,35510,558
712,35519,559
713,35519,560
714,35519,561
715,35519,562
716,35519,563
717,35519,564
718,35519,565
719,35526,453
720,35526,454
721,35526,455
722,35526,456
723,35520,566
724,35520,567
725,35520,568
726,35520,569
727,35520,570
728,35520,571
729,35520,572
730,35520,573
731,35520,574
732,35520,575
733,35520,576
734,35520,577
735,35520,578
736,35520,579
737,35523,580
738,35523,581
739,35523,582
740,35523,583
741,35523,584
742,35521,585
743,35521,586
744,35521,587
745,35521,588
746,35521,589
747,35521,590
748,35521,591
749,35521,592
750,35521,593
751,35521,594
752,35521,595
753,35521,596
754,35521,597
755,35521,598
756,35521,599
757,35521,600
758,35521,601
759,35521,602
760,35521,603
761,35521,604
762,35521,605
763,34281,606
764,35527,607
765,35527,608
766,35527,609
767,35527,610
768,35527,611
769,35531,606
770,35535,47
771,35535,614
772,35535,615
773,35535,616
774,35535,617
775,32422,613
776,34280,606
777,35541,618
779,35553,327
780,35553,328
781,35553,329
782,35553,330
783,35553,331
784,35560,327
785,35560,328
786,35560,329
787,35560,330
788,35560,331
789,35559,327
790,35559,328
791,35559,329
792,35559,330
793,35559,331
794,0,619
795,0,620
796,0,621
797,0,622
798,35563,619
799,35563,620
800,35563,621
801,35563,622
802,35554,327
803,35554,328
804,35554,329
805,35554,330
806,35554,331
807,35555,327
808,35555,328
809,35555,329
810,35555,330
811,35555,331
812,35543,106
813,35545,106
814,35550,106
815,0,623
816,35564,623
817,35461,106
818,35556,624
819,35556,625
820,35556,626
821,35569,109
822,35569,110
823,35569,111
824,35569,112
825,35569,113
826,35569,114
827,35569,115
828,35569,116
829,35576,627
830,35570,109
831,35570,110
832,35570,111
833,35570,112
834,35570,113
835,35570,114
836,35570,115
838,35570,628
839,35570,629
840,35570,630
841,35570,631
842,35570,632
843,35570,633
844,35570,634
845,35570,635
846,35571,109
847,35571,110
848,35571,111
849,35571,112
850,35571,113
851,35571,114
852,35571,115
853,35571,628
854,35571,629
855,35571,630
856,35571,631
857,35571,632
858,35571,633
859,35571,634
860,35571,635
861,35510,636
862,35510,637
863,35510,638
864,35510,639
868,35510,640
869,35510,641
870,35510,642
871,35510,643
872,35510,644
873,35510,645
874,35510,646
875,35510,647
876,35510,648
877,35510,649
878,35510,650
879,35510,651
880,35601,47
881,35601,614
882,35601,615
883,35601,616
884,35601,617
885,35601,652
886,35601,653
887,35535,657
888,35535,658
889,35535,659
890,35601,657
891,35601,658
892,35601,659
893,35603,660
904,35610,668
905,34959,671
908,35617,106
912,35618,106
915,35624,623
917,22964,674
921,35603,661
