"ID","spell4IdParent","spell4IdToCast","orderIndex","thresholdDuration","vitalEnumCostType00","vitalEnumCostType01","vitalCostValue00","vitalCostValue01","localizedTextIdTooltip","iconReplacement","visualEffectId"
1,25347,32194,0,5000,0,0,0,0,0,"",0
2,25347,32195,1,3000,0,0,0,0,0,"",0
4,32321,32322,0,0,0,0,0,0,0,"",0
5,32321,32322,1,0,0,0,0,0,0,"",0
6,32326,32327,0,0,0,0,0,0,0,"",0
9,32078,32079,0,0,0,0,0,0,240442,"Icon_SkillPhysical_UI_wr_lng",0
10,32078,32080,1,0,0,0,0,0,240443,"Icon_SkillPhysical_UI_wr_lng",0
13,32339,0,0,5000,6,8,5,50,0,"",0
14,32825,33253,1,5000,0,0,0,0,245324,"",0
15,32825,33254,2,3000,0,0,0,0,245325,"",0
16,33310,33311,0,1000,0,0,0,0,0,"",0
17,33310,33312,1,1000,0,0,0,0,0,"",0
18,33310,33313,2,1500,0,0,0,0,0,"",0
19,33310,33315,3,1500,0,0,0,0,0,"",0
20,33333,33337,0,0,0,0,0,0,0,"",0
21,33333,33338,1,0,0,0,0,0,0,"",0
26,33354,33355,0,0,0,0,0,0,0,"",0
27,33354,33356,1,0,0,0,0,0,0,"",0
32,33354,33364,2,0,0,0,0,0,0,"",0
33,33360,33361,0,0,0,0,0,0,0,"",0
34,33404,33400,0,0,0,0,0,0,0,"",0
35,33404,33401,1,0,0,0,0,0,0,"",0
36,33397,33398,0,0,0,0,0,0,0,"",0
37,33397,33399,1,0,0,0,0,0,0,"",0
38,33397,33400,2,0,0,0,0,0,0,"",0
61,32092,32097,0,0,0,0,0,0,0,"",0
62,32092,32098,1,0,0,0,0,0,0,"",0
64,33600,33603,0,1000,0,0,0,0,0,"",0
66,33600,33605,1,1000,0,0,0,0,0,"",0
68,33636,33638,1,0,0,0,0,0,0,"",0
69,33636,33637,0,0,0,0,0,0,0,"",0
70,33674,33676,1,0,0,0,0,0,0,"",0
71,33674,33675,0,0,0,0,0,0,0,"",0
73,33710,33714,0,0,0,0,0,0,0,"",0
74,33710,33717,1,750,0,0,0,0,0,"",0
80,33868,33870,1,0,0,0,0,0,0,"",0
81,33868,33869,0,0,0,0,0,0,0,"",0
82,32321,32323,2,0,0,0,0,0,0,"",0
83,34011,34012,1,750,0,0,0,0,0,"",0
84,34011,34013,2,750,0,0,0,0,0,"",0
85,34011,34021,3,1500,0,0,0,0,0,"",0
89,34031,34021,3,500,0,0,0,0,0,"",0
95,34053,33717,0,1000,0,0,0,0,0,"",14478
96,34053,33718,1,1000,0,0,0,0,0,"",14478
99,32825,34089,0,0,0,0,0,0,0,"",0
101,34031,34013,2,500,0,0,0,0,0,"",0
102,34031,34012,1,500,0,0,0,0,0,"",0
107,34011,34144,0,0,0,0,0,0,0,"",0
108,34031,34144,0,0,0,0,0,0,0,"",0
109,33710,33718,2,750,0,0,0,0,0,"",0
112,34538,34539,0,0,0,0,0,0,0,"",0
113,34538,34540,1,0,0,0,0,0,0,"",0
114,34538,34541,2,0,0,0,0,0,0,"",0
115,34404,34555,0,0,0,0,0,0,0,"",0
116,34404,34570,1,1000,0,0,0,0,0,"",0
117,34404,34571,2,1500,0,0,0,0,0,"",0
118,34620,34624,3,500,0,0,0,0,0,"",0
119,34620,34623,2,500,0,0,0,0,0,"",0
120,34620,34622,1,500,0,0,0,0,0,"",0
121,34620,34621,0,0,0,0,0,0,0,"",0
123,34718,34722,1,1000,0,0,0,0,0,"",0
124,34718,36691,2,1400,15,0,0,0,0,"",0
125,34718,34720,0,0,0,0,0,0,0,"",0
129,34719,79679,0,0,19,0,25,0,0,"",0
131,34749,34751,1,1250,18,0,1,0,0,"",0
134,34749,34750,0,0,0,0,0,0,0,"",0
135,34760,34762,1,500,0,0,0,0,0,"",0
138,34760,34761,0,0,0,0,0,0,0,"",0
140,30291,30292,0,0,0,0,0,0,0,"",0
141,30291,30293,1,0,0,0,0,0,0,"",0
147,35156,35172,0,0,0,0,0,0,0,"",0
148,35156,35173,1,1000,0,0,0,0,273615,"",0
149,35356,35357,0,0,0,0,0,0,0,"",0
151,35356,35359,1,0,0,0,0,0,0,"",0
155,35542,35546,0,0,0,0,0,0,0,"",0
176,35542,35546,1,0,0,0,0,0,0,"",0
177,35542,35546,2,0,0,0,0,0,0,"",0
190,34719,34767,2,800,0,0,0,0,0,"",0
192,34719,34766,1,600,0,0,0,0,0,"",0
193,35929,35931,1,1500,15,0,23,0,0,"",0
196,35929,35930,0,0,0,0,0,0,0,"",0
203,36009,36062,0,0,0,0,0,0,0,"",0
204,36009,36064,1,0,0,0,0,0,0,"",0
207,36085,36054,0,0,0,0,0,0,0,"",0
208,36085,36089,1,0,0,0,0,0,0,"",0
213,32133,36692,0,0,0,0,0,0,0,"",0
214,32133,36322,1,1500,0,0,0,0,0,"",0
224,33140,36897,0,0,0,0,0,0,0,"",0
225,33140,36941,1,1250,0,0,0,0,0,"",0
226,33140,36942,2,1250,0,0,0,0,0,"",0
227,36052,36053,0,0,0,0,0,0,0,"",0
228,36052,36055,1,0,0,0,0,0,0,"",0
231,38033,38120,0,0,0,0,0,0,0,"",0
232,38033,38121,1,0,0,0,0,0,0,"",0
233,38123,38124,0,0,0,0,0,0,0,"",0
238,38765,38766,0,0,0,0,0,0,0,"",0
239,38768,38769,0,0,0,0,0,0,0,"",0
240,38768,38770,1,0,0,0,0,0,0,"",0
247,38984,38766,0,0,0,0,0,0,0,"",0
248,39081,34468,0,0,0,0,0,0,0,"",0
249,39081,39082,1,1200,0,0,0,0,0,"",0
250,39081,39083,2,1800,0,0,0,0,0,"",0
251,39082,34468,0,0,0,0,0,0,0,"",0
252,39082,0,1,0,0,0,0,0,0,"",0
253,39082,0,2,0,0,0,0,0,0,"",0
254,39083,34468,0,0,0,0,0,0,0,"",0
255,39083,0,1,0,0,0,0,0,0,"",0
256,39083,0,2,0,0,0,0,0,0,"",0
264,39180,39188,0,0,0,0,0,0,0,"",0
275,39132,39223,0,0,0,0,0,0,0,"",0
276,39132,39224,1,1300,0,0,0,0,0,"",0
277,39132,39225,2,1300,0,0,0,0,0,"",0
295,39133,39231,0,0,0,19,0,25,0,"",0
296,39133,39232,1,650,0,0,0,0,0,"",0
297,39133,39233,2,650,0,0,0,0,0,"",0
299,39246,39252,0,0,0,0,0,0,0,"",0
300,39254,39252,0,0,0,0,0,0,0,"",0
301,39054,0,0,0,15,0,20,0,0,"",0
302,39054,0,1,1000,15,0,20,0,0,"",0
303,39054,0,2,1000,15,0,20,0,0,"",0
304,39054,0,3,1000,15,0,20,0,0,"",0
305,39054,0,4,1000,15,0,20,0,0,"",0
308,39495,39252,0,0,0,0,0,0,0,"",0
309,39490,39494,0,0,0,0,0,0,0,"",0
310,39537,39557,0,0,0,0,0,0,0,"",0
312,39585,39586,0,0,0,0,0,0,0,"",0
313,39585,39587,1,1000,0,0,0,0,0,"",0
314,39585,39588,2,1000,0,0,0,0,0,"",0
316,39675,39676,0,0,0,0,0,0,0,"",0
317,39675,39676,1,0,0,0,0,0,0,"",0
318,39675,39676,2,0,0,0,0,0,0,"",0
321,39675,39676,3,0,0,0,0,0,0,"",0
323,36373,36375,0,0,0,0,0,0,0,"",0
324,40170,40406,0,0,0,0,0,0,0,"",0
325,40170,40407,1,2000,0,0,0,0,0,"",0
327,41144,41146,0,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_leap",0
338,41349,41354,0,0,0,0,0,0,360924,"",0
339,41349,41356,1,2000,0,15,0,15,0,"",0
355,41523,41146,0,0,0,0,0,0,0,"",0
356,41569,41573,0,0,0,0,0,0,0,"",0
357,41569,41574,1,1250,0,0,0,0,0,"",0
359,41665,41666,0,0,0,0,0,0,0,"",0
360,41665,41574,1,0,0,0,0,0,0,"",0
361,41665,41577,2,0,0,0,0,0,0,"",0
371,41295,41299,0,0,0,0,0,0,0,"Icon_SkillEnergy_UI_ss_offblnblst",0
375,41832,0,0,0,0,0,0,0,368491,"",0
376,41832,0,1,500,0,0,0,0,0,"",0
377,41832,0,2,1000,0,0,0,0,0,"",0
379,41921,41922,0,0,0,0,0,0,0,"",0
380,41921,41926,1,2000,15,0,30,0,0,"",0
382,42021,42022,0,0,0,0,0,0,0,"",0
383,42021,42023,1,1250,0,0,0,0,0,"",0
384,42025,41759,0,0,6,0,20,0,0,"",0
385,42025,41760,1,1250,6,0,20,0,0,"",0
386,42026,41759,0,0,6,0,20,0,0,"",0
387,42026,41760,1,1250,6,0,20,0,0,"",0
392,42280,34903,0,0,0,0,0,0,0,"",0
393,42280,42147,2,700,0,0,0,0,0,"",0
394,42280,42146,1,750,0,0,0,0,0,"",0
395,42333,42335,0,0,0,0,0,0,0,"",0
396,42333,42334,1,1500,0,0,0,0,0,"",0
400,42602,42603,0,0,0,0,0,0,0,"",0
401,42602,42603,1,0,0,0,0,0,0,"",0
411,42626,41348,0,0,0,0,0,0,383736,"Icon_SkillPhysical_UI_wr_stall",0
412,42627,42628,0,0,0,0,0,0,0,"",0
413,42627,42628,1,0,0,0,0,0,0,"",0
414,43353,38766,0,0,0,0,0,0,0,"",0
415,43326,43383,0,0,0,0,0,0,0,"",0
416,43326,43384,1,1800,0,0,0,0,0,"",0
417,43398,43400,0,0,0,19,0,25,0,"",0
418,43398,43401,1,900,15,0,34,0,0,"",0
436,44436,34721,1,600,15,0,9,0,0,"",0
437,44436,34722,2,600,15,0,9,0,0,"",0
438,44436,36691,3,1000,15,0,9,0,0,"",0
439,44436,34720,0,0,15,0,9,0,0,"",0
443,45275,45277,1,2200,0,0,0,0,0,"",0
444,45275,45278,0,0,0,0,0,0,0,"",0
465,48040,48053,0,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
466,48040,48065,1,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
467,48044,48055,0,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
468,48044,48066,1,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
469,48045,48056,0,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
470,48045,48067,1,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
471,48046,48057,0,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
472,48046,48068,1,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
473,48047,48058,0,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
474,48047,48069,1,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
475,48048,48060,0,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
476,48048,48070,1,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
477,48049,48062,0,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
478,48049,48071,1,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
479,48050,48063,0,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
480,48050,48072,1,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_lng",0
484,48940,48976,1,1000,0,0,0,0,0,"",0
485,48940,49013,2,1400,15,0,0,0,0,"",0
486,48940,48958,0,0,0,0,0,0,0,"",0
488,48941,48977,1,1000,0,0,0,0,0,"",0
489,48941,49014,2,1400,15,0,0,0,0,"",0
490,48941,48959,0,0,0,0,0,0,0,"",0
492,48942,48978,1,1000,0,0,0,0,0,"",0
493,48942,49015,2,1400,15,0,0,0,0,"",0
494,48942,48960,0,0,0,0,0,0,0,"",0
496,48943,48979,1,1000,0,0,0,0,0,"",0
497,48943,49016,2,1400,15,0,0,0,0,"",0
498,48943,48961,0,0,0,0,0,0,0,"",0
500,48944,48980,1,1000,0,0,0,0,0,"",0
501,48944,49017,2,1400,15,0,0,0,0,"",0
502,48944,48962,0,0,0,0,0,0,0,"",0
504,48945,48981,1,1000,0,0,0,0,0,"",0
505,48945,49018,2,1400,15,0,0,0,0,"",0
506,48945,48963,0,0,0,0,0,0,0,"",0
508,48946,48982,1,1000,0,0,0,0,0,"",0
509,48946,49019,2,1400,15,0,0,0,0,"",0
510,48946,48964,0,0,0,0,0,0,0,"",0
512,48947,48983,1,1000,0,0,0,0,0,"",0
513,48947,49020,2,1400,15,0,0,0,0,"",0
514,48947,48965,0,0,0,0,0,0,0,"",0
519,48949,79680,0,0,19,0,25,0,0,"",0
520,48949,49004,2,800,0,0,0,0,0,"",0
522,48949,48994,1,600,0,0,0,0,0,"",0
523,48950,79681,0,0,19,0,25,0,0,"",0
524,48950,49005,2,800,0,0,0,0,0,"",0
526,48950,48995,1,600,0,0,0,0,0,"",0
527,48951,79682,0,0,19,0,25,0,0,"",0
528,48951,49006,2,800,0,0,0,0,0,"",0
530,48951,48996,1,600,15,0,0,0,0,"",0
531,48952,79683,0,0,19,0,25,0,0,"",0
532,48952,49007,2,800,0,0,0,0,0,"",0
534,48952,48997,1,600,0,0,0,0,0,"",0
535,48953,79684,0,0,19,0,25,0,0,"",0
536,48953,49008,2,800,0,0,0,0,0,"",0
538,48953,48998,1,600,0,0,0,0,0,"",0
539,48954,79685,0,0,19,0,25,0,0,"",0
540,48954,49009,2,800,0,0,0,0,0,"",0
542,48954,48999,1,600,0,0,0,0,0,"",0
543,48955,79686,0,0,19,0,25,0,0,"",0
544,48955,49010,2,800,0,0,0,0,0,"",0
546,48955,49000,1,600,0,0,0,0,0,"",0
547,48956,79687,0,0,19,0,25,0,0,"",0
550,48956,49001,1,600,0,0,0,0,0,"",0
555,49078,49087,0,0,0,0,0,0,0,"",0
556,49078,49105,1,0,0,0,0,0,0,"",0
557,49079,49088,0,0,0,0,0,0,0,"",0
558,49079,49106,1,0,0,0,0,0,0,"",0
559,49080,49089,0,0,0,0,0,0,0,"",0
560,49080,49107,1,0,0,0,0,0,0,"",0
561,49081,49090,0,0,0,0,0,0,0,"",0
562,49081,49108,1,0,0,0,0,0,0,"",0
563,49082,49091,0,0,0,0,0,0,0,"",0
564,49082,49109,1,0,0,0,0,0,0,"",0
565,49083,49092,0,0,0,0,0,0,0,"",0
566,49083,49110,1,0,0,0,0,0,0,"",0
