"ID","spell4VisualIdVisual00","spell4VisualIdVisual01","spell4VisualIdVisual02","spell4VisualIdVisual03","spell4VisualIdVisual04","spell4VisualIdVisual05","spell4VisualIdVisual06","spell4VisualIdVisual07","spell4VisualIdVisual08","spell4VisualIdVisual09","spell4VisualIdVisual10","spell4VisualIdVisual11","spell4VisualIdVisual12","spell4VisualIdVisual13","spell4VisualIdVisual14","spell4VisualIdVisual15","spell4VisualIdVisual16","spell4VisualIdVisual17","spell4VisualIdVisual18","spell4VisualIdVisual19","spell4VisualIdVisual20","spell4VisualIdVisual21","spell4VisualIdVisual22","spell4VisualIdVisual23","spell4VisualIdVisual24","spell4VisualIdVisual25","spell4VisualIdVisual26","spell4VisualIdVisual27","spell4VisualIdVisual28","spell4VisualIdVisual29","spell4VisualIdVisual30","spell4VisualIdVisual31","spell4VisualIdVisual32","spell4VisualIdVisual33","spell4VisualIdVisual34","spell4VisualIdVisual35","visualEffectIdPrimaryCaster"
1,1306,1220,9741,9742,12362,12390,12391,12392,12394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299
3,476,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,537,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2289
6,1691,1690,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694
7,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358
10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307
11,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5034
