"ID","cooldownTime"
30,1500
32,500
35,1000
36,10000
37,1000
48,6000
49,1000
50,10000
51,9000
52,30000
53,2000
54,3000
55,5000
56,4000
57,3000
59,10000
60,5000
61,15000
62,1000
63,500
64,2500
65,1500
66,3500
67,6000
68,30000
69,200000
70,15000
71,15000
72,1000
73,1000
74,4000
75,1000
76,35000
77,10000
78,4000
79,4000
80,10000
81,1000
82,1000
83,2000
84,6000
85,4000
86,30000
87,45000
88,60000
89,90000
90,120000
91,300000
92,600000
93,180000
94,1000
95,1500
96,3000
97,3000
98,1500
99,1500
100,1500
101,900
102,1000
103,500
104,1250
105,10000
106,500
107,333
108,1250
109,1500
110,750
111,300000
112,300000
114,250
115,1000
117,120000
118,1000
119,10000
120,3000
121,750
122,1500
123,1500
124,6000
125,1250
126,500
127,1250
128,1250
129,1000
130,180000
131,300000
132,180000
133,0
134,250
135,60000
136,3000
138,1000
139,25000
140,0
141,8000
142,20000
143,0
144,0
145,500
146,500
147,60000
148,30000
149,1000
150,15000
151,20000
152,4000
153,833
154,500
155,750
156,1000
157,1500
158,1000
159,1250
160,0
161,0
162,6000
163,60000
164,15000
165,18000
166,60000
167,6000
168,1200000
169,1200000
171,18000
172,15000
173,0
174,250
175,24000
176,25000
178,0
179,6000
180,750
182,25000
183,250
184,900000
185,7500
186,10000
187,500
188,750
189,10000
190,45000
192,10000
193,1000
194,850
195,10000
196,60000
197,45000
198,6000
199,10000
200,300000
201,650
202,500
203,333
204,120000
205,0
206,0
207,0
208,0
209,2500
212,5000
213,1000
214,500
215,1250
216,400
217,10000
218,500
219,6000
220,1250
222,1250
224,300000
227,565
229,8000
235,10000
236,500
237,250
238,750
239,30000
240,250
244,3000
245,666
246,0
248,350
249,250
250,500
251,750
252,1000
253,1250
254,1500
255,500
256,1000
257,1250
259,1000
260,1250
261,1250
262,1500
263,120000
264,5000
265,500
267,1250
268,35000
270,60000
271,1000
