"ID","classId","characterLevel","prerequisiteId","spell4Id","costMultiplier"
608,4,20,0,70953,1
611,4,12,0,41866,1
614,4,4,0,41843,1
631,4,1,0,58832,1
632,4,8,0,70757,1
633,4,9,0,41470,1
634,4,16,24286,42892,1
647,3,1,0,32893,1
648,3,4,0,44641,1
722,5,4,0,38803,1
733,5,7,0,42676,1
736,5,8,0,38838,1
748,5,14,0,38912,1
761,5,9,0,38841,1
762,5,12,0,38860,1
766,3,1,0,32809,1
767,3,6,0,32820,1
769,3,22,0,32819,1
770,3,14,0,32815,1
771,3,8,0,32814,1
772,3,7,0,32821,1
773,3,6,0,32823,1
780,5,1,0,38765,1
807,5,1,0,38779,1
808,5,1,0,38791,1
919,1,1,0,32078,1
920,1,1,0,58524,1
921,1,4,0,32128,1
922,1,24,0,46935,1
923,1,20,0,57978,1
924,1,7,0,32132,1
925,1,1,0,58591,1
926,1,22,0,70016,1
927,1,18,0,30568,1
928,1,16,24580,53599,1
929,1,6,0,57694,1
930,1,22,0,49557,1
931,1,14,0,32320,1
932,1,16,24539,36227,1
933,1,6,0,61053,1
934,1,5,0,33802,1
935,1,18,0,47214,1
936,1,14,0,32342,1
937,1,16,24564,32345,1
938,1,10,0,38787,1
939,1,8,0,38964,1
940,1,24,0,54395,1
941,1,7,0,54342,1
942,1,12,0,32358,1
943,1,10,0,54475,1
944,1,6,0,32351,1
945,1,9,0,32353,1
946,1,20,0,59080,1
948,1,9,0,57248,1
982,5,18,0,38899,1
984,5,16,24737,39497,1
994,2,22,0,34426,1
998,2,7,0,34522,1
1003,7,12,0,35356,1
1008,2,6,0,34658,1
1009,2,24,0,34669,1
1011,7,1,0,43468,1
1012,7,4,0,34756,1
1019,4,22,0,41539,1
1021,4,9,0,29888,1
1024,4,10,0,42338,1
1025,1,12,0,32129,1
1029,7,8,0,34772,1
1030,7,7,0,34353,1
1036,7,1,0,34718,1
1039,7,20,0,30006,1
1047,3,6,0,33181,1
1048,3,12,0,33140,1
1049,3,18,0,33257,1
1057,3,16,24739,36200,1
1058,3,5,0,32936,1
1059,3,18,0,32943,1
1060,3,14,0,32999,1
1062,3,10,0,33359,1
1065,3,16,24740,33366,1
1067,3,24,0,33392,1
1069,3,20,0,33270,1
1071,3,16,24741,33272,1
1073,4,7,0,70975,1
1074,3,10,0,36009,1
1082,3,7,0,36155,1
1084,3,9,0,36233,1
1086,4,1,0,29874,1
1087,4,5,0,41496,1
