"ID","phaseDelay","phaseFlags","orderIndex","spell4IdOwner"
1,0,0,0,1488
2,264700,0,1,1488
3,5300,0,2,1488
4,0,0,0,1490
5,264700,0,1,1490
6,5300,0,2,1490
11,3000,0,0,25529
12,1,0,1,25529
13,0,0,0,26621
14,2000,4,1,26621
15,500,0,2,26621
16,0,0,0,26955
17,300,0,1,26955
18,1400,0,2,26955
19,0,0,0,27434
20,1000,0,1,27434
21,1,0,2,27434
22,0,0,0,27485
23,1,0,1,27485
24,750,4,0,27539
25,1,0,1,27539
26,1,0,2,27539
27,0,0,0,27582
28,1,0,1,27582
29,3000,0,0,27668
30,0,0,0,27700
31,180000,0,1,27700
32,0,0,0,27952
33,500,0,1,27952
34,500,0,2,27952
35,500,0,3,27952
36,500,0,4,27952
37,500,0,5,27952
38,500,0,6,27952
39,0,16,0,28145
40,1500,0,1,28145
41,0,16,0,28150
42,1500,0,1,28150
43,0,16,0,28151
44,1500,0,1,28151
45,0,16,0,28152
46,1500,0,1,28152
47,0,16,0,28157
48,3000,0,1,28157
49,500,0,2,28157
50,0,16,0,28164
51,1500,0,1,28164
52,0,0,0,28298
53,2000,0,1,28298
54,3000,0,2,28298
55,0,0,0,28340
56,500,0,1,28340
57,500,0,2,28340
58,500,0,3,28340
59,500,0,4,28340
60,500,0,5,28340
61,500,0,6,28340
62,3000,4,0,28657
63,1,0,1,28657
64,999,0,2,28657
65,0,0,0,28780
66,1,0,1,28780
67,1799,0,2,28780
68,0,0,0,28782
69,3000,0,1,28782
70,0,0,0,28868
71,2000,4,1,28868
72,2000,4,0,28928
73,1000,0,1,28928
74,2000,20,0,28930
75,333,0,1,28930
76,667,0,2,28930
77,0,0,0,28939
78,4000,16,1,28939
79,26000,0,2,28939
80,200,0,0,29193
81,700,4,1,29193
82,0,272,0,29218
83,10000,272,1,29218
84,466,0,0,29242
85,421,260,1,29242
86,0,0,0,29318
87,700,0,1,29318
88,9300,4,2,29318
89,2000,0,3,29318
90,0,0,0,29408
91,100,276,1,29408
92,900,0,2,29408
93,1000,0,3,29408
94,1000,0,4,29408
95,1000,0,5,29408
96,1000,0,6,29408
97,1000,0,7,29408
98,1000,0,8,29408
99,1000,0,9,29408
100,466,0,0,29479
101,421,20,1,29479
102,1750,4,0,29548
103,200,0,1,29548
104,200,0,2,29548
105,200,0,3,29548
106,200,16,4,29548
107,0,0,0,29633
108,4000,0,1,29633
109,1,0,2,29633
110,0,0,0,29724
111,1,0,1,29724
112,2999,0,2,29724
113,3000,0,0,29955
114,3000,0,0,29991
115,0,16,0,30483
116,1500,0,1,30483
117,2500,0,2,30483
118,0,0,0,30563
119,5000,0,1,30563
120,0,0,0,30665
121,10,0,1,30665
122,250,0,2,30665
123,0,0,0,30834
124,500,0,1,30834
125,0,0,0,30915
126,2000,4,1,30915
127,0,0,0,30916
128,2500,4,1,30916
129,1500,0,0,30964
130,266,0,1,30964
131,4233,0,2,30964
132,750,16,0,30992
133,250,0,1,30992
134,250,0,2,30992
135,250,0,3,30992
136,250,0,4,30992
137,250,0,5,30992
138,250,0,6,30992
139,0,0,0,31019
140,700,0,1,31019
141,0,0,0,31020
142,700,0,1,31020
143,0,0,0,31064
144,3000,0,1,31064
145,0,0,0,31086
146,2000,4,1,31086
147,250,0,2,31086
148,250,0,3,31086
149,250,0,4,31086
150,250,0,5,31086
151,0,0,0,31186
152,1500,0,1,31186
153,1300,4,2,31186
154,500,0,3,31186
155,700,0,4,31186
156,1333,4,0,31259
157,667,0,1,31259
158,0,0,0,31283
159,1500,0,1,31283
160,1100,0,2,31283
161,500,0,0,31288
162,1000,0,1,31288
163,1000,0,2,31288
164,1000,0,3,31288
165,1500,0,4,31288
166,0,0,0,31318
167,6000,0,1,31318
168,0,0,0,31432
169,1000,260,1,31432
170,0,256,0,31531
171,3000,256,1,31531
172,0,0,0,31568
173,3000,260,1,31568
174,0,512,0,31711
175,3000,4,1,31711
176,300,528,2,31711
177,0,0,0,32065
178,250,0,1,32065
179,1250,0,2,32065
180,500,0,3,32065
181,0,768,0,32352
182,266,256,1,32352
183,167,256,2,32352
184,166,256,3,32352
185,2000,20,0,32539
186,300,0,1,32539
187,200,0,2,32539
188,0,0,0,32646
189,3000,4,1,32646
190,900,0,2,32646
191,1100,0,3,32646
192,0,0,0,32647
193,1,0,1,32647
194,3000,0,0,32648
195,900,0,1,32648
196,0,0,0,32654
197,2500,4,1,32654
198,0,0,0,32660
199,1,0,1,32660
200,1500,4,0,32739
201,58,0,1,32739
202,58,0,2,32739
203,108,0,3,32739
204,76,0,4,32739
205,1200,0,5,32739
206,1500,20,0,32827
207,400,0,1,32827
208,1100,0,2,32827
209,33,0,0,32845
210,1750,0,0,32846
211,2250,0,0,32847
212,2500,0,0,32848
213,2750,0,0,32849
214,3000,0,0,32852
215,1500,0,0,32862
221,1500,12,0,32894
222,1,0,1,32894
223,49,0,2,32894
224,50,0,3,32894
225,50,0,4,32894
226,0,0,0,33012
227,1000,0,1,33012
228,1000,0,2,33012
229,2000,0,3,33012
230,1500,0,0,33391
232,1000,0,1,33426
244,1500,0,0,33507
245,100,0,1,33507
247,1000,0,1,33531
248,1000,0,2,33531
249,1000,0,3,33531
250,1000,0,4,33531
251,1000,0,5,33531
252,1000,0,6,33531
253,1000,0,7,33531
254,1000,0,8,33531
255,1000,0,9,33531
256,1000,4,10,33531
257,800,4,0,33582
258,0,0,0,33601
259,300,0,1,33601
260,1400,0,2,33601
261,0,0,0,33628
262,1500,4,1,33628
263,3700,0,0,33670
264,0,0,0,33725
265,2666,4,1,33725
266,0,0,0,33741
267,2666,4,1,33741
268,0,0,0,33754
269,2666,4,1,33754
270,0,0,0,33789
271,5000,0,1,33789
272,433,0,0,33810
273,167,0,1,33810
274,133,0,2,33810
275,200,0,3,33810
276,167,0,4,33810
277,166,0,5,33810
278,167,0,6,33810
279,167,0,7,33810
280,166,0,8,33810
281,384,0,9,33810
282,2000,4,0,33828
283,50,0,1,33828
284,50,0,2,33828
285,50,0,3,33828
286,0,0,0,33888
287,4000,0,1,33888
288,0,16,0,33914
289,3500,0,1,33914
290,300,0,0,33919
291,533,0,1,33919
292,333,0,2,33919
293,500,0,3,33919
294,566,0,4,33919
295,2000,4,0,33928
296,133,0,1,33928
297,967,0,2,33928
298,400,0,3,33928
299,3500,4,0,33944
300,300,0,1,33944
301,200,0,2,33944
302,200,0,3,33944
303,200,0,4,33944
304,1833,0,5,33944
305,3500,20,0,33953
306,3400,0,1,33953
307,350,0,2,33953
308,250,0,3,33953
309,100,0,4,33953
310,100,0,5,33953
311,200,0,6,33953
312,300,0,7,33953
313,1000,4,0,33960
314,0,0,0,33962
315,2666,4,1,33962
316,1066,0,0,33969
317,200,0,1,33969
318,167,0,2,33969
319,167,0,3,33969
320,166,0,4,33969
321,167,0,5,33969
322,17,4,6,33969
323,50,0,7,33969
324,2000,4,0,33972
325,500,0,1,33972
326,833,0,2,33972
327,0,0,0,33977
328,500,0,1,33977
329,2200,4,0,34009
330,300,0,1,34009
331,500,0,2,34009
332,500,0,3,34009
333,2500,4,0,34010
334,100,0,1,34010
335,1600,4,0,34022
336,400,0,1,34022
337,2500,4,0,34024
338,300,0,1,34024
339,2000,4,0,34027
340,300,0,1,34027
341,500,0,2,34027
342,300,0,3,34027
343,1500,0,0,34037
344,2000,4,0,34038
345,0,0,0,34050
346,1500,4,1,34050
347,1133,0,2,34050
348,89,0,3,34050
349,100,0,4,34050
350,2000,4,0,34051
351,400,0,1,34051
352,400,0,2,34051
353,300,0,3,34051
354,400,0,0,34054
355,300,0,1,34054
356,1000,4,2,34054
357,100,0,3,34054
358,200,0,4,34054
359,2000,4,0,34055
360,500,16,1,34055
361,500,0,2,34055
362,500,0,3,34055
363,500,0,4,34055
364,2000,0,0,34056
365,2500,20,0,34074
366,1200,16,1,34074
367,500,0,2,34074
368,600,0,3,34074
369,600,0,4,34074
370,650,0,5,34074
371,1000,0,6,34074
372,0,0,0,34078
373,1500,4,1,34078
374,400,0,2,34078
378,2500,4,0,34085
379,1000,0,1,34085
380,1000,16,2,34085
381,1000,0,3,34085
382,1000,0,4,34085
383,1000,0,5,34085
384,1000,0,6,34085
385,1,0,0,34086
386,2500,20,0,34097
387,100,0,1,34097
388,1000,0,2,34097
389,1000,0,3,34097
390,1000,0,4,34097
391,1000,0,5,34097
392,1000,0,6,34097
393,0,0,0,34098
394,1000,0,1,34098
395,1000,0,2,34098
396,1000,4,3,34098
397,1000,16,4,34098
398,2000,0,5,34098
399,0,0,0,34131
400,666,0,1,34131
401,400,0,2,34131
402,567,0,3,34131
403,833,0,4,34131
404,2000,4,0,34150
405,133,0,1,34150
406,67,0,2,34150
407,200,0,3,34150
408,100,0,4,34150
409,50,0,5,34150
410,216,0,6,34150
