"ID","worldId","splineType"
210,51,0
484,51,1
961,625,1
1188,647,1
1189,647,1
1190,647,1
1193,647,1
1194,647,1
1195,647,1
1196,647,1
1197,647,1
1198,647,1
1199,647,1
1200,647,1
1201,647,1
1202,647,1
1203,647,1
1204,647,1
1209,392,1
1226,647,0
1227,647,0
1228,647,0
1229,647,0
1238,647,1
1239,647,1
1240,647,1
1241,647,1
1242,647,1
1259,647,1
1260,647,1
1261,647,1
1262,647,1
1264,647,0
1282,233,0
1283,233,0
1284,233,1
1285,233,1
1286,233,0
1287,233,1
1298,622,1
1308,51,1
1316,625,1
1317,625,1
1328,170,1
1330,647,1
1331,647,1
1339,647,1
1340,647,1
1367,669,1
1389,636,1
1390,636,1
1391,636,1
1393,636,1
1400,636,1
1417,636,1
1425,636,1
1426,636,1
1427,636,1
1429,636,1
1435,51,1
1439,636,1
1442,636,1
1443,636,1
1446,636,1
1447,636,1
1452,51,1
1453,51,1
1455,51,1
1457,636,1
1458,636,1
1497,51,1
1498,51,1
1499,51,1
1509,51,1
1510,636,1
1511,51,1
1523,647,1
1524,647,1
1526,51,1
1527,51,1
1528,51,1
1529,51,1
1530,51,1
1531,51,1
1532,51,1
1534,51,1
1535,51,1
1536,51,1
1537,51,1
1538,51,1
1539,51,1
1540,51,1
1548,51,1
1549,51,1
1550,51,1
1551,51,1
1556,51,1
1557,51,1
1558,51,1
1559,51,1
1568,647,1
1571,670,1
1574,670,1
1575,670,1
1576,670,1
1581,670,1
1582,670,1
1583,670,1
1592,669,1
1600,670,1
1601,670,1
1602,670,1
1603,670,1
1640,51,1
1641,51,1
1642,466,1
1643,466,1
1645,670,1
1660,670,1
1661,670,1
1668,669,1
1669,669,1
1676,669,1
1687,669,1
1688,669,1
1692,466,1
1693,466,1
1694,466,1
1695,466,1
1696,466,1
1697,466,1
1698,466,1
1699,466,1
1700,466,1
1701,466,1
1702,466,1
1703,466,1
1704,466,1
1705,466,1
1706,466,1
1707,466,1
1708,466,1
1709,466,1
1710,466,1
1711,466,1
1712,466,1
1713,466,1
1714,466,1
1715,466,1
1716,466,1
1755,670,1
1762,669,1
1763,669,1
1764,669,1
1790,22,1
1822,669,1
1825,726,1
1826,726,1
1828,726,1
1829,726,1
1844,669,1
1941,57,1
1951,670,1
1952,670,1
1953,670,1
1960,404,1
1966,404,1
1987,46,1
1989,670,1
2052,750,1
2053,750,1
2054,750,1
2055,750,1
2056,750,1
2057,750,1
2058,750,1
2059,750,1
2060,750,1
2061,750,1
2062,750,1
2063,750,1
2064,750,1
2065,750,1
2067,750,1
2068,750,1
2070,750,1
2072,750,1
2073,750,1
2074,750,1
2078,750,1
2079,750,1
2081,392,1
2082,392,1
2083,392,1
2084,392,1
2085,392,1
2086,392,1
2087,392,1
2088,392,1
2089,392,1
2090,392,1
2091,392,1
2092,392,1
2093,392,1
2094,392,1
2100,750,1
2101,750,1
2106,750,1
2113,750,1
2114,750,1
2116,750,1
2117,750,1
2118,750,1
2119,750,1
2120,750,1
2121,392,1
2122,392,1
2123,750,1
2129,669,1
2131,183,1
2138,767,1
2139,767,1
2141,767,1
2142,767,1
2143,767,1
2144,767,1
2145,767,1
2146,767,1
2147,767,1
2148,767,1
2149,767,1
2154,392,1
2155,392,1
2156,772,1
2157,772,1
2158,772,1
2161,625,1
2162,625,1
2163,625,1
2164,625,1
2165,625,1
2169,392,1
2184,768,1
2185,670,1
2186,670,1
2190,208,1
2191,772,1
2192,772,1
2193,772,1
2194,772,1
2195,772,1
2196,772,1
2197,772,1
2198,772,1
2199,772,1
2200,772,1
2201,772,1
2202,772,1
