"ID","displayType","displayValue","modelCameraId","localizedTextIdName"
1,0,0,1,712169
2,1,72087,5,720385
3,1,72089,5,720388
4,1,72090,5,720392
5,1,72091,5,720394
6,1,72092,5,720404
7,1,72093,5,720407
8,1,72094,5,720409
9,1,72095,5,720413
10,1,72103,5,721453
11,1,72105,5,721468
12,1,72110,5,721714
13,1,72111,5,721746
14,1,72113,5,721747
15,1,72112,5,721748
16,1,72115,5,721759
17,1,72121,5,721837
18,1,72122,5,721838
19,1,72123,5,721839
20,2,421,5,721841
21,2,390,5,721842
22,2,393,5,721843
23,2,1040,5,721902
24,2,1073,5,721903
25,2,1074,5,721904
26,2,1087,5,721905
27,2,285,5,721908
28,2,298,5,721909
29,2,394,5,721916
30,2,400,5,721918
31,2,423,5,721919
32,2,854,5,721920
33,2,1122,5,721921
34,2,1008,5,721922
35,2,396,5,721923
36,2,237,5,721924
37,2,725,5,721925
38,2,1009,5,721926
39,2,286,5,721927
40,2,1477,5,721928
41,2,241,5,721929
42,2,258,5,721930
43,2,320,5,721931
44,2,1121,5,721932
45,2,913,5,721933
46,2,422,5,721934
47,2,318,5,721935
48,2,460,5,721936
49,2,857,5,721937
50,2,1007,5,721938
51,2,1076,5,721939
52,2,1089,5,721940
53,2,1151,5,721941
54,2,490,5,721942
55,2,466,5,721943
56,2,1091,5,721944
57,2,1124,5,721972
58,2,1375,5,721973
59,2,360,5,722016
60,2,281,5,722017
61,2,290,5,722018
62,2,1795,5,722019
63,2,1794,5,722032
64,2,1788,5,722033
65,2,1787,5,722034
66,2,1753,5,722035
67,2,1752,5,722048
68,2,1784,5,722073
69,2,1780,5,722074
70,2,1760,5,722075
71,2,1772,5,722088
72,2,1791,5,722113
73,2,1785,5,722126
74,2,1777,5,722131
75,2,1841,5,722132
76,2,1793,5,722133
77,2,1775,5,722146
78,2,1774,5,722147
79,2,1807,5,722148
80,2,1751,5,722149
81,2,1771,5,722162
82,2,1770,5,722163
83,2,1768,5,722166
84,2,1806,5,722169
85,2,1805,5,722170
86,2,1767,5,722171
87,2,1766,5,722172
88,2,1765,5,722209
89,2,1761,5,722210
90,2,1776,5,722229
91,2,1769,5,722230
92,2,1792,5,722243
93,2,1750,5,722244
94,2,2359,5,722245
95,2,2360,5,722246
96,2,2361,5,722247
97,2,2362,5,722248
98,2,2363,5,722249
99,2,2364,5,722262
100,2,2365,5,722263
101,2,2366,5,722264
102,2,2367,5,722265
103,2,2369,5,722266
104,2,2370,5,722267
105,2,2371,5,722268
106,2,2372,5,722269
107,2,2373,5,722270
108,2,2374,5,722271
109,2,2375,5,722272
110,2,2376,5,722273
111,2,2377,5,722274
112,2,2378,5,722275
113,2,2297,5,722276
114,2,2311,5,722277
115,1,71684,5,722290
116,1,71685,5,722291
117,1,71686,5,722292
118,1,71699,5,722293
119,1,71700,5,722294
120,1,71701,5,722295
121,4,55052,5,722296
122,4,51463,5,722297
123,4,55170,5,722298
124,4,56054,5,722299
125,4,57428,5,722300
126,4,57100,5,722301
127,4,57536,5,722302
128,4,57538,5,722303
129,4,57537,5,722304
130,4,57871,5,722305
131,1,72125,5,722318
132,1,72126,5,722319
133,1,72127,5,722333
134,1,72130,5,722334
135,1,72128,5,722335
136,1,72129,5,722336
137,1,72131,5,722349
138,1,72132,5,722350
139,1,72133,5,722351
140,1,72134,5,722979
141,1,72135,5,722992
142,1,72136,5,722993
143,1,72137,5,723006
144,1,72138,5,723007
145,1,72139,5,723008
146,1,72140,5,723009
147,1,72141,5,723010
148,1,72142,5,723011
149,1,72143,5,723264
150,1,72144,5,723265
151,1,72145,5,723266
152,1,72146,5,723279
153,1,72147,5,723280
154,1,72148,5,723281
155,1,72149,5,723282
156,1,72150,5,723295
157,1,72151,1,723436
158,1,72152,1,723479
159,1,72153,5,723522
160,1,72154,5,723579
161,3,0,5,723701
162,3,0,5,723702
163,3,0,5,723703
164,3,0,5,723704
165,3,0,5,723705
166,3,0,5,723706
167,3,0,5,723707
168,3,0,5,723708
169,3,0,5,723709
170,3,0,5,723710
171,3,0,5,723711
172,1,72588,5,723712
173,1,72544,5,723718
174,1,72545,5,723719
175,1,72546,5,723732
176,1,72547,5,723734
177,1,72551,5,723735
178,1,72552,5,723737
179,1,72157,5,724575
180,1,71390,5,724636
181,2,1786,5,727507
182,1,71370,5,729998
183,4,57558,5,730478
184,4,57557,5,730483
185,4,57555,5,730484
186,4,57556,5,730489
187,4,56056,5,730516
188,4,57587,5,730524
189,4,57588,5,730525
190,4,57589,5,730526
191,4,57590,5,730527
192,4,57581,5,730528
193,1,72591,5,730543
194,1,72592,5,730544
195,1,72590,5,730545
196,1,72593,5,730546
197,1,72589,5,730547
198,1,72591,5,730553
199,1,72592,5,730554
200,1,72590,5,730555
201,1,72593,5,730556
202,1,72589,5,730557
203,1,72588,5,730558
204,1,72588,5,730559
205,1,72591,5,730560
206,1,72592,5,730561
