"ID","enumName","categoryData","categoryDataPTR","accountItemId"
1,"Pets",78,83,0
2,"BankSlots",0,0,93
3,"CostumeSlots",0,0,78
4,"HoloWardrobeSlots",0,0,210
5,"ServiceTokens",0,0,250
6,"MysticShiny",0,0,433
7,"ExtraDecor",0,0,86
8,"ExtraAuctionsAndBids",0,0,79
9,"ExtraCommodityOrders",0,0,81
10,"Mounts",31,59,0
11,"Dyes",39,56,0
13,"FriendsOfRotostar",134,0,0
14,"CharacterSlot",0,0,133
15,"ChuaWarrior",0,0,2184
16,"AurinEngineer",0,0,2185
17,"PromotionToken",0,0,2186
18,"LockboxKey",0,0,248
19,"SignatureBundles",206,206,0
20,"UnlockRealmBank",0,0,3084
21,"RealmBankSlots",0,0,3085
