"ID","localizedTextIdDisplayString","type","data0","data1","data2","data3","data4","data5","data6"
1,0,1,1,0,1972,0,1974,1955,0
2,0,1,23023,0,0,0,0,0,0
3,0,1,1,0,0,0,0,0,0
5,0,2,1,0,0,0,0,0,0
6,0,1,39149,0,0,0,0,0,0
7,0,9,2441,6879,6880,6881,3944,3945,6882
10,0,1,2023,0,0,0,0,0,0
11,16861,1,1915,0,0,0,0,0,0
12,0,1,2059,0,0,0,0,0,0
13,0,1,9622,0,0,0,0,0,0
14,188260,5,5,0,0,0,0,0,0
15,188781,1,21928,0,0,0,0,0,0
16,188782,1,21927,0,0,0,0,0,0
19,0,1,2107,0,0,0,0,0,0
20,158004,1,17018,17045,0,0,0,0,0
22,249795,1,9898,0,0,0,0,0,0
26,158001,3,170,0,0,0,0,0,0
27,0,9,2202,2203,3086,4859,4860,4861,4298
29,0,1,2290,2410,0,0,0,0,0
30,0,1,0,0,0,0,0,0,0
31,158012,1,21667,21669,21671,21670,16612,0,0
32,158008,1,26247,0,0,0,0,0,0
33,228567,1,24246,0,0,0,0,0,0
34,158370,1,28092,0,0,0,0,0,0
35,0,1,61556,2409,61554,0,0,0,0
36,0,3,171,0,0,0,0,0,0
38,231270,1,11266,0,0,0,0,0,0
39,158009,1,9605,0,0,0,0,0,0
41,158025,1,30755,0,0,0,0,0,0
42,0,1,2418,2419,0,2421,2422,0,0
43,372730,4,1112,0,0,0,0,0,0
44,158010,1,32204,32205,0,0,0,0,0
45,158043,1,27876,29976,0,0,0,0,0
46,0,1,2449,0,0,0,0,0,0
47,0,1,2437,2440,2441,0,0,0,0
48,385391,1,41995,41997,0,0,0,0,0
49,0,3,167,249,0,0,0,0,0
50,0,1,1916,0,0,0,0,0,0
52,0,1,2288,2525,0,0,0,0,0
53,0,1,2422,2419,0,0,0,0,0
56,0,1,2004,0,2669,2643,0,0,0
58,0,1,1881,2460,2588,0,0,0,0
60,0,1,2410,0,0,0,0,0,0
61,0,1,2034,0,0,0,0,0,0
62,0,1,2516,2518,2517,0,0,0,0
63,0,1,23102,0,0,0,0,0,0
64,0,1,2531,2532,2533,0,0,0,0
66,0,9,2410,2411,2352,2353,6292,3830,2385
69,0,1,1707,1804,0,0,0,0,0
71,0,9,2277,2278,2279,2280,2281,2282,2365
72,0,1,2557,2535,2536,2537,2541,2545,2556
73,0,1,2538,2539,2540,2542,2543,2544,2555
75,0,1,2282,2286,2320,2498,0,0,0
76,0,1,2425,0,2515,2514,2424,0,0
77,0,1,2514,2515,2424,2425,0,0,0
78,0,1,2708,2709,2710,2711,2712,2734,0
79,0,1,1744,0,0,0,0,0,0
82,0,3,278,0,0,0,0,0,0
116,0,9,3000,3001,3002,3007,0,0,0
137,29602,1,2712,0,0,0,0,0,0
138,29726,1,3311,0,0,0,0,0,0
175,0,3,218,0,0,0,0,0,0
176,0,9,4032,4033,4035,4036,4514,0,0
178,0,9,2178,2179,2243,2756,3078,3079,2027
179,35455,1,4063,0,0,0,0,0,0
180,35574,11,182,183,184,0,0,0,0
182,35882,9,3914,0,0,0,0,0,0
183,35883,9,3915,0,0,0,0,0,0
184,35884,9,3916,3917,3950,0,0,0,0
188,0,1,4079,4080,4081,0,0,0,0
192,0,9,2307,2308,2309,2310,2328,2329,2330
199,0,9,4864,4865,5487,5488,2836,2323,0
200,0,1,3978,0,0,0,0,0,0
202,0,1,4097,4098,0,0,0,0,0
205,37558,1,3607,0,0,0,0,0,0
206,0,9,4313,2421,2422,2423,2424,2425,0
207,0,9,5077,5078,5076,5080,5079,0,0
208,0,1,4347,0,0,0,0,0,0
