"ID","localizedTextId","taxiNodeTypeEnum","flags","flightPathTypeEnum","taxiNodeFactionEnum","worldLocation2Id","contentTier","autoUnlockLevel","recommendedMinLevel","recommendedMaxLevel"
1,196412,0,56,0,0,16832,0,0,0,0
2,196422,0,56,0,0,16833,1,0,0,0
3,196423,0,56,0,0,16834,5,0,0,0
4,196424,0,56,0,0,16835,10,0,0,0
5,197905,0,56,0,1,4552,2,3,8,14
6,197911,1,57,0,1,4545,1,3,14,18
7,197956,0,56,0,1,17176,3,11,14,18
8,198346,0,1,1,0,17238,1,0,0,0
9,198347,0,1,1,0,17240,1,0,0,0
10,198685,1,4,0,1,15224,1,0,6,14
11,198694,1,4,0,1,10219,1,0,6,14
12,198695,1,4,0,1,10227,1,0,6,14
13,198696,1,4,0,1,15226,1,0,6,14
14,201220,1,4,0,1,13767,1,0,14,22
15,201237,1,4,0,1,17568,1,0,14,22
16,201517,1,4,0,1,17624,1,0,14,22
17,201518,1,4,0,1,17625,1,0,14,22
18,202200,1,4,0,2,16676,1,0,22,30
19,202206,1,4,0,2,16677,1,0,22,30
20,202207,1,4,0,2,16678,1,0,22,30
21,202208,1,4,0,2,16690,1,0,22,30
22,202242,1,4,0,1,17714,1,0,22,30
23,202249,1,4,0,1,15653,1,0,22,30
24,202250,1,4,0,1,15654,1,0,22,30
25,202251,1,4,0,1,15655,1,0,22,30
26,221126,1,4,0,2,18710,1,0,14,22
27,221127,1,4,0,2,18725,1,0,14,22
28,221128,1,4,0,2,18737,1,0,14,22
29,231070,1,4,0,2,19977,1,0,14,22
30,231073,1,4,0,2,19980,1,0,14,22
31,231075,1,4,0,2,19981,1,0,14,22
32,234369,0,0,1,0,20339,1,0,0,0
33,235429,1,4,0,2,20530,1,0,14,22
34,235433,1,4,0,2,20529,1,0,14,22
35,235526,0,1,1,1,20537,1,0,0,0
36,235726,1,4,0,2,20575,1,0,14,22
37,236191,0,1,1,1,20339,1,0,0,0
38,236311,0,1,1,1,1329,1,0,6,14
39,237536,0,1,0,0,16396,1,0,0,0
40,238332,0,1,0,0,20339,1,0,0,0
41,257609,1,60,0,1,43388,1,0,28,36
42,257615,1,60,0,2,22504,1,0,28,36
43,257616,1,60,0,1,22456,1,0,28,36
44,257617,1,60,0,2,22515,1,0,28,36
45,257618,1,60,0,1,22463,1,0,28,36
46,257619,1,60,0,2,22520,1,0,28,36
47,257622,1,60,0,1,43389,1,0,28,36
48,257623,1,60,0,2,43392,1,0,28,36
49,257624,1,60,0,1,43390,1,0,28,36
50,257625,1,60,0,2,43391,1,0,28,36
51,259933,0,1,0,0,23351,1,0,0,0
52,259946,0,1,0,0,23352,1,0,0,0
53,259947,0,1,0,0,23353,1,0,0,0
54,259948,0,1,0,0,23354,1,0,0,0
55,262519,0,1,1,2,3487,1,0,6,14
56,265596,0,1,1,2,20537,1,0,0,0
57,265597,0,1,1,2,20339,1,0,0,0
58,282242,1,4,0,2,24597,1,0,14,22
59,282377,1,4,0,2,24598,1,0,14,22
60,283647,0,56,0,2,24611,3,11,14,18
61,283649,0,56,0,2,24612,3,11,14,18
62,283650,0,56,0,2,24613,3,11,16,20
63,283651,0,56,0,2,24614,3,11,18,22
64,284862,0,56,0,2,24708,2,3,10,14
65,289230,1,4,0,2,27399,1,0,6,14
66,289231,1,4,0,2,27401,1,0,6,14
67,291768,0,56,0,2,25279,2,3,8,12
68,291769,0,56,0,2,25280,2,3,6,10
69,293412,1,57,0,2,25447,1,3,14,18
70,293816,0,56,0,2,25506,2,3,6,14
71,295115,1,60,0,1,25689,1,0,6,14
72,295226,1,60,0,1,25693,1,0,6,14
73,295230,1,60,0,1,25694,1,0,6,14
74,303881,1,60,0,1,26414,1,0,6,14
75,303902,1,60,0,1,26417,1,0,6,14
76,303911,1,60,0,1,26416,1,0,6,14
77,303920,1,60,0,1,26419,1,0,6,14
78,304148,1,60,0,1,26441,1,0,6,14
79,306975,1,20,0,1,26748,1,0,6,14
80,307926,0,56,0,1,26783,2,3,6,10
81,308327,1,60,0,1,26800,1,0,6,14
82,308328,1,60,0,1,26803,1,0,6,14
83,308329,1,60,0,1,26802,1,0,6,14
84,308330,1,60,0,1,26801,1,0,6,14
85,308334,1,60,0,1,26805,1,0,6,14
86,308335,1,60,0,1,26804,1,0,6,14
87,310144,0,56,0,1,27022,2,3,6,10
88,310145,0,56,0,1,27023,2,3,8,12
89,310146,0,56,0,1,27024,2,3,10,14
90,313221,0,56,0,1,27313,3,11,14,18
91,313222,0,56,0,1,27314,3,11,16,20
92,313223,0,56,0,1,27315,3,11,18,22
93,313708,1,60,0,2,27378,1,0,8,12
94,313709,1,60,0,2,27379,1,0,8,12
95,313714,1,60,0,2,27382,1,0,6,14
96,313717,1,60,0,2,27381,1,0,6,14
97,313720,1,60,0,2,27385,1,0,6,14
98,313725,1,60,0,2,27383,1,0,6,14
99,313727,1,60,0,2,27387,1,0,6,14
100,313728,1,60,0,2,27386,1,0,6,14
101,328340,1,4,0,1,28503,1,0,6,14
102,328341,1,4,0,1,28504,1,0,6,14
103,328346,1,4,0,1,28516,1,0,6,14
104,328347,1,4,0,1,28505,1,0,6,14
105,331295,1,4,0,1,17625,1,0,14,22
106,331369,0,56,0,0,28729,7,39,40,46
107,331373,0,56,0,0,28730,7,39,44,48
109,351524,0,56,0,1,30029,4,20,22,28
110,351584,0,56,0,2,30031,4,20,22,28
111,351586,0,56,0,0,30028,4,20,22,28
112,351587,0,56,0,0,30030,4,20,24,30
113,362205,1,4,0,2,31537,1,0,0,0
114,362209,1,4,0,2,31539,1,0,0,0
115,362311,1,4,0,2,31541,1,0,0,0
116,362312,1,4,0,2,31543,1,0,0,0
117,362313,1,4,0,1,31538,1,0,0,0
118,362314,1,4,0,1,31540,1,0,0,0
119,362315,1,4,0,1,31542,1,0,0,0
121,362317,1,4,0,1,31544,1,0,0,0
122,385129,1,60,0,1,33659,1,0,40,46
123,385130,1,60,0,1,33660,1,0,40,46
124,385131,1,60,0,1,33652,1,0,40,46
125,385133,1,60,0,1,33653,1,0,40,46
126,385139,1,60,0,1,33638,1,0,40,46
127,385145,1,60,0,1,33639,1,0,40,46
128,385173,1,60,0,1,33629,1,0,40,46
129,385185,1,60,0,1,33630,1,0,40,46
130,385189,1,60,0,2,33662,1,0,40,46
131,385190,1,60,0,2,33663,1,0,40,46
132,385192,1,60,0,2,33657,1,0,40,46
133,385193,1,60,0,2,33658,1,0,40,46
134,385197,1,60,0,2,33642,1,0,40,46
135,385199,1,60,0,2,33643,1,0,40,46
136,385201,1,60,0,2,33636,1,0,40,46
137,385202,1,4,0,2,33637,1,0,40,46
138,396979,1,4,0,2,0,1,0,0,0
139,396980,1,4,0,2,0,1,0,0,0
140,396981,1,4,0,2,0,1,0,0,0
141,404584,1,4,0,1,0,1,0,0,0
142,404587,1,4,0,1,0,1,0,0,0
143,404588,1,4,0,2,0,1,0,0,0
144,404589,1,4,0,2,0,1,0,0,0
145,419327,1,1,0,1,37315,1,0,28,36
147,426789,0,8,0,0,37859,8,0,0,0
148,426790,0,8,0,0,37860,8,0,0,0
149,0,0,2,0,1,45547,1,0,40,46
150,0,0,2,0,1,37782,1,0,40,46
151,0,0,2,0,2,45546,1,0,40,46
152,0,0,2,0,2,37780,1,0,40,46
153,438244,1,60,0,2,38562,1,0,6,14
154,438245,1,60,0,2,38563,1,0,6,14
155,438246,1,60,0,2,38564,1,0,6,14
156,438247,1,60,0,2,38566,1,0,6,14
157,438248,1,60,0,2,38565,1,0,6,14
158,438249,1,60,0,2,38568,1,0,6,14
159,438250,1,60,0,2,38567,1,0,6,14
160,438252,1,60,0,2,38570,1,0,6,14
161,438253,1,60,0,2,38569,1,0,6,14
162,442011,0,56,0,1,38948,6,32,34,38
163,442097,0,56,0,1,38952,6,32,36,42
164,442557,0,56,0,2,39003,6,32,34,38
165,442607,0,56,0,2,39004,6,32,36,42
166,453273,1,4,0,0,39670,1,0,34,42
167,453276,1,4,0,0,39669,1,0,34,42
168,453278,1,4,0,0,39672,1,0,34,42
169,453282,1,4,0,0,39671,1,0,34,42
170,519247,1,56,0,2,42940,5,0,28,36
171,519278,1,56,0,2,42937,5,0,28,36
172,519296,1,56,0,1,42942,5,0,28,36
173,519297,1,56,0,1,42941,5,0,28,36
174,559601,0,56,0,2,44957,7,43,46,50
175,561004,0,56,0,1,44999,7,43,46,50
176,561645,0,56,0,2,45037,7,43,46,50
177,561647,0,56,0,1,45038,7,43,46,50
178,563950,0,56,0,2,45091,7,43,46,50
179,563951,0,56,0,1,45092,7,43,46,50
180,568600,0,56,0,2,45305,7,50,50,50
181,568692,0,56,0,1,45309,7,50,50,50
182,585308,0,56,0,1,46327,7,46,48,50
183,585326,0,56,0,2,46329,7,46,48,50
184,588235,0,56,0,2,26094,2,3,7,14
185,614567,0,56,0,0,47109,7,46,48,50
187,621796,0,56,0,1,47611,7,46,49,50
188,621797,0,56,0,2,47612,7,46,49,50
189,622895,0,56,0,2,47676,7,46,49,50
190,622929,0,56,0,1,47677,7,46,49,50
193,719742,2,0,0,0,50737,7,39,40,44
194,719743,2,0,0,0,50736,7,39,42,46
195,719744,2,0,0,0,27040,7,39,40,44
196,719745,2,0,0,0,27616,7,39,41,44
197,719746,2,0,0,0,28180,7,41,44,48
198,719747,2,0,0,0,44998,7,42,45,48
199,719748,2,0,0,0,28171,7,40,43,46
200,719749,2,0,0,0,50734,7,46,49,50
201,719750,2,0,0,1,50735,7,43,45,48
202,719751,2,0,0,1,32552,7,43,45,48
203,719752,2,0,0,1,42780,7,45,48,50
204,719753,2,0,0,2,38645,7,43,45,48
205,719754,2,0,0,2,30159,7,43,45,48
206,719755,2,0,0,2,49864,7,45,48,50
207,732331,2,0,0,1,16228,2,3,6,10
208,732347,2,0,0,1,9358,2,4,7,11
209,732348,2,0,0,1,19411,2,5,8,10
210,732349,2,0,0,1,15224,2,7,10,14
211,732350,2,0,0,1,50747,2,7,11,14
212,732351,2,0,0,1,25059,2,5,8,12
213,732352,2,0,0,1,25717,2,7,10,14
214,732353,2,0,0,1,29237,2,8,11,14
215,732354,2,0,0,1,50746,1,10,14,18
216,732355,2,0,0,1,25275,3,12,15,18
217,732356,2,0,0,1,27660,3,15,18,22
218,732357,2,0,0,1,12744,3,17,20,24
219,732358,2,0,0,1,50745,3,17,20,24
220,732360,2,0,0,1,24726,4,20,22,28
221,732361,2,0,0,1,24724,4,20,22,28
222,732364,2,0,0,1,19541,4,20,24,28
223,732365,2,0,0,0,50744,4,20,24,30
224,732366,2,0,0,0,24916,4,20,24,30
225,732367,2,0,0,2,17109,4,20,24,28
226,732368,2,0,0,2,24894,4,20,24,28
227,732369,2,0,0,2,19540,4,20,22,28
228,732370,2,0,0,2,23002,2,3,6,10
229,732371,2,0,0,2,25390,2,5,8,12
230,732372,2,0,0,2,24977,2,7,10,14
231,732373,2,0,0,2,24488,2,3,6,12
232,732375,2,0,0,2,23439,2,7,10,14
233,732376,2,0,0,2,25283,2,5,8,14
234,732377,2,0,0,2,51557,1,10,14,18
235,732378,2,0,0,2,19944,3,15,18,22
236,732379,2,0,0,2,21510,3,13,16,20
237,732380,2,0,0,2,24468,3,13,16,20
238,732381,2,0,0,0,40038,6,33,36,42
239,732382,2,0,0,0,22796,6,33,36,42
240,732383,2,0,0,0,40480,6,35,38,42
241,732384,2,0,0,0,50741,6,33,36,42
242,732389,2,0,0,2,30688,6,25,28,34
243,732393,2,0,0,1,30687,6,25,28,34
244,732394,2,0,0,1,30472,6,25,28,34
245,732395,2,0,0,2,30473,6,25,28,34
246,732399,2,0,0,1,43189,6,27,30,36
247,732401,2,0,0,2,43190,6,27,30,36
248,732403,2,0,0,1,21016,6,27,30,36
249,732404,2,0,0,2,36736,6,27,30,36
250,736051,2,0,0,0,23083,6,27,30,36
251,738304,2,0,0,1,20534,6,25,28,34
252,738305,2,0,0,2,22411,6,25,28,34
253,739751,2,0,0,1,51288,1,10,14,18
254,739752,2,0,0,2,51287,1,10,14,18
255,740533,2,0,0,1,50023,8,47,50,50
256,740534,2,0,0,2,50024,8,47,50,50
257,740537,2,0,0,0,51319,8,47,50,50
258,740540,2,0,0,0,50665,8,47,50,50
259,740548,2,0,0,0,51321,8,47,50,50
260,740550,2,0,0,0,51322,8,47,50,50
262,745292,2,0,0,2,51555,1,10,14,18
263,745313,2,0,0,2,51556,1,10,14,18
264,745358,2,0,0,1,51558,1,10,14,18
265,745381,2,0,0,1,51559,1,10,14,18
266,748070,2,0,0,0,51648,8,50,50,50
267,748071,2,0,0,0,51649,8,50,50,50
268,748072,2,0,0,0,51647,8,50,50,50
