"ID","taxiNodeIdSource","taxiNodeIdDestination","price"
1,1,2,50
2,2,1,50
3,2,3,75
4,3,4,100
6,1,3,150
7,5,6,531
8,6,5,531
9,7,6,1195
10,6,7,1195
11,8,9,0
12,9,8,0
13,12,13,15
14,13,12,15
15,11,10,15
16,10,11,15
18,16,17,15
19,18,19,25
20,18,21,25
21,18,20,25
22,19,18,25
23,19,21,25
24,19,20,25
25,20,21,25
26,20,19,25
27,20,18,25
28,24,22,25
29,24,25,25
30,24,23,25
31,23,22,25
32,23,25,25
33,23,24,25
34,25,22,25
35,25,23,25
36,25,24,25
37,26,27,15
38,26,28,15
39,27,28,15
40,27,26,15
41,28,26,15
42,28,27,15
44,30,29,15
45,31,30,15
47,30,33,10
48,29,34,5
49,31,29,15
50,31,33,10
51,35,38,10
52,32,35,10
53,37,38,10
54,29,36,15
55,39,40,10
56,41,47,35
57,41,49,35
58,43,45,35
59,43,49,35
60,45,43,35
61,45,47,35
62,42,48,35
63,42,50,35
64,44,46,35
65,44,50,35
66,46,44,35
67,46,48,35
68,51,40,10
69,52,40,10
70,53,40,10
71,54,40,10
72,40,39,10
73,40,51,10
74,40,52,10
75,40,53,10
76,40,54,10
77,56,55,10
78,57,55,10
79,58,59,15
80,60,61,1195
81,61,60,1195
82,60,62,1195
83,62,60,1195
84,62,63,1195
85,63,62,1195
86,63,61,1195
87,61,63,1195
90,65,66,15
91,60,63,1195
92,63,60,1195
93,68,67,531
94,67,68,531
95,67,64,531
96,64,67,531
97,64,68,531
98,68,64,531
99,69,60,1195
100,60,69,1195
101,69,67,531
102,67,69,531
103,184,69,1
104,69,184,1
105,71,72,10
106,71,73,10
107,71,74,10
108,75,76,10
109,77,76,10
110,78,76,10
111,79,88,15
112,79,73,10
113,80,5,531
114,5,80,531
115,81,84,15
116,83,82,15
117,81,86,15
118,85,82,15
119,89,88,531
120,88,89,531
121,88,87,531
122,87,88,531
123,88,6,531
124,6,88,531
125,90,91,1195
126,91,90,1195
127,94,95,10
128,94,97,10
129,94,99,10
130,100,93,10
131,98,93,10
132,96,93,10
133,101,103,1
134,104,102,1
135,91,92,1195
136,92,91,1195
137,105,16,15
138,106,107,1
139,107,106,1
140,7,90,1195
141,90,7,1195
142,7,91,1195
143,91,7,1195
144,111,109,1195
145,109,111,1195
146,111,112,1195
147,112,111,1195
148,112,109,1195
149,109,112,1195
150,110,112,1195
151,112,110,1195
152,110,111,1195
153,111,110,1195
154,109,6,1195
155,6,109,1195
156,113,114,0
157,114,113,0
158,113,115,0
159,115,113,0
160,114,115,0
161,115,114,0
162,115,116,0
163,116,115,0
164,117,118,0
165,118,117,0
166,117,119,0
167,119,117,0
168,118,119,0
169,119,118,0
170,119,121,0
171,121,119,0
172,122,125,15
173,122,127,15
174,122,129,30
175,130,133,15
176,130,135,15
177,130,137,30
178,128,123,30
179,136,131,30
180,126,123,15
181,134,131,15
182,124,123,15
183,132,131,15
194,147,148,0
195,148,147,0
196,149,150,0
197,0,0,0
198,153,155,15
199,153,161,15
200,153,157,15
201,153,159,15
202,160,154,15
203,158,154,15
204,156,154,15
205,162,163,0
206,163,162,0
207,165,164,0
208,164,165,0
209,166,169,0
210,168,167,0
211,172,173,0
212,170,171,0
213,173,172,0
214,171,170,0
215,107,174,0
216,174,107,0
217,107,175,0
218,175,107,0
219,175,177,0
220,177,175,0
221,174,176,0
222,176,174,0
223,176,178,0
224,178,176,0
225,177,179,0
226,179,177,0
227,107,180,0
228,180,107,0
229,107,181,0
230,181,107,0
231,184,60,0
232,60,184,0
233,92,6,0
234,6,92,0
235,89,6,0
236,6,89,0
237,179,182,0
238,182,179,0
239,178,183,0
240,183,178,0
241,184,70,0
242,70,184,0
243,183,185,0
244,185,183,0
245,182,185,0
246,185,187,0
247,187,185,0
250,185,182,0
251,185,188,0
252,188,185,0
253,188,189,0
254,189,188,0
255,187,190,0
256,190,187,0
