"ID","localizedTextIdName","localizedTextIdDescription","flags","tutorialId","achievementCategoryId","maxAdditives","localizedTextIdAxisName00","localizedTextIdAxisName01","localizedTextIdAxisName02","localizedTextIdAxisName03"
1,194385,221249,4,34,13,0,0,0,0,0
2,195708,221254,9,41,47,3,302594,302595,302596,302597
12,200733,221250,4,25,14,0,0,0,0,0
13,203064,221255,2,37,0,0,0,0,0,0
14,203123,221251,4,130,15,0,0,0,0,0
15,208916,235996,2,40,0,0,0,0,0,0
16,213972,231090,8,35,18,3,302586,302587,302588,302589
17,213973,235533,8,36,17,3,302590,302591,302592,302593
18,213974,235997,2,38,0,0,0,0,0,0
19,213975,0,3,0,0,0,0,0,0,0
20,213976,235999,19,39,0,0,0,0,0,0
21,266589,221253,4,131,16,0,0,0,0,0
22,451464,451472,16,0,0,0,451473,451474,451475,0
