"ID","tradeSkillId","tier","vectorX","vectorY","radius"
2,2,1,0,0.75,0.25
3,2,1,0.75,0,0.25
4,2,1,0,-0.75,0.25
5,2,1,-0.75,0,0.25
6,2,1,0,1,0.5
7,2,1,-0.8,0.8,0.6
8,2,1,1,0,0.5
9,2,1,0.8,0.8,0.6
10,2,1,0,-1,0.5
11,2,1,0.8,-0.8,0.6
12,2,1,-1,0,0.5
13,2,1,-0.8,-0.8,0.6
14,2,1,0.6,0.6,0.3
15,2,1,0.6,-0.6,0.3
16,2,1,-0.6,-0.6,0.3
17,2,1,-0.6,0.6,0.3
18,17,1,-0.866,-0.5,0.25
19,17,1,0,1,0.25
20,17,1,0.866,0.5,0.25
21,17,1,0,-1,0.25
22,17,1,-1,0,0.25
23,17,1,1,0,0.25
24,17,2,-1.732,1,0.5
25,17,2,1.732,-1,0.5
26,17,2,1,1.732,0.5
27,17,2,-1,-1.732,0.5
28,17,2,2,0,0.25
29,17,2,-2,0,0.25
30,16,1,0,1,0.4
31,16,3,0,2,0.8
32,16,3,0,2,0.5
33,16,5,0,3,1.2
34,16,5,0,3,0.8
35,16,2,1,1,0.6
36,16,4,2,2,1.2
37,16,4,2,2,0.8
38,16,5,2.5,2.5,1
39,16,1,1,0,0.4
40,16,3,2,0,0.8
41,16,3,2,0,0.5
42,16,5,3,0,1.2
43,16,5,3,0,0.8
44,16,2,1,-1,0.6
45,16,4,2,-2,1.2
46,16,4,2,-2,0.8
47,16,5,2.5,-2.5,1
48,16,1,0,-1,0.4
49,16,3,0,-2,0.8
50,16,3,0,-2,0.5
51,16,5,0,-3,1.2
52,16,5,0,-3,0.8
53,16,2,-1,-1,0.6
54,16,4,-2,-2,1.2
55,16,4,-2,-2,0.8
56,16,5,-2.5,-2.5,1
57,16,1,-1,0,0.4
58,16,3,-2,0,0.8
59,16,3,-2,0,0.5
60,16,5,-3,0,1.2
61,16,5,-3,0,0.8
62,16,2,-1,1,0.6
63,16,4,-2,2,1.2
64,16,4,-2,2,0.8
65,16,5,-2.5,2.5,1
66,17,3,2.598,1.5,0.75
67,17,3,1.5,-2.598,0.75
68,17,3,-2.598,-1.5,0.75
69,17,3,-1.5,2.598,0.75
70,17,3,3,0,0.25
71,17,3,-3,0,0.25
72,17,4,-3.464,2,1
73,17,4,0,4,1
74,17,4,0,-4,1
75,17,4,3.464,-2,1
76,17,4,4,0,0.25
77,17,4,-4,0,0.25
78,17,5,2.5,-4.33,1.25
79,17,5,2.5,4.33,1.25
80,17,5,-2.5,-4.33,1.25
81,17,5,-2.5,4.33,1.25
82,17,5,5,0,0.25
83,17,5,-5,0,0.25
84,16,1,0,0,0
85,16,1,0,0,0
86,16,1,2.5,-1,1
87,16,1,1,-2.5,1
88,16,2,-1,-2.5,1
89,16,2,-2.5,-1,1
90,16,3,-2.5,1,1
91,16,3,-1,2.5,1
92,16,4,2,5,2
93,16,4,5,2,2
94,16,5,2,-5,2
95,16,5,5,-2,2
96,2,2,0,1,0.1
97,2,2,1,0,0.1
98,2,2,0,-1,0.1
99,2,2,-1,0,0.1
100,2,3,0,1.5,0.5
101,2,3,1.5,0,0.5
102,2,3,0,-1.5,0.5
103,2,3,-1.5,0,0.5
104,2,2,0.8,0.8,0.15
105,2,2,-0.8,-0.8,0.15
106,2,2,-0.8,0.8,0.15
107,2,2,0.8,-0.8,0.15
108,2,3,1.2,1.2,0.6
109,2,3,1.2,-1.2,0.6
110,2,3,-1.2,-1.2,0.6
111,2,3,-1.2,1.2,0.6
112,2,4,0,1.75,0.25
113,2,4,1.75,0,0.25
114,2,4,0,-1.75,0.25
115,2,4,-1.75,0,0.25
116,2,4,1.4,1.4,0.3
117,2,4,1.4,-1.4,0.3
118,2,4,-1.4,-1.4,0.3
119,2,4,-1.4,1.4,0.3
120,2,5,0,2.5,0.5
121,2,5,2.5,0,0.5
122,2,5,0,-2.5,0.5
123,2,5,-2.5,0,0.5
124,2,5,2,2,0.6
125,2,5,2,-2,0.6
126,2,5,-2,-2,0.6
127,2,5,-2,2,0.6
128,0,1,-0.4,2,0.1
129,22,1,0,1,0.1
130,0,1,0.4,2,0.1
