"ID","tradeSkillTierId","achievementId","iconPath","localizedTextIdName","localizedTextIdTooltip","tradeskillBonusEnum00","tradeskillBonusEnum01","tradeskillBonusEnum02","objectIdPrimary00","objectIdPrimary01","objectIdPrimary02","objectIdSecondary00","objectIdSecondary01","objectIdSecondary02","objectIdTertiary00","objectIdTertiary01","objectIdTertiary02","value00","value01","value02","valueInt00","valueInt01","valueInt02"
115,0,0,"ClientSprites:Icon_ItemArmorFace_UI_Item_Arcane_Face",590538,506412,16,14,0,17,17,0,0,0,0,3,3,0,1.1,0.526,0,0,0,0
284,0,0,"",522190,522191,57,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
232,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Stamina_Blue",486146,486147,63,0,0,14,0,0,0,0,0,0,0,0,0,0,0,35,0,0
315,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Inspiring",711517,711518,12,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
181,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Dexterity_Blue",464305,464420,63,0,0,21,0,0,0,0,0,0,0,0,0,0,0,36,0,0
264,0,0,"ClientSprites:Icon_ItemMisc_tool_0004",498951,498952,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,"ClientSprites:Icon_SkillFire_UI_ss_srngblst",509091,509092,6,0,0,1,0,0,0,0,0,306,0,0,2,0,0,0,0,0
66,0,0,"IconSprites:Icon_TradeskillAdditiveTechnology_Earth_03",498945,498946,15,28,0,16,16,0,0,0,0,4,0,0,1.25,1,0,0,0,0
364,0,0,"IconSprites:Icon_ItemMisc_Generic_Battery_02",740457,740458,2,13,0,12,12,0,0,0,0,0,0,0,12.5,0,0,0,0,0
367,0,0,"IconSprites:Icon_ItemMisc_Generic_Battery_02",740463,740464,2,13,0,14,14,0,0,0,0,0,0,0,12.5,0,0,0,0,0
63,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Leaf",498941,498942,6,0,0,16,0,0,391,0,0,202,0,0,1,0,0,0,0,0
347,0,0,"IconSprites:Icon_ItemMisc_TechTotem",711581,711582,21,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0
298,0,0,"",0,608919,57,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
149,0,0,"IconSprites:Icon_CraftingUI_Item_Crafting_Powder_Garlic",413766,413767,15,16,0,2,2,0,0,0,0,2,2,0,1.2,0.9,0,0,0,0
198,0,0,"ClientSprites:Icon_ItemMisc_rune_0001",474974,474975,59,0,0,1,0,0,298,0,0,0,0,0,1,0,0,0,0,0
167,0,0,"IconSprites:Icon_CraftingUI_Item_Crafting_Bottle_FireSauce",413834,413835,14,15,16,2,2,2,0,0,0,1,1,1,0.9,1.2,0.9,0,0,0
113,0,0,"ClientSprites:Icon_ItemMisc_tool_0003",506408,506409,16,14,0,17,17,0,0,0,0,1,1,0,1.1,0.526,0,0,0,0
267,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Leaf",498957,498958,10,10,0,16,16,0,391,329,0,0,0,0,1.5,1.5,0,0,0,0
230,0,0,"ClientSprites:Icon_ItemMisc_tool_0002",486140,486141,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,"ClientSprites:Icon_ItemMisc_Shields_01",491548,491549,56,0,0,12,0,0,53,0,0,0,0,0,5,0,0,0,0,0
81,0,0,"ClientSprites:Icon_ItemArmorFace_UI_Item_Arcane_Face",464404,464405,57,57,0,21,21,0,3,4,0,0,0,0,1.05,1.05,0,0,0,0
350,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Geomatic",711587,711588,12,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0
299,0,0,"",0,608920,57,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0
150,0,0,"IconSprites:Icon_TradeskillTalent_Discount_Overlay",413768,413769,14,0,0,2,0,0,0,0,0,3,0,0,0.9,0,0,0,0,0
216,0,0,"ClientSprites:Icon_ItemMisc_letter_0002",486016,486017,65,0,0,14,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0
164,0,0,"IconSprites:Icon_CraftingUI_Item_Crafting_LemonWedge",413828,413829,14,15,16,2,2,2,0,0,0,3,3,3,0.9,1.2,0.9,0,0,0
233,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Dexterity_Blue",486148,486149,63,0,0,14,0,0,0,0,0,0,0,0,0,0,0,36,0,0
333,0,0,"IconSprites:Icon_ItemMisc_Generic_Battery_02",711553,711554,2,0,0,14,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
316,0,0,"IconSprites:Icon_SkillWarrior_Polarity_Field",711519,711520,1,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0
147,0,0,"IconSprites:Icon_CraftingUI_Item_Crafting_Powder_FirePepper",413758,413759,15,16,0,2,2,0,0,0,0,1,1,0,1.2,0.9,0,0,0,0
247,0,0,"ClientSprites:Icon_ItemArmorShield_shield_0001",491542,491543,13,63,63,12,12,12,0,0,0,0,0,0,1,0,0,0,8,76
165,0,0,"IconSprites:Icon_ItemMisc_Salad",413830,413831,6,10,0,2,2,0,0,288,0,221,0,0,1,1.7,0,0,0,0
