"ID","tradeSkillTierId","prerequisiteId","miniMapMarkerId"
1,8,8038,3
2,8,8038,3
3,8,0,0
4,21,35190,4
5,21,35190,4
6,23,35191,6
7,23,35191,6
8,0,8329,0
9,28,8766,46
10,27,0,0
11,58,0,17
12,58,0,18
13,58,0,19
14,58,0,21
15,58,0,26
16,58,0,23
17,46,9180,12
18,58,0,17
19,58,0,18
20,58,0,19
21,58,0,21
22,58,0,26
23,58,0,23
24,58,0,18
25,52,9237,61
26,47,11776,13
27,48,11777,14
28,29,11732,50
29,30,11733,52
30,58,0,27
31,58,0,35
32,58,0,35
33,58,0,20
34,28,8766,48
35,58,0,27
36,58,0,20
37,58,0,24
38,58,0,24
39,58,0,25
40,58,0,25
41,58,0,22
42,58,0,22
43,58,0,30
44,58,0,30
45,58,0,29
46,58,0,29
47,58,0,32
48,58,0,32
49,58,0,31
50,58,0,31
51,58,0,34
52,58,0,34
53,58,0,33
54,58,0,33
55,58,0,28
56,58,0,28
57,58,0,36
58,58,0,36
59,58,0,18
60,58,0,21
61,58,0,22
62,58,0,30
63,58,0,34
64,58,0,20
65,58,0,24
66,58,0,27
67,58,0,32
68,58,0,36
69,28,8766,47
70,28,8766,49
71,29,11732,51
72,30,11733,53
73,30,11733,54
74,30,11733,55
75,32,11736,60
76,31,11734,57
77,31,11734,58
78,31,11734,59
79,32,11736,60
80,0,10971,0
81,0,0,0
82,49,11778,15
83,50,11779,16
84,46,9180,12
85,47,11776,13
86,48,11777,14
87,49,11778,15
88,50,11779,16
89,46,9180,12
90,47,11776,13
91,48,11777,14
92,49,11778,15
93,50,11779,16
94,21,35190,5
95,21,35190,5
96,21,12730,5
97,8,8038,3
98,21,12730,4
99,23,35191,6
100,23,35191,7
101,23,35191,7
102,23,12731,7
103,24,35192,8
104,24,35192,8
105,24,12732,8
106,24,35192,9
107,24,35192,9
108,24,12732,9
109,25,35193,10
110,25,35193,10
111,25,12733,10
112,25,35193,11
113,25,35193,11
114,25,12733,11
115,8,0,0
116,21,0,0
117,23,0,0
118,24,0,0
119,25,0,0
120,0,0,0
121,8,8038,3
122,21,35190,4
123,21,35190,5
124,23,35191,6
125,23,35191,7
126,24,35192,8
127,24,35192,9
128,25,35193,10
129,25,35193,11
130,52,9237,61
131,52,9237,61
132,52,9237,61
133,52,9237,61
134,52,9237,61
135,21,0,3
136,58,0,37
137,58,0,37
138,58,0,38
139,58,0,38
140,58,0,39
141,58,0,39
142,58,0,40
143,58,0,40
144,58,0,41
145,58,0,41
146,58,0,42
147,58,0,42
148,58,0,43
149,58,0,43
150,58,0,44
151,58,0,44
152,58,0,45
153,58,0,45
154,21,0,3
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
166,0,0,0
167,0,0,0
168,29,11732,52
169,58,0,17
170,58,0,18
171,58,0,19
172,58,0,21
173,58,0,26
174,58,0,23
175,58,0,27
176,58,0,35
177,58,0,20
178,58,0,24
179,58,0,25
180,58,0,22
181,58,0,30
182,58,0,29
183,58,0,32
184,58,0,31
185,58,0,34
186,58,0,33
187,58,0,28
188,58,0,36
189,32,11736,88
190,31,11736,58
191,0,0,0
192,32,11736,89
193,32,11736,90
194,46,9180,12
195,47,11776,13
196,48,11777,14
197,49,11778,15
198,50,11779,16
199,0,0,0
200,0,0,0
201,25,35193,10
202,25,35193,10
203,50,11779,16
204,50,11779,16
205,32,11736,52
