"ID","localizedTextIdName","tradeSkillId","item2IdOutput","item2IdOutputFail","outputCount","lootId","tier","flags","item2IdMaterial00","item2IdMaterial01","item2IdMaterial02","item2IdMaterial03","item2IdMaterial04","materialCost00","materialCost01","materialCost02","materialCost03","materialCost04","tradeskillSchematic2IdParent","vectorX","vectorY","radius","critRadius","item2IdOutputCrit","outputCountCritBonus","priority","maxAdditives","discoverableQuadrant","discoverableRadius","discoverableAngle","tradeskillCatalystOrderingId"
6670,724997,14,81609,81889,1,0,0,4,84124,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6672,724999,14,81611,81889,1,0,0,4,84126,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6677,725004,14,81628,81889,1,0,0,4,84149,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6679,725006,14,81630,81889,1,0,0,4,84151,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6686,725013,14,81649,81889,1,0,0,4,84176,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6688,725015,14,81663,81889,1,0,0,4,84196,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6695,725022,14,81682,81889,1,0,0,4,84221,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6697,725024,14,81684,81889,1,0,0,4,84223,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6602,724929,1,81397,81889,1,0,0,4,84116,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6604,724931,1,81411,81889,1,0,0,4,84136,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6702,725029,14,85645,81889,1,0,0,4,84246,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6704,725031,14,85647,81889,1,0,0,4,84248,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6711,725038,21,81734,81889,1,0,0,4,84153,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6713,725040,21,81736,81889,1,0,0,4,84155,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6720,725047,21,81755,81889,1,0,0,4,84180,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6722,725049,21,81757,81889,1,0,0,4,84182,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6727,725054,21,81774,81889,1,0,0,4,84205,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6729,725056,21,81788,81889,1,0,0,4,84225,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6611,724938,1,81430,81889,1,0,0,4,84161,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6613,724940,1,81432,81889,1,0,0,4,84163,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6620,724947,1,81451,81889,1,0,0,4,84188,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6622,724949,1,81465,81889,1,0,0,4,84208,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6627,724954,1,85618,81889,1,0,0,4,84231,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6629,724956,1,85620,81889,1,0,0,4,84233,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6636,724963,12,81503,81889,1,0,0,4,84120,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6736,725063,21,85655,81889,1,0,0,4,84250,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6738,725065,21,85657,81889,1,0,0,4,84252,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6745,725072,12,84034,81889,1,0,0,4,84286,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6747,725074,14,84036,81889,1,0,0,4,85722,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6752,725079,21,84049,81889,1,0,0,4,84290,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6754,725081,1,84059,81889,1,0,0,4,84291,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6756,725083,21,84061,81889,1,0,0,4,84293,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6763,725090,14,84084,81889,1,0,0,4,85726,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6777,739816,1,85612,81889,1,0,0,4,85546,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6638,724965,12,81505,81889,1,0,0,4,84122,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6645,724972,12,81536,81889,1,0,0,4,84165,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6647,724974,12,81538,81889,1,0,0,4,84167,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6652,724979,12,81555,81889,1,0,0,4,84190,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6654,724981,12,81557,81889,1,0,0,4,84192,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6661,724988,12,81576,81889,1,0,0,4,84217,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6663,724990,12,85630,81889,1,0,0,4,84237,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6779,739818,1,85614,81889,1,0,0,4,85548,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6781,739820,1,85616,81889,1,0,0,4,85550,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6786,739825,12,85627,81889,1,0,0,4,85555,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6788,739827,12,85629,81889,1,0,0,4,85557,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6795,739834,21,85648,81889,1,0,0,4,85564,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6797,739836,21,85650,81889,1,0,0,4,85566,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6802,739841,14,84080,81889,1,0,0,4,85727,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6640,724967,12,81519,81889,1,0,0,4,84142,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6641,724968,12,81520,81889,1,0,0,4,84143,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6642,724969,12,81521,81889,1,0,0,4,84144,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6643,724970,12,81522,81889,1,0,0,4,84145,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6656,724983,12,81559,81889,1,0,0,4,84194,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6657,724984,12,81572,81889,1,0,0,4,84213,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6658,724985,12,81573,81889,1,0,0,4,84214,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6659,724986,12,81574,81889,1,0,0,4,84215,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6790,739829,14,85637,81889,1,0,0,4,85559,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6791,739830,14,85638,81889,1,0,0,4,85560,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6792,739831,14,85639,81889,1,0,0,4,85561,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6793,739832,14,85640,81889,1,0,0,4,85562,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6673,725000,14,81612,81889,1,0,0,4,84127,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6674,725001,14,81613,81889,1,0,0,4,84128,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6675,725002,14,81626,81889,1,0,0,4,84147,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6676,725003,14,81627,81889,1,0,0,4,84148,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6690,725017,14,81665,81889,1,0,0,4,84198,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6691,725018,14,81666,81889,1,0,0,4,84199,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6692,725019,14,81667,81889,1,0,0,4,84200,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6693,725020,14,81680,81889,1,0,0,4,84219,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6391,721024,1,81392,81889,1,0,0,4,84111,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6706,725033,21,81717,81889,1,0,0,4,84130,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6707,725034,21,81718,81889,1,0,0,4,84131,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6708,725035,21,81719,81889,1,0,0,4,84132,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6709,725036,21,81720,81889,1,0,0,4,84133,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6710,725037,21,81721,81889,1,0,0,4,84134,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6723,725050,21,81770,81889,1,0,0,4,84201,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6724,725051,21,81771,81889,1,0,0,4,84202,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6725,725052,21,81772,81889,1,0,0,4,84203,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6726,725053,21,81773,81889,1,0,0,4,84204,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6606,724933,1,81413,81889,1,0,0,4,84138,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6607,724934,1,81414,81889,1,0,0,4,84139,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6608,724935,1,81415,81889,1,0,0,4,84140,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6609,724936,1,81428,81889,1,0,0,4,84159,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6623,724950,1,81466,81889,1,0,0,4,84209,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6624,724951,1,81467,81889,1,0,0,4,84210,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6625,724952,1,81468,81889,1,0,0,4,84211,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6626,724953,1,81469,81889,1,0,0,4,84212,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6740,725067,21,85659,81889,1,0,0,4,84254,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6741,725068,12,84022,81889,1,0,0,4,84283,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6742,725069,1,84023,81889,1,0,0,4,84282,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6743,725070,14,84024,81889,1,0,0,4,85721,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6757,725084,12,84070,81889,1,0,0,4,84295,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6758,725085,1,84071,81889,1,0,0,4,84294,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6759,725086,14,84072,81889,1,0,0,4,85725,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6760,725087,21,84073,81889,1,0,0,4,84296,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6639,724966,12,81518,81889,1,0,0,4,84141,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6644,724971,12,81523,81889,1,0,0,4,84146,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
