"ID","tradeSkillId","pointsToUnlock","respecCost","tradeSkillBonusId00","tradeSkillBonusId01","tradeSkillBonusId02","tradeSkillBonusId03","tradeSkillBonusId04"
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0
1048,0,0,0,0,0,0,0,0
1049,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0
1051,0,0,0,0,0,0,0,0
1052,0,0,0,0,0,0,0,0
1053,0,0,0,0,0,0,0,0
1054,0,0,0,0,0,0,0,0
1055,0,0,0,0,0,0,0,0
1058,0,0,0,0,0,0,0,0
1059,0,0,0,0,0,0,0,0
1061,0,0,0,0,0,0,0,0
1062,0,0,0,0,0,0,0,0
1063,0,0,0,0,0,0,0,0
1064,0,0,0,0,0,0,0,0
1065,0,0,0,0,0,0,0,0
1067,0,0,0,0,0,0,0,0
1068,0,0,0,0,0,0,0,0
15,0,18,6400,264,265,266,0,0
21,0,18,6400,229,230,231,0,0
27,0,18,6400,176,177,178,0,0
1066,0,18,6400,253,254,255,0,0
1074,1,3,100,359,360,361,0,0
1075,1,6,200,306,308,303,0,0
1152,1,9,300,310,313,305,0,0
1153,1,12,400,304,309,307,0,0
1154,1,15,500,306,308,303,0,0
1155,1,18,600,311,314,305,0,0
1156,1,21,700,304,309,307,0,0
1157,1,24,800,306,308,303,0,0
1158,1,27,900,312,315,305,0,0
1159,1,30,1000,304,309,307,0,0
40,2,5,100,146,147,148,0,0
41,2,10,200,149,150,151,0,0
42,2,15,400,152,153,154,0,0
43,2,20,800,155,156,157,0,0
44,2,25,1600,158,159,0,0,0
45,2,30,3200,160,161,162,0,0
46,2,35,6400,163,164,165,0,0
47,2,40,12800,166,167,168,0,0
1160,12,3,100,362,363,364,0,0
1161,12,6,200,319,321,329,0,0
1162,12,9,300,323,326,318,0,0
1163,12,12,400,317,322,320,0,0
1164,12,15,500,319,321,316,0,0
1165,12,18,600,324,327,318,0,0
1166,12,21,700,317,322,320,0,0
1167,12,24,800,319,321,316,0,0
1168,12,27,900,325,328,318,0,0
1169,12,30,1000,317,322,320,0,0
1170,14,3,100,365,366,367,0,0
1171,14,6,200,332,334,329,0,0
1172,14,9,300,336,339,331,0,0
1173,14,12,400,330,335,333,0,0
1174,14,15,500,332,334,329,0,0
1175,14,18,600,337,340,331,0,0
1176,14,21,700,330,335,333,0,0
1177,14,24,800,332,334,329,0,0
1178,14,27,900,338,341,331,0,0
1179,14,30,1000,330,335,333,0,0
10,16,4,200,52,53,54,0,0
11,16,8,400,57,58,60,0,0
12,16,10,400,59,0,0,0,0
13,16,12,1600,61,62,63,0,0
14,16,15,1600,65,66,67,68,0
1073,16,23,6400,267,268,0,0,0
34,17,1,200,101,102,103,120,0
35,17,2,400,104,105,106,0,0
36,17,3,800,107,108,109,0,0
37,17,4,1600,110,111,112,0,0
38,17,5,3200,113,114,115,119,0
1180,21,3,100,368,369,370,0,0
1181,21,6,200,345,347,342,0,0
1182,21,9,300,349,352,344,0,0
1183,21,12,400,343,348,346,0,0
1184,21,15,500,345,347,342,0,0
1185,21,18,600,350,353,344,0,0
1186,21,21,700,343,348,346,0,0
1187,21,24,800,345,347,342,0,0
1188,21,27,900,351,354,344,0,0
1189,21,30,1000,343,348,346,0,0
