"ID","tradeSkillId","tier","requiredXp","learnXp","craftXp","firstCraftXp","questXp","failXp","itemLevelMin","maxAdditives","relearnCost","achievementCategoryId"
1,1,1,0,0,10,0,18,2,10,0,0,0
2,1,2,270,0,20,0,72,4,20,0,42949672960000,0
3,1,3,1710,0,40,0,192,8,30,0,214748364800000,0
4,1,4,7470,0,80,0,432,16,40,0,1073741824000000,0
5,1,5,28206,0,160,0,900,32,50,0,2147483648000000,0
8,13,1,0,60,60,60,60,0,0,0,0,0
9,12,1,0,0,10,0,18,2,10,0,0,0
10,12,2,270,0,20,0,72,4,20,0,42949672960000,0
11,12,3,1710,0,40,0,192,8,30,0,214748364800000,0
12,12,4,7470,0,80,0,432,16,40,0,1073741824000000,0
13,12,5,28206,0,160,0,900,32,50,0,2147483648000000,0
15,14,1,0,0,10,0,18,2,10,0,0,0
16,14,2,270,0,20,0,72,4,20,0,42949672960000,0
17,14,3,1710,0,40,0,192,8,30,0,214748364800000,0
18,14,4,7470,0,80,0,432,16,40,0,1073741824000000,0
19,14,5,28206,0,160,0,900,32,50,0,2147483648000000,0
21,13,2,1200,180,180,180,180,0,0,0,42949672960000,0
23,13,3,4500,540,540,540,540,0,0,0,214748364800000,0
24,13,4,16200,1620,1620,1620,1620,0,0,0,1073741824000000,0
25,13,5,56700,4860,4860,4860,4860,0,0,0,2147483648000000,0
28,15,1,0,50,50,50,50,0,0,0,0,0
29,15,2,1200,150,150,150,150,0,0,0,42949672960000,0
30,15,3,4500,300,300,300,300,0,0,0,214748364800000,0
31,15,4,10800,900,900,900,900,0,0,0,1073741824000000,0
32,15,5,37800,2700,2700,2700,2700,0,0,0,2147483648000000,0
34,16,1,0,0,10,0,45,2,10,0,0,0
35,16,2,450,0,40,0,180,8,3,0,42949672960000,0
36,16,3,2160,0,160,0,810,32,30,0,214748364800000,0
37,16,4,10800,0,640,0,4032,128,40,0,1073741824000000,0
38,16,5,57600,0,2560,0,23040,512,50,0,2147483648000000,0
40,17,1,0,0,2,0,10,0,5,0,0,0
41,17,2,25,0,4,0,40,0,15,0,42949672960000,0
42,17,3,150,0,8,0,80,0,25,0,214748364800000,0
43,17,4,640,0,16,0,160,0,35,0,1073741824000000,0
44,17,5,2560,0,32,0,320,0,45,0,2147483648000000,0
46,18,1,0,50,50,50,50,0,0,0,0,0
47,18,2,1200,100,100,100,100,0,0,0,42949672960000,0
48,18,3,4400,150,150,150,150,0,0,0,214748364800000,0
49,18,4,10400,200,200,200,200,0,0,0,1073741824000000,0
50,18,5,20000,250,250,250,250,0,0,0,2147483648000000,0
52,19,1,0,0,0,0,0,0,0,0,0,0
58,20,1,0,0,0,0,0,0,0,0,0,0
65,2,1,0,0,0,0,0,0,0,0,0,0
66,21,1,0,0,10,0,18,2,10,0,0,0
67,21,2,270,0,20,0,72,4,15,0,42949672960000,0
68,21,3,1710,0,40,0,192,8,30,0,214748364800000,0
69,21,4,7470,0,80,0,432,16,40,0,1073741824000000,0
70,21,5,28206,0,160,0,900,32,50,0,2147483648000000,0
73,12,6,100206,0,320,0,0,64,60,0,10737418240000000,0
74,21,6,100206,0,320,0,0,64,60,0,10737418240000000,0
75,14,6,100206,0,320,0,0,64,60,0,10737418240000000,0
76,22,1,0,0,0,0,0,0,0,0,0,0
77,1,6,100206,0,320,0,0,64,60,0,10737418240000000,0
79,17,6,2560,0,32,0,320,0,45,0,2147483648000000,0
80,19,7,2560,0,32,0,320,0,45,0,2147483648000000,0
81,16,6,109134,0,10240,0,0,0,60,0,10737418240000000,0
