"ID","tutorialAnchorOrientationEnum","hOffset","vOffset","flags"
1,8,0,0,0
2,4,0,0,0
3,8,0,0,0
4,4,0,0,0
5,8,0,0,0
6,4,35,35,0
7,8,0,0,0
8,2,0,0,0
9,4,0,0,0
10,4,0,0,0
11,5,0,0,0
12,3,0,0,0
13,4,0,0,1
14,4,0,0,0
15,5,0,0,0
16,5,0,0,0
17,5,0,0,0
18,1,0,0,0
19,5,0,0,0
20,5,0,0,0
21,5,0,0,0
22,4,0,0,0
23,4,0,0,0
24,4,0,0,0
25,4,0,0,0
26,4,0,0,0
27,4,0,0,0
28,5,0,0,0
29,4,0,0,1
30,1,0,0,0
31,5,0,0,0
32,5,0,0,0
33,1,0,0,0
34,6,0,0,0
35,6,0,0,0
36,4,0,0,0
37,6,0,0,0
38,6,0,0,0
39,6,0,0,0
40,6,0,0,0
41,4,0,0,0
42,6,0,0,0
43,6,0,0,0
44,6,0,0,0
45,7,0,0,0
46,7,0,0,0
47,6,0,0,0
48,2,0,0,0
49,2,0,0,0
50,3,0,0,0
51,4,0,0,0
52,8,0,0,0
53,1,0,0,0
54,6,0,0,0
55,5,0,0,0
56,1,0,0,0
57,8,0,0,0
58,5,4294967283,0,0
59,0,0,0,0
60,0,0,0,0
61,4,0,0,0
62,4,0,0,0
63,3,0,0,0
64,6,0,0,0
66,6,4294967254,32,0
67,5,0,0,0
68,1,0,0,0
69,1,0,0,0
70,1,0,0,0
71,6,0,0,0
72,5,0,0,0
