"ID","description","enumName","defaultValue","localizedTextId","valuePerPoint","flags","tooltipDisplayOrder","profiencyFlagEnum","itemCraftingGroupFlagBitMask","equippedSlotFlags"
0,"Strength","Strength",1,115676,0,100,1,0,0,0
1,"Dexterity","Dexterity",1,116114,0,100,2,0,0,0
2,"Technology","Technology",1,116115,0,100,4,0,0,0
3,"Magic","Magic",1,116116,0,100,3,0,0,0
4,"Wisdom","Wisdom",1,116117,0,100,5,0,0,0
5,"Base Focus Pool","BaseFocusPool",0,116118,1.5,596,3,0,32,0
6,"Rating Focus Recovery","RatingFocusRecovery",0,164518,10,84,4,0,1,0
7,"Base Health","BaseHealth",1,164519,18,52,4,0,32,0
8,"Health Regen Multiplier","HealthRegenMultiplier",1,164520,0,68,11,0,0,0
9,"Resource 0 Max","ResourceMax_0",0,0,0,36,0,0,0,0
10,"Resource 1 Max","ResourceMax_1",0,0,0,36,0,0,0,0
11,"Resource 2 Max","ResourceMax_2",0,0,0,36,0,0,0,0
12,"Resource 3 Max","ResourceMax_3",0,760437,0.2,52,1,0,16,0
13,"Resource 4 Max","ResourceMax_4",0,0,0,36,0,0,0,0
14,"Resource 5 Max","ResourceMax_5",0,0,0,36,0,0,0,0
15,"Resource 6 Max","ResourceMax_6",0,0,0,36,0,0,0,0
16,"Resource 0 Regen Multiplier","ResourceRegenMultiplier_0",0,0,0,68,0,0,0,0
17,"Resource 1 Regen Multiplier","ResourceRegenMultiplier_1",0,0,0,68,0,0,0,0
18,"Resource 2 Regen Multiplier","ResourceRegenMultiplier_2",0,0,0,68,0,0,0,0
19,"Resource 3 Regen Multiplier","ResourceRegenMultiplier_3",0,0,0,68,0,0,0,0
20,"Resource 4 Regen Multiplier","ResourceRegenMultiplier_4",0,116119,0,68,0,0,0,0
21,"Resource 5 Regen Multiplier","ResourceRegenMultiplier_5",0,116120,0,68,0,0,0,0
22,"Resource 6 Regen Multiplier","ResourceRegenMultiplier_6",0,116122,0,68,0,0,0,0
23,"Interrupt Armor: After CC Recharge Time","InterruptArmor_AfterCCRechargeTime",1000,116123,0,4,25,0,0,0
24,"Interrupt Armor: After CC Recharge Count","InterruptArmor_AfterCCRechargeCount",1,116124,0,4,26,0,0,0
25,"Rating Lifesteal","RatingLifesteal",0,116125,10,84,40,0,32,0
26,"Resist Physical","ResistPhysical",0,116126,0,68,48,0,0,0
27,"Resist Tech","ResistTech",0,116127,0,68,49,0,0,0
28,"Resist Magic","ResistMagic",0,116128,0,68,47,0,0,0
29,"Rating MultiHit Chance","RatingMultiHitChance",0,116129,10,596,7,0,2,0
30,"KillingSpree Out Of Combat Grace Period MS","KillingSpreeOutOfCombatGracePeriodMS",6000,116130,0,0,0,0,0,0
31,"","",0,116131,0,0,0,0,0,0
32,"Rating Avoid Reduce / Strikethrough","Rating_AvoidReduce",0,116132,10,596,5,0,1,0
33,"Rating Avoid Increase / Deflect","Rating_AvoidIncrease",0,164522,10,596,7,0,1,0
34,"Rating Crit Chance Increase","Rating_CritChanceIncrease",0,164523,10,596,19,0,8,0
35,"Assault Rating","AssaultRating",0,164524,10,116,1,0,0,0
36,"Support Rating","SupportRating",0,125959,10,116,2,0,0,0
