"ID","soundImpactDescriptionIdOrigin","soundImpactDescriptionIdTarget","unitVisualTypeId","soundEventIdAggro","soundEventIdAware","soundSwitchIdModel","soundCombatLoopId"
5,7,3,16,44598,0,0,0
31,12,3,16,44598,0,0,0
32,12,3,16,44598,0,0,0
33,12,3,16,44598,0,0,0
34,5,3,16,44598,0,0,0
35,12,3,16,44598,0,0,0
36,5,3,16,44598,0,0,0
37,0,0,0,0,0,0,0
38,22,3,16,44598,0,0,0
39,7,3,16,44598,0,0,0
40,0,0,0,0,0,0,0
47,12,3,16,44598,0,0,0
49,12,3,16,44598,0,0,0
60,0,0,0,44598,0,0,0
61,12,3,16,44598,0,0,0
62,7,3,16,44598,0,0,0
69,7,3,1,44598,0,0,0
70,7,3,2,44598,0,0,0
71,28,9,5,44598,0,0,0
72,28,9,6,44598,0,0,0
73,7,3,4,44598,0,0,0
74,7,3,7,44598,0,0,0
75,7,3,8,44598,0,0,0
76,7,3,9,44598,0,0,0
77,7,4,10,44598,0,0,0
78,7,3,13,44598,0,0,0
79,7,3,14,44598,0,0,0
80,7,6,11,44598,0,0,0
81,7,6,12,44598,0,0,0
84,7,3,16,44598,0,0,0
85,7,3,16,44598,0,0,0
86,7,3,16,44598,0,0,0
87,7,3,16,44598,0,0,0
88,7,3,16,44598,0,0,0
89,7,3,16,44598,0,0,0
92,5,3,16,44598,0,0,0
95,7,3,16,44598,0,0,0
96,12,3,16,44598,0,0,0
97,7,3,16,44598,0,0,0
99,5,3,16,44598,0,0,0
100,12,3,16,44598,0,0,0
101,5,8,16,44598,0,0,0
102,5,3,16,44598,0,0,0
103,7,3,16,44598,0,0,0
104,7,3,16,44598,0,0,0
105,20,10,16,44598,0,0,0
108,12,3,16,44598,0,0,0
109,12,3,16,44598,0,0,0
111,7,3,16,44598,0,0,0
113,12,3,16,44598,0,0,0
115,12,3,16,44598,0,0,0
119,7,3,16,44598,0,0,0
121,7,9,16,44598,0,0,0
122,12,3,16,44598,0,0,0
123,7,3,16,44598,0,0,0
124,12,3,16,44598,0,0,0
125,12,3,16,44598,0,0,0
