"ID","buttonIcon","item2TypeId","localizedTextIdName","localizedTextIdFlavor","itemQualityId"
1,"Icon_ItemMisc_UI_Item_Sammich",181,207969,207970,0
2,"Icon_ItemMisc_UI_Item_Crystal",180,209390,209391,0
3,"Icon_ItemMisc_UI_Item_Donut",136,209862,209863,0
4,"Icon_ItemMisc_UI_Item_Medpack",170,214695,214699,0
6,"Icon_ItemMisc_UI_Item_Skull",170,218188,218189,0
8,"Icon_ItemMisc_egg_0004",171,219110,219111,0
9,"Icon_ItemMisc_tooth_0002",170,220344,220345,0
13,"IconSprites:Icon_ItemMisc_Data_Rod",170,221002,221003,0
14,"Icon_ItemMisc_egg_0004",171,221212,221213,0
15,"Icon_ItemMisc_UI_Item_Donut",170,221246,221247,0
20,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",170,222662,222663,0
21,"Icon_ItemMisc_UI_Item_Gears",170,222672,222673,0
22,"ClientSprites:Icon_ItemMisc_UI_Item_Crystal2",170,222900,222901,0
23,"Icon_ItemMisc_gadget_0004",170,223094,223095,0
24,"Icon_ItemArmorFace_UI_Item_Battle_Face",170,223225,223226,0
25,"Icon_ItemMisc_UI_Item_Crystal",180,223253,223254,0
26,"Icon_ItemMisc_fur_0003",170,223255,223256,0
27,"Icon_ItemMisc_UI_Item_Pearl",170,223257,223258,0
28,"Icon_ItemMisc_UI_Item_Pearl",170,223605,223606,0
29,"UI_KeyCard_01",170,223901,223902,0
30,"Icon_ItemMisc_UI_Item_Gears",170,224260,224261,0
32,"Icon_ItemMisc_tool_0001",170,224943,224944,0
33,"Icon_ItemMisc_tool_0001",170,225698,225699,0
34,"Icon_ItemMisc_UI_Item_Crystal",170,226247,226248,0
35,"Icon_ItemMisc_claw_0003",170,226252,226253,0
36,"Icon_ItemMisc_tooth_0002",170,226254,226255,0
37,"Icon_SkillFire_UI_srcr_frblt",170,226261,226262,0
38,"Icon_ItemMisc_UI_Item_Bomb",170,226263,226264,0
39,"Icon_SkillIce_UI_srcr_iceshrds",170,228691,228692,0
40,"Icon_ItemMisc_gadget_0001",170,228789,228790,0
41,"Icon_SkillEnergy_UI_srcr_shckcntrp",170,228791,228792,0
42,"Icon_ItemMisc_UI_Item_Bomb",170,228794,228795,0
43,"Icon_SkillEnergy_UI_ss_offblnblst",170,228996,228997,0
44,"Icon_ItemMisc_UI_Item_Book",77,230021,230022,0
45,"Icon_ItemMisc_UI_Item_Crystal",170,230473,230474,0
46,"Icon_SkillFire_UI_srcr_frblt",170,230600,0,0
47,"Icon_SkillFire_UI_srcr_frblt",170,230601,0,0
48,"Icon_SkillPhysical_Bleedout",0,231103,231104,0
49,"Icon_ItemMisc_potion_0001",0,231244,231245,0
50,"Icon_ItemMisc_UI_Item_Book",77,231542,231543,0
51,"Icon_ItemMisc_UI_Item_Bag_002",77,231820,231821,0
52,"Icon_ItemMisc_gadget_0001",170,231906,231907,0
53,"Icon_ItemMisc_UI_Item_Gears",170,232263,232264,0
54,"Icon_SkillFire_UI_srcr_frblt",172,232638,232639,0
55,"Icon_SkillMisc_UI_wr_dfgrp",0,233771,233772,0
56,"Icon_Windows_UI_CRB_TargetTemp",0,233815,233816,0
57,"Icon_ItemMisc_stone_0001",170,235420,0,0
58,"Icon_ItemMisc_UI_Item_Bag_001",170,235418,235419,0
59,"ClientSprites:Icon_ItemMisc_Flower_03",170,236100,236101,0
60,"ClientSprites:Icon_ItemMisc_Flower_02",170,236102,236103,0
61,"ClientSprites:Icon_ItemMisc_GenericGland",170,236360,236361,0
62,"Icon_ItemMisc_tooth_0001",0,238685,238683,0
63,"ClientSprites:Icon_ItemMisc_Data_Pad",170,238991,238992,0
64,"ClientSprites:Icon_ItemMisc_Bag_01",170,239010,239011,0
65,"Icon_ItemMisc_UI_Item_Key",0,239708,239709,0
66,"ClientSprites:Icon_ItemMisc_Roots",170,239826,239827,0
67,"Icon_ItemMisc_Water",170,239941,239942,0
68,"Icon_ItemMisc_herb_0003",0,240077,240078,0
69,"Icon_ItemMisc_egg_0004",0,240594,0,0
70,"Icon_ItemMisc_UI_Item_Key",170,241428,241429,0
71,"Icon_ItemMisc_bag_0004",0,241550,241551,0
72,"Icon_ItemMisc_UI_Item_Key",174,241763,241764,0
73,"Icon_ItemMisc_UI_Item_Skull",174,241802,241803,0
74,"Icon_ItemWeaponStaff_UI_Item_Staff_001",0,242027,242028,0
75,"Icon_ItemArmorHands_UI_Item_Arcane_Glove_001",170,242052,242053,0
76,"Icon_ItemMisc_meat_0001",170,242127,242128,0
77,"ClientSprites:Icon_ItemArmorNeck_UI_Item_Neck_003",0,242357,242358,0
78,"Icon_ItemMisc_letter_0001",0,242676,242677,0
79,"Icon_ItemMisc_UI_Item_Blueprints",170,242909,242910,0
80,"Icon_ItemMisc_UI_Item_Parchment",170,242956,242957,0
81,"ClientSprites:Icon_TradeskillMisc_Logicleaf_plant",170,242971,242972,0
82,"IconSprites:Icon_ItemArmor_Light_Armor_Helm_02",170,242986,242987,0
83,"IconSprites:Icon_ItemMisc_Hologram_Emitter",170,242988,242989,0
85,"Icon_ItemMisc_UI_Item_Bag_001",0,243030,243031,0
86,"ClientSprites:Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",170,243059,243060,0
87,"ClientSprites:Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",170,243086,243087,0
88,"Icon_ItemMisc_tooth_0002",170,243257,243258,0
89,"Icon_ItemMisc_stone_0001",0,243377,243378,0
90,"Icon_ItemMisc_rune_0001",0,243421,315877,0
91,"Icon_ItemMisc_UI_Item_Pearl",0,243423,243424,0
92,"ClientSprites:Icon_ItemMisc_cylindar",170,243722,243723,0
93,"IconSprites:Icon_ItemMisc_Eye_02",170,244143,244144,0
94,"IconSprites:Icon_ItemMisc_Generic_ring_01",170,244146,244147,0
95,"IconSprites:Icon_ItemWeapon_Pistol_03",170,244150,244151,0
96,"ClientSprites:Icon_TradeskillTalent_Architect_Book_04",170,244252,244253,0
97,"Icon_ItemMisc_UI_Item_Crystal",170,244413,244414,0
98,"Icon_ItemMisc_UI_Item_Meat",170,244991,244992,0
99,"ClientSprites:Icon_ItemMisc_UI_Item_Wand",170,244998,244999,0
100,"ClientSprites:Icon_ItemMisc_Creature_heads_on_Spikes",170,245565,245566,0
101,"ClientSprites:Icon_ItemMisc_TorineInsignia",170,245760,245761,0
102,"Icon_ItemMisc_UI_Item_Blueprints",170,245762,245763,0
103,"Icon_ItemMisc_potion_0002",170,247944,247945,0
104,"ClientSprites:Icon_TradeskillMisc_Growthshroom_green",170,247972,247973,0
105,"ClientSprites:Icon_ItemMisc_PowerCell",170,248023,248024,0
106,"Icon_ItemMisc_gadget_0001",170,248087,248088,0
107,"Icon_ItemMisc_UI_Item_Donut",0,248108,248111,0
108,"Icon_ItemMisc_potion_0001",170,249083,249084,0
109,"Icon_ItemMisc_gadget_0003",170,249748,249749,0
110,"ClientSprites:Icon_ItemMisc_Gadget_03",0,251232,251233,0
111,"IconSprites:Icon_ItemMisc_Shredded_Meat",170,252026,252027,0
112,"Icon_ItemWeaponClaw_UI_Item_Claws_001",170,253159,253160,0
113,"Icon_ItemMisc_gadget_0003",170,253611,253612,0
114,"ClientSprites:Icon_ItemMisc_TorineInsignia",170,253858,253859,0
115,"ClientSprites:Icon_ItemMisc_UI_Item_Wand",170,253870,253871,0
116,"Icon_ItemMisc_UI_Item_Book",170,253968,253969,0
117,"Icon_ItemMisc_UI_Item_Book",170,253972,253973,0
118,"Icon_ItemMisc_UI_Item_Book",170,253974,253975,0
119,"ClientSprites:Icon_ItemMisc_EldanPowerFragment",170,254919,254920,0
120,"Icon_ItemMisc_UI_Item_Key",0,257055,257056,0
121,"ClientSprites:Icon_ItemWeapon_Primal_Knife_01",170,258768,258769,0
122,"ClientSprites:Icon_ItemMisc_WaterEnergyBall",170,258779,258780,0
123,"Icon_ItemMisc_meat_0002",0,260402,260403,0
124,"Icon_ItemMisc_UI_Item_Stick",170,261841,261842,0
125,"ClientSprites:Icon_ItemMisc_Blood",170,263119,263120,0
126,"Icon_ItemArmorNeck_UI_Item_Neck_001",170,263325,263326,0
127,"Icon_ItemArmorNeck_UI_Item_Neck_001",170,263328,263329,0
128,"Icon_ItemArmorNeck_UI_Item_Neck_001",170,263350,263351,0
