"ID","type","duration","radiusEnd","direction","directionDelta","blendIn","blendOut","speed","sine2DMagnitudeMin","sine2DMagnitudeMax","sine2DFrequency","sine2DOffsetAngle","localRadial","localMagnitude"
1,0,4000,160,0,0,0.3,0.6,0.2,5,10,0.06,0,1,0
2,0,3250,160,0,0,0.275,0.4,0.1,1,5,0.075,0,1,0
3,0,2500,160,0,0,0.3,0.45,0.2,12.25,35,0.1,0,1,0
10,0,3250,160,0,0,0.275,0.4,0.05,70,80,0.4,0,1,0
14,0,4218,90,300,0,0,1,0.5,50,50,0.2,360,1,0
18,0,3500,160,0,0,0.3,0.45,0.5,0,50,0.2,0,1,0
24,0,3250,160,0,0,0.275,0.4,0.05,70,80,0.4,0,1,0
25,0,1601,200,177,0,0.2,0.2,0.3,0,30,0.2,0,1,21
26,0,2226,200,0,0,0.1,0.1,0.195313,0,20,0.173438,0,1,0
27,0,3250,160,0,0,0.275,0.4,0.05,70,80,0.4,0,1,0
28,1,0,0,0,0,0,0,0,70,80,0.1,0,1,50
29,0,2000,200,0,0,0.3,0.4,0.2,10,20,0.05,0,1,0
30,1,4000,20,180,0,0.1,0.1,0.5,10,50,0.05,0,1,100
