"ID","filter","userTextFilterClassEnum","deploymentRegionEnum","languageId","wordFilterTypeEnum"
1,"fuck",2,0,1,4
2,"shit",2,0,1,0
3,"cunt",2,0,1,0
4,"nigger",2,0,1,4
6,"asshole",2,0,1,0
45,"ahole",2,0,1,0
46,"anus",2,0,1,0
50,"ashole",2,0,1,0
51,"asholes",2,0,1,0
52,"asholez",2,0,1,0
53,"asholz",2,0,1,0
55,"assface",2,0,1,0
59,"asshole",2,0,1,0
60,"assholes",2,0,1,0
61,"assholz",2,0,1,0
63,"assmonkey",2,0,1,0
64,"assrammer",2,0,1,0
65,"asswipe",2,0,1,0
66,"azzhole",2,0,1,0
79,"bassterds",0,0,1,0
80,"bastard",1,0,1,0
81,"bastards",0,0,1,0
82,"bastardz",0,0,1,0
83,"basterds",0,0,1,0
84,"basterdz",0,0,1,0
85,"basterd",0,0,1,0
96,"beaner",2,0,1,0
98,"bi7ch",1,0,1,0
99,"biatch",1,0,1,0
108,"biotch",1,0,1,0
109,"bitch",1,0,1,0
110,"bitches",1,0,1,0
111,"bitchs",1,0,1,0
112,"blowjob",2,0,1,0
128,"boffing",2,0,1,0
136,"boobs",1,0,1,0
141,"buceta",2,0,1,0
172,"buttwlpe",2,0,1,0
177,"bukkake",2,0,1,0
178,"butthole",1,0,1,0
179,"buttpirate",2,0,1,0
180,"buttwipe",2,0,1,0
185,"carpetmuncher",2,0,1,0
212,"cawkz",2,0,1,0
242,"cawk",2,0,1,0
243,"cawks",2,0,1,0
245,"chink",2,0,1,0
246,"chlnk",2,0,1,0
247,"clit",1,0,1,0
248,"clits",1,0,1,0
250,"cock",2,0,1,0
257,"cums",2,0,1,0
260,"cockhead",2,0,1,0
261,"cocks",2,0,1,0
262,"cocksucker",2,0,1,0
263,"crap",1,0,1,0
264,"cum",2,0,1,0
265,"cunt",2,0,1,0
266,"cunts",2,0,1,0
267,"cuntz",2,0,1,0
268,"dick",2,0,1,0
271,"dlck",2,0,1,0
272,"dicks",2,0,1,0
275,"dlcks",2,0,1,0
284,"dlldo",2,0,1,0
288,"dlke",2,0,1,0
352,"anal",2,0,1,0
358,"scooter",0,0,1,0
359,"aether",0,0,1,0
360,"atreid",0,0,1,0
361,"fuckz",2,0,1,0
364,"dildo",2,0,1,0
365,"dildos",2,0,1,0
371,"dyke",2,0,1,0
372,"ejaculate",2,0,1,0
373,"ejakulate",2,0,1,0
374,"enema",1,0,1,0
375,"fag",2,0,1,0
377,"faget",2,0,1,0
379,"faggit",2,0,1,0
380,"faggot",2,0,1,0
381,"fagit",2,0,1,0
382,"fags",2,0,1,0
383,"fagz",2,0,1,0
384,"faig",2,0,1,0
385,"faigs",2,0,1,0
386,"fatass",2,0,1,0
387,"fcuk",2,0,1,0
388,"fuck",2,0,1,0
389,"fucker",2,0,1,0
390,"fuckin",2,0,1,0
391,"fucking",2,0,1,0
392,"fucks",2,0,1,0
393,"fudgepacker",2,0,1,0
394,"fuk",2,0,1,0
395,"fukah",2,0,1,0
396,"fuken",2,0,1,0
397,"fuker",2,0,1,0
398,"fukin",2,0,1,0
399,"fukk",2,0,1,0
400,"fukkah",2,0,1,0
401,"fukken",2,0,1,0
402,"fukker",2,0,1,0
403,"fukkin",2,0,1,0
406,"gook",2,0,1,0
414,"jackoff",2,0,1,0
415,"jap",2,0,1,0
416,"japs",2,0,1,0
419,"jerkoff",2,0,1,0
420,"jism",2,0,1,0
421,"jiss",2,0,1,0
422,"jizm",2,0,1,0
423,"jizz",2,0,1,0
426,"kock",2,0,1,0
434,"masturbates",1,0,1,0
438,"kawk",2,0,1,0
439,"kkk",2,0,1,0
480,"kunt",2,0,1,0
481,"kunts",2,0,1,0
482,"kuntz",2,0,1,0
486,"lesbian",1,0,1,0
487,"dipshits",2,0,1,0
488,"dipshit",2,0,1,0
489,"massterbait",1,0,1,0
490,"masstrbait",1,0,1,0
491,"masstrbate",1,0,1,0
492,"masterbaiter",1,0,1,0
493,"masterbat",1,0,1,0
495,"masterbate",1,0,1,0
496,"masterbates",1,0,1,0
497,"masturbate",1,0,1,0
498,"mofo",2,0,1,0
499,"mothafucker",2,0,1,0
500,"mothafuker",2,0,1,0
501,"mothafukkah",2,0,1,0
502,"mothafukker",2,0,1,0
503,"motherfucker",2,0,1,0
504,"motherfucker",2,0,1,0
505,"motherfucker",2,0,1,0
507,"motherfuker",2,0,1,0
508,"motherfukkah",2,0,1,0
509,"motherfukker",2,0,1,0
510,"muthafucker",2,0,1,0
511,"muthafukah",2,0,1,0
512,"muthafuker",2,0,1,0
513,"muthafukkah",2,0,1,0
514,"muthafukker",2,0,1,0
516,"nazi",2,0,1,0
517,"nigga",2,0,1,4
518,"nigger",2,0,1,0
519,"nigur",2,0,1,0
520,"niiger",2,0,1,0
521,"niigr",2,0,1,0
526,"nlgger",2,0,1,0
530,"nazl",2,0,1,0
557,"nutsack",2,0,1,0
558,"orgasim",1,0,1,0
559,"orgasm",1,0,1,0
560,"orgasum",1,0,1,0
562,"pecker",2,0,1,0
563,"peeenus",1,0,1,0
564,"peeenusss",1,0,1,0
565,"peenus",1,0,1,0
566,"peinus",1,0,1,0
569,"penas",1,0,1,0
570,"penis",1,0,1,0
571,"penisbreath",2,0,1,0
572,"penus",1,0,1,0
573,"penuus",1,0,1,0
581,"phuck",2,0,1,0
582,"phuk",2,0,1,0
583,"phuker",2,0,1,0
584,"phukker",2,0,1,0
586,"porn",1,0,1,0
592,"pusse",2,0,1,0
594,"pussee",2,0,1,0
595,"pussy",2,0,1,0
596,"queef",1,0,1,0
597,"queer",1,0,1,0
598,"queers",1,0,1,0
599,"queerz",1,0,1,0
600,"qweers",1,0,1,0
601,"qweerz",1,0,1,0
602,"qweir",1,0,1,0
603,"recktum",1,0,1,0
604,"rectum",1,0,1,0
605,"retard",1,0,1,0
606,"scank",2,0,1,0
607,"schlong",1,0,1,0
608,"screwing",1,0,1,0
609,"scrotum",1,0,1,0
610,"semen",1,0,1,0
622,"shit",2,0,1,0
623,"shits",2,0,1,0
624,"shitter",2,0,1,0
