"ID","assetPath","flags","type","screenPath","screenModelPath","chunkBounds00","chunkBounds01","chunkBounds02","chunkBounds03","plugAverageHeight","localizedTextIdName","minItemLevel","maxItemLevel","primeLevelOffset","primeLevelMax","veteranTierScalingType","heroismMenaceLevel","rewardRotationContentId"
8,"Map\smorettestworld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
21,"Map\RavelTestWorld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
22,"Map\Western",0,0,"UI\Screens\UI_CRB_WorldID22_LoadScreen.tex","Art\Prop\Character_Creation\Loading\PRP_Loading_Olyssia_000.m3",736,794,1200,1200,0,0,0,0,0,0,0,0,0
36,"Map\World3TestMap",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
37,"Map\InstanceTest2",0,1,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
40,"Map\RyanTest3",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
41,"Map\Terrain3Testing",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
43,"Map\PVPtest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
45,"Map\Default",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
46,"Map\WholeNewWorld",0,0,"UI\Screens\UI_CRB_GorgonothLairLoadScreen.tex","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
47,"Map\BossTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
48,"Map\PermissionsTestWorld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
49,"Map\InGamePreview",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
50,"Map\MitchWorld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
51,"Map\Eastern",0,0,"UI\Screens\UI_CRB_WorldID51_LoadScreen.tex","Art\Prop\Character_Creation\Loading\PRP_Loading_Alizar_000.m3",986,800,1260,1236,0,0,0,0,0,0,0,0,0
52,"Map\Robertland",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
53,"Map\MiliziaTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
55,"Map\Bingo",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
56,"Map\PVPtest",0,1,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
57,"Map\StevesNewMap",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
58,"Map\testcamp",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
59,"Map\Rickstestworld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
61,"Map\thangs",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
62,"Map\Valgoroch",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
