"ID","Description","density","clutterFlags","assetPath0","assetPath01","assetPath02","assetPath03","assetPath04","assetPath05","assetWeight0","assetWeight01","assetWeight02","assetWeight03","assetWeight04","assetWeight05","flag0","flag01","flag02","flag03","flag04","flag05","minScale0","minScale01","minScale02","minScale03","minScale04","minScale05","rotationMin0","rotationMin01","rotationMin02","rotationMin03","rotationMin04","rotationMin05","rotationMax0","rotationMax01","rotationMax02","rotationMax03","rotationMax04","rotationMax05","emissiveGlow00","emissiveGlow01","emissiveGlow02","emissiveGlow03","emissiveGlow04","emissiveGlow05"
1,"Clutter1",250,2,"Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_000.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_001.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_002.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_003.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_004.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenLight_005.m3",0.26,0.25,0.25,0.08,0.08,0.08,6,6,6,3,7,3,1,1,1,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,6.28319,6.28319,6.28319,0,0,0,0,0,0
2,"Clutter2",250,2,"Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenDarkDesaturated_000.M3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenDarkDesaturated_001.M3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenDarkDesaturated_002.M3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenDarkDesaturated_003.M3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenDarkDesaturated_004.M3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispThinDirectional_GoldGreen_005.m3",0.485,0.485,0.01,0.01,0.01,0,6,6,7,6,7,3,1,1,0.5,0.5,0.5,0.4,0,0,0,0,0,0,0,0,6.28319,0,6.28319,6.28319,0,0,0,0,0,0
3,"Clutter3",250,2,"Art\Terrain\Grass\Clutter\Clutter_Grass_FineMossyDirectional_GreenDesaturated_000.M3","Art\Terrain\Grass\Clutter\Clutter_Grass_FineMossyDirectional_GreenDesaturated_001.M3","Art\Terrain\Grass\Clutter\Clutter_Grass_FineMossyDirectional_GreenDesaturated_002.M3","Art\Terrain\Grass\Clutter\Clutter_Grass_FineMossyDirectional_GreenDesaturated_003.M3","Art\Terrain\Grass\Clutter\Clutter_Grass_FineMossyDirectional_GreenDesaturated_004.M3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_GreenDark_005.m3",0.2,0.2,0.2,0.2,0.2,0,6,6,6,3,7,3,1,1,1,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,6.28319,6.28319,6.28319,0,0,0,0,0,0
4,"Pine Forest Bed",100,2,"Art\Terrain\Organic\Clutter\Clutter_Organic_ForestBedPineNeedles_GoldDark_000.m3","Art\Terrain\Organic\Clutter\Clutter_Organic_ForestBedPineNeedles_GoldDark_001.m3","Art\Terrain\Organic\Clutter\Clutter_Organic_ForestBedPineNeedles_GoldDark_002.m3","Art\Terrain\Organic\Clutter\Clutter_Organic_ForestBedPineNeedles_GoldDark_005.m3","Art\Terrain\Organic\Clutter\Clutter_Organic_ForestBedPineNeedles_GoldDark_005.m3","Art\Terrain\Organic\Clutter\Clutter_Organic_ForestBedPineNeedles_GoldDark_005.m3",0.08,0.07,0.05,0.27,0.1,0.1,7,7,7,7,7,7,0.7,0.7,0.7,0.7,1,2,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0
5,"Ellevar_Bubbly Soft Moss",120,2,"Art\Terrain\_Ellevar\Clutter\Clutter_Ellevar_Moss_BubbleySoft_GreenDark_000.m3","Art\Terrain\_Ellevar\Clutter\Clutter_Ellevar_Moss_BubbleySoft_GreenDark_001.m3","Art\Terrain\_Ellevar\Clutter\Clutter_Ellevar_Moss_BubbleySoft_GreenDark_002.m3","Art\Terrain\_Ellevar\Clutter\Clutter_Ellevar_Moss_BubbleySoft_GreenDark_003.m3","","Art\Terrain\_Ellevar\Clutter\Clutter_Ellevar_Moss_BubbleySoft_GreenDark_002.m3",0.05,0.05,0.5,0.03,0.03,0.05,6,6,7,7,7,7,2,1.3,1,0.7,1.7,1.7,-3.12414,-3.12414,0.523599,-3.12414,3.12414,0.523599,3.12414,3.12414,0.523599,3.12414,-3.12414,0.523599,0,0,0,0,0,0
14,"Algoroc_19_Grass_Base",250,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Grass_000.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Grass_000.m3","","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_003.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Grass_000.m3","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_000.m3",0.5,0.25,0.1,0.005,0.2405,0.003,6,6,6,4,6,6,1.8,2.6,4,1,2.35,1.3,-0.349066,-0.523599,0,-0.523599,-0.349066,-0.349066,0.349066,0.349066,0,0.523599,0.174533,0.349066,0,0,0,0,0,0
15,"Gravel_Algoroc",100,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Rock_000.m3","","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Rock_002.m3","","Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_Rock_004.m3","",1,1,1,1,1,1,2,2,2,2,2,2,2.3,3.3,4.3,3.3,3.3,3.3,-3.12414,3.12414,3.12414,3.12414,3.12414,0,3.12414,-3.12414,-3.12414,-3.12414,-3.12414,0,0,0,0,0,0,0
16,"UNUSED",249,2,"","","","","","",1,1,1,0,0,0,6,6,6,6,6,6,0.8,0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"UNUSED",500,2,"Art\Terrain\_Algoroc\_Clutter\Clutter_Algoroc_DeadGrass_001.m3","","","","","",1,0.15,0.3,0,0,0,6,6,6,6,6,6,1,0.5,1,1,1,1,-0.174533,0,0,0,0,0,0.174533,0,0,0,0,0,0,0,0,0,0,0
18,"Algoroc_RoadClutter",60,2,"Art\Terrain\Road\Clutter\Clutter_Road_Algeroc_RustGrey_000.M3","Art\Terrain\Road\Clutter\Clutter_Road_Algeroc_RustGrey_001.M3","Art\Terrain\Road\Clutter\Clutter_Road_Algeroc_RustGrey_002.M3","Art\Terrain\Road\Clutter\Clutter_Road_Algeroc_RustGrey_003.M3","Art\Terrain\Road\Clutter\Clutter_Road_Algeroc_RustGrey_004.M3","Art\Terrain\Road\Clutter\Clutter_Road_Algeroc_RustGrey_005.M3",0.2,0.2,1,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,-0.174533,-0.174533,-0.0872665,-0.0872665,-0.0872665,-0.0872665,0.226893,0.191986,0.0872665,0.0872665,0.0872665,0.0872665,0,0,0,0,0,0
