"ID","Description","HeightScale","HeightOffset","ParallaxScale","ParallaxOffset","MetersPerTextureTile","ColorMapPath","NormalMapPath","AverageColor","Projection","materialType","worldClutterId00","worldClutterId01","worldClutterId02","worldClutterId03","specularPower","emissiveGlow","scrollSpeed00","scrollSpeed01"
1,"Ellevar_Road_Imperium",5,0,-0.003,0.015,8,"Art\Terrain\Road\Terrain_Road_ImperiumAngular_GreyDark_Color.tex","Art\Terrain\Road\Terrain_Road_ImperiumAngular_GreyDark_Normal.tex",2537703755,0,13,0,0,0,0,0,0,0,0
2,"Ellevar_Grass_GrnDrkDesat_Color",3,0,0,0,4,"Art\Terrain\Grass\Terrain_Grass_CrispLongDirectional_GreenDarkDesaturated_000_Color.tex","Art\Terrain\Grass\Terrain_Grass_CrispLongDirectional_GreenDarkDesaturated_000_Normal.tex",2150254906,0,8,264,263,265,266,0,0,0,0
3,"REPLACEME2",0.75,0.25,-0.2,0.1,4,"Art\Terrain\Grass\Terrain_Grass_FineMossyDirectional_GreenDesaturated_000_Color.tex","Art\Terrain\Grass\Terrain_Grass_FineMossyDirectional_GreenDesaturated_000_Normal.tex",1281592915,0,8,3,0,0,0,0,0,0,0
4,"Ellevar_GroundStone_XZ",3,0,-0.1,0.02,8,"Art\Terrain\Rock\Terrain_Rock_EllevarMicro_Grey_Color.tex","Art\Terrain\Rock\Terrain_Rock_EllevarMicro_Grey_Normal.tex",2957727067,0,11,0,0,0,0,0,0,0,0
5,"Test_Terrain_Rock_SmoothSlate_GreyDrk",2,0.2,-0.2,0.1,32,"Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Rust_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Rust_000_Normal.tex",3295359265,0,11,0,0,0,0,0,0,0,0
6,"Ellevar_Mud",3,1,0,0,4,"Art\Terrain\Mud\Terrain_Mud_DriedBubbly_BrownDark_000_Color.tex","Art\Terrain\Mud\Terrain_Mud_DriedBubbly_BrownDark_000_Normal.tex",2168997170,0,17,271,272,273,274,0,0,0,0
7,"Ellevar_Pine_Needles",5,0,0,0,8,"Art\Terrain\Organic\Terrain_Organic_ForestBedPineNeedles_GoldDark_000_Color.tex","Art\Terrain\Organic\Terrain_Organic_ForestBedPineNeedles_GoldDark_000_Normal.tex",2133472554,0,8,4,0,0,0,0,0,0,0
8,"Ellevar_Roots",3,0,-0.04,0.08,8,"Art\Terrain\Roots\Terrain_Roots_WitheredTwisty_GreyGreenDark_000_Color.tex","Art\Terrain\Roots\Terrain_Roots_WitheredTwisty_GreyGreenDark_000_Normal.tex",2150379809,0,3,0,0,0,0,0,0,0,0
9,"Test_scorched_earth",3,0,-0.05,0.025,8,"Art\Terrain\Rock\Terrain_Rock_BurntCrackedVolcanic_BlueDark_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_BurntCrackedVolcanic_BlueDark_000_Normal.tex",1881221426,0,9,0,0,0,0,0,0,0,0
10,"Ellevar_StoneFlattener",0,1,-0.1,0.05,64,"Art\Terrain\Rock\Terrain_Rock_EllevarMicroSmooth_Grey_Color.tex","Art\Terrain\Dev\Terrain_Dev_1_Normal.tex",2152946267,0,11,0,0,0,0,0,0,0,0
11,"REPLACEME7",3,0.5,0.1,-0.05,64,"Art\Terrain\Rock\Terrain_Rock_SmoothSlateMacro_GreyLight_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_SmoothSlateMacro_GreyDark_000_Normal.tex",1647983930,0,11,0,0,0,0,0,0,0,0
12,"Test_Lava",0.75,0.25,-0.2,0.1,8,"Art\Terrain\Lava\Terrain_Lava_CoolingRoundRock_OrangeRedDark_000_Color.tex","Art\Terrain\Mud\Terrain_Mud_DriedBubbly_BrownDark_000_Normal.tex",2169704713,0,9,0,0,0,0,0,0,0,0
13,"NorthernWilds_Snow_Drifts",0,1,0,0,16,"Art\Terrain\_NorthernWilds\Terrain_Nwilds_Snow_DriftsCrispArcing_BlueLight_000_Color.tex","Art\Terrain\_NorthernWilds\Terrain_Nwilds_Snow_DriftsCrispArcing_BlueLight_000_Normal.tex",1400668837,0,6,48,103,100,104,0,0,0,0
18,"Cloth_Test_DONOTUSE",1,0,-5,2,64,"Art\Terrain\Snow\Terrain_Snow_DriftsCrisp_BlueLight_000_Color.tex","Art\Terrain\Snow\Terrain_Snow_DriftsCrispArcing_BlueLight_000_Normal.tex",2160316405,0,4,0,0,0,0,0,0,0,0
19,"Algoroc_SoftGrass",2,0,0,0,4,"Art\Terrain\_Algoroc\Terrain_Grass_Base_Color.tex","Art\Terrain\_Algoroc\Terrain_Grass_Base_Normal.tex",2152941841,0,8,14,160,60,61,12,0,0,0
20,"Ellevar_MountainStone_Small_XY",1,1,0,0,32,"Art\Terrain\Rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_color.tex","Art\Terrain\Rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_Normal.tex",3444266331,1,11,0,0,0,0,0,0,0,0
21,"REPLACEME5",4,2,0,0,32,"Art\Terrain\Rock\Terrain_Rock_FlatAngularCracked_GreyDark_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_SmoothSlateMacro_GreyDark_000_Normal.tex",1647983930,0,7,0,0,0,0,0,0,0,0
