"ID","radius","maxVerticalDistance","position0","position1","position2","facing0","facing1","facing2","facing3","worldId","worldZoneId","phases"
74,1,0,45,12.188,50,0,0,0,1,46,0,1
75,1,0,45,12.188,50,0,0,0,1,46,0,1
76,1,0,26,27.9382,156,0,0,0,1,46,0,1
78,1,0,47,27.6257,116,0,0,0,1,46,0,1
102,1,0,-330.264,47.9133,-1600.85,0,0,0,1,46,0,1
106,1,0,48,28,137,0,0,0,1,46,0,1
107,1,0,-200,55,-1547,0,0,0,1,46,0,1
114,1,0,3832.46,-1001.44,-4496.94,-8.56262e-13,-0.193719,4.3364e-12,0.981057,51,23,1
474,272.168,0,5180.13,-887.195,-2350.49,0,0,0,1,51,1101,1
494,1,0,1011,-1008.85,409,0,0,0,1,49,657,1
576,1,0,-180,-1014.88,-36,0,0,0,1,49,657,1
611,1,0,-2464.36,-873.008,-1951.56,0,0.960779,0,-0.277315,22,38,1
613,1,0,-2536.47,-929.605,-1346.92,0,0,0,1,22,1231,1
614,1,0,-1714.74,-990.36,-909.175,0,0,0,1,22,1393,1
615,1,0,-1770.23,-906.474,-417.689,0,0,0,1,22,1550,1
616,1,0,-1269.38,-971.917,-1510.63,0,0,0,1,22,744,1
619,1,0,-1564.77,-977.964,-1393.63,0,0,0,1,22,1397,1
715,1,0,-650,-1042.44,382,0,0,0,1,49,657,1
728,1,0,-1217.39,-914.608,-646.54,0,0,0,1,22,1544,1
736,1,0,-1883.7,-963.979,-1978.34,0,0,0,1,22,72,1
901,1,0,-1412.63,-1006.04,-1138.37,0,0,0,1,22,41,1
902,1,0,-1225.58,-967.116,-752.507,0,0,0,1,22,1544,1
905,1,0,-2518.1,-961.187,-1781.88,0,0,0,1,22,38,1
906,1,0,-2064.65,-954.912,-2058.05,0,0,0,1,22,1326,1
907,1,0,-1697.17,-997.956,-1282.8,0,0,0,1,22,43,1
908,1,0,-2373.37,-1009.63,-1328.48,0,0,0,1,22,1234,1
909,1,0,-1947.27,-952.613,-1512.31,0,0,0,1,22,386,1
910,1,0,-1780.55,-979.456,-499.273,0,0,0,1,22,1550,1
911,1,0,-1034.33,-948.883,-1130.57,0,0,0,1,22,41,1
912,1,0,-1232.32,-977.249,-1515.32,0,0,0,1,22,744,1
913,1,0,-1342.56,-911.894,-444.695,0,0,0,1,22,1545,1
914,1,0,-2100.3,-1012.8,-1004.99,0,0,0,1,22,805,1
925,1,0,4278.16,-741.515,-5652.14,0,-0.0771121,0,0.997022,426,595,1
977,1,0,-54.9554,-1004.62,836.26,0,0,0,1,49,0,1
1275,1,0,15.7623,8.94252,-5.26577,0,0.986174,0,0.165713,382,271,1
1286,1,0,3.68563,8.94904,-7.28263,0,0.999782,0,-0.0208633,382,271,1
1329,1,0,4210.87,-1044.34,-4006.82,0,-0.819104,0,0.573645,51,21,1
1407,1,0,5617.43,-1002.88,-1835.99,0,0.164844,0,0.98632,51,945,1
1461,1,0,-727.666,-1020.43,2809.99,0,0,0,1,49,657,1
1465,1,0,-131.377,-32.2426,-92.7963,0,0.999937,0,0.0112536,408,0,1
1593,1,0,3835.32,-678.819,-5262.35,0,-0.261504,0,0.965202,426,645,1
1594,1,0,4110.71,-658.625,-5145.48,0,0.167887,0,0.985806,426,648,1
1595,1,0,81.3748,-1019.86,-1723.63,0,0,0,1,49,657,1
1607,1,0,2593.68,-1009.55,633.283,0,0,0,1,49,657,1
1726,1,0,4137.43,-1056.84,-4083.85,-3.43609e-09,0.985234,6.2495e-10,-0.171212,51,21,1048573
1728,1,0,5062.52,-877.603,-3178.54,0,0.69825,0,0.715854,51,1146,1
1729,1,0,5090.22,-901.393,-2303.79,0,-0.113124,0,0.993581,51,1101,1
1730,1,0,5613.17,-1012.43,-2436.37,0,0.999977,0,0.00679916,51,943,1
1731,1,0,5774.64,-866.81,-2559.21,0,0.942721,0,0.333581,51,979,1
1732,1,0,6210.57,-873.136,-2945.25,0,-0.44929,0,0.893386,51,976,1
1735,1,0,5098.79,-753.111,-3864.92,0,-0.0522794,0,0.998632,51,1017,1
1737,1,0,4792.82,-939.016,-709.917,0,0.264894,0,0.964277,51,240,1
1855,1,0,2613.92,-968.625,-2275.5,0,-0.694009,0,0.719966,51,1677,1
1917,1,0,-808.828,-1023.96,-317.586,0,0,0,1,49,657,1
2106,1,0,5392.6,-995.238,-2794.46,0,0.984995,0,-0.172584,51,941,1
2107,1,0,5457.31,-996.42,-2346.03,0,0,0,1,51,937,1
2226,1,0,4627.63,-729.61,-5538.49,0,0.774783,0,0.632227,426,597,1
2351,1,0,4229.71,-897.278,-4049.45,0,-0.819104,0,0.573645,51,322,1
2352,1,0,4249.09,-1079.28,-4069.26,0,0.819104,0,-0.573645,51,322,1
2503,1,0,4392.37,-1099.34,-3919.82,6.45457e-05,-0.484468,-0.00606169,0.874788,51,28,1048573
2545,1,0,3793.83,-922.514,-3272.6,0,0.118645,0,0.992937,51,27,1048573
3402,1,0,-1961.95,-54.3789,-272.518,0,0,0,1,46,0,1
3455,1,0,4225.22,-1027.3,-4288.26,0,0.997238,0,-0.0742711,647,322,1
3456,1,0,4231.05,-1043,-4182.79,0,0,0,1,647,322,1
3457,1,0,4264.77,-1039.23,-4075.93,0,-0.819104,0,0.573645,647,322,1
3458,1,0,4101.54,-1054.95,-4036.02,0,-0.749984,0,0.661456,647,21,1
3487,1,0,-5750.82,-971.532,-623.311,0,-0.468696,0,0.883359,22,1357,1
3515,1,0,4267.67,-1045.57,-3982.56,0,0,0,1,647,322,1
3571,1,0,4016.14,-1054.54,-3908.93,0,0,0,1,647,21,1
3621,1,0,27.1478,-367.182,-27.1619,0,0.999213,0,-0.0396693,636,335,1
3637,1,0,4154.94,-1057.32,-4082.93,0,0,0,1,647,21,1
3638,1,0,4158.19,-1056.74,-4080.57,0,0,0,1,647,21,1
3639,1,0,4161.51,-1054.92,-4078.36,0,0,0,1,647,21,1
3640,1,0,4151.04,-1057.18,-4083.77,0,0,0,1,647,21,1
3641,1,0,4086.56,-1056.59,-3993.05,0,0,0,1,647,21,1
3642,1,0,4084.03,-1054.82,-3979.1,0,0,0,1,647,21,1
3643,1,0,4091.53,-1056.15,-3998.94,0,0,0,1,647,21,1
3644,1,0,4084.69,-1056,-3986.37,0,0,0,1,647,21,1
3645,1,0,4204.16,-1042.66,-4025.31,0,0,0,1,647,21,1
3646,1,0,4202.52,-1043.81,-4028.5,0,0,0,1,647,21,1
3647,1,0,4202.91,-1044.22,-4031.85,0,0,0,1,647,21,1
3648,1,0,4203.35,-1044.55,-4035.51,0,0,0,1,647,21,1
3649,1,0,4145.08,-1053.37,-3954.29,0,0,0,1,647,21,1
3650,1,0,4147.13,-1054.03,-3958.1,0,0,0,1,647,21,1
3651,1,0,4149.52,-1054,-3963.53,0,0,0,1,647,21,1
3652,1,0,4141.69,-1054.39,-3949.73,0,0,0,1,647,21,1
3663,1,0,27.3539,-367.182,-29.6905,0,0.999456,0,-0.0329887,636,335,1
3671,1,0,37.7406,-394.009,385.893,0,0.0172634,0,0.999851,636,335,1
3672,1,0,4139.82,-1055.02,-3964.45,0,0,0,1,647,21,1
3673,1,0,4094.04,-1056.49,-3991.57,0,0,0,1,647,21,1
3674,1,0,4150.39,-1056.98,-4074.84,0,0,0,1,647,21,1
3675,1,0,4195.42,-1046.23,-4039.24,0,0,0,1,647,21,1
3676,1,0,-240.11,-528.654,1264.47,0,0.969646,0,-0.244515,636,335,1
3677,1,0,-232.806,-525.636,1282.7,0,0.965892,0,0.258946,636,335,1
3694,1,0,122.678,-575.743,-563.373,0,0,0,1,636,335,1
3695,1,0,-174.495,-633.121,54.3019,0,0,0,1,636,335,1
3696,1,0,-121.114,-633.69,20.8157,0,-0.304332,0,0.952566,636,335,1
3697,1,0,-173.459,-633.69,6.84365,0,-0.23925,0,0.970958,636,335,1
3698,1,0,-162.625,-633.69,35.4506,0,-0.299532,0,0.954086,636,335,1
3699,1,0,-130.487,-633.69,31.1158,0,0,0,1,636,335,1
3700,1,0,-237.559,-528.653,1262.16,0,0.969646,0,-0.244515,636,335,1
3701,1,0,-235.43,-528.653,1260.07,0,0.969646,0,-0.244515,636,335,1
3702,1,0,-243.29,-528.653,1265.42,0,0.969646,0,-0.244515,636,335,1
3703,1,0,-246.339,-528.653,1265.65,0,0.97375,0,-0.227618,636,335,1
3704,1,0,-282.787,-590.393,370.774,0,0,0,1,636,335,1
3705,1,0,-142.703,-633.69,52.4998,0,0,0,1,636,335,1
3706,1,0,-188.502,-633.69,16.0163,0,0,0,1,636,335,1
3707,1,0,-145.652,-630.722,7.07461,0,0,0,1,636,335,1
3708,1,0,-159.791,-632.344,-68.6893,0,0,0,1,636,335,1
3709,1,0,-163.636,-628.054,-90.568,0,0,0,1,636,335,1
3710,1,0,-137.165,-626.114,-95.7561,0,0,0,1,636,335,1
3711,1,0,-26.7283,-630.9,-124.485,0,0,0,1,636,335,1
3712,1,0,-54.2192,-629.949,-99.6534,0,0,0,1,636,335,1
3793,1,0,4093.05,-1056.46,-3985.89,0,-0.316118,0,0.94872,647,21,1
3794,1,0,4098.76,-1056.14,-3981.98,0,-0.303826,0,0.952727,647,21,1
3795,1,0,4104.88,-1055.98,-3978.42,0,-0.351854,0,0.936055,647,21,1
3796,1,0,4109.86,-1056.1,-3974.07,0,-0.406338,0,0.913723,647,21,1
3812,1,0,4249.09,-1079.28,-4069.26,0,-0.819104,0,0.573645,647,322,1
3813,1,0,4254.32,-984.279,-4069.91,0,0.848187,0,0.529696,647,322,1
3814,1,0,4238.45,-1041.58,-4039.61,0,0,0,1,647,322,1
3815,1,0,4108.89,-1056.15,-3998.1,0,0.521109,0,0.85349,647,21,1
3816,1,0,4113.42,-1056.71,-3995.18,0,0.436234,0,0.899833,647,21,1
3817,1,0,4116.93,-1056.31,-4000.59,0,0.705181,0,0.709027,647,21,1
3818,1,0,4112.65,-1056,-4001.55,0,0.722097,0,0.691791,647,21,1
3822,1,0,4162.78,-1044.9,-4003.59,0,0,0,1,647,21,1
3823,1,0,4110.64,-1053.46,-3963.47,0,0,0,1,647,21,1
3824,1,0,4035.31,-1055.96,-3946.13,0,0,0,1,647,21,1
3839,1,0,4059.08,-1040.66,-4047.19,0,-0.749984,0,0.661456,647,21,1
3840,1,0,4053.47,-1042.98,-4036.34,0,-0.749984,0,0.661456,647,21,1
3841,1,0,4050.83,-1054.86,-4035.67,0,-0.749984,0,0.661456,647,21,1
3842,1,0,4061.71,-1053.65,-4052.36,0,-0.749984,0,0.661456,647,21,1
3853,1,0,4068.93,-1037.15,-3955.34,0,0.2728,0,0.962071,647,21,1
3854,1,0,4068.57,-1037.15,-3944.43,0,0.2728,0,0.962071,647,21,1
3855,1,0,4065.81,-1052.87,-3940.6,0,0.272803,0,0.96207,647,21,1
3856,1,0,4064.09,-1039.85,-3949.16,0,0.272803,0,0.96207,647,21,1
3857,1,0,4060.01,-1044.59,-3937.77,0,0.272803,0,0.96207,647,21,1
3858,1,0,4119.8,-1035.91,-3951.97,0,0.272803,0,0.96207,647,21,1
3859,1,0,4107.82,-1041.16,-3956.97,0,0.272803,0,0.96207,647,21,1
3860,1,0,4124.67,-1038.9,-3940.55,0,0.272803,0,0.96207,647,21,1
3861,1,0,4108.24,-1026.56,-3949,0,0.2728,0,0.962071,647,21,1
3862,1,0,4123.88,-1050.14,-3956.08,0,0.272803,0,0.96207,647,21,1
3863,1,0,4297.73,-1039.52,-4105.42,0,-0.0214034,0,0.999771,647,322,1
3864,1,0,4283.02,-1032.33,-4098.23,0,-0.819104,0,0.573645,647,322,1
3865,1,0,4275.78,-1032.26,-4097.89,0,-0.819104,0,0.573645,647,322,1
3866,1,0,4270.59,-1036.22,-4098.23,0,-0.819104,0,0.573645,647,322,1
3867,1,0,4276.07,-1039.7,-4113.39,0,-0.843253,0,0.537517,647,322,1
3868,1,0,4185.34,-1038.33,-4006.46,0,-4.47035e-08,0,1,647,21,1
3869,1,0,4193.58,-1027.1,-4008.57,0,-4.47035e-08,0,1,647,21,1
3870,1,0,4184.07,-1020.19,-4004.54,0,-4.47035e-08,0,1,647,21,1
3871,1,0,4190.17,-1013.77,-4013.1,0,-4.47035e-08,0,1,647,21,1
3873,1,0,4129.2,-1057.46,-4080.28,0,0,0,1,647,21,1
3874,1,0,4135.17,-1057.12,-4088.37,0,0,0,1,647,21,1
3875,1,0,4137.33,-1056.93,-4072.34,0,0,0,1,647,21,1
3876,1,0,4138.78,-1057.37,-4090.05,0,0,0,1,647,21,1
3877,1,0,4083.15,-1044.18,-4017.69,0,-0.749984,0,0.661456,647,21,1
3878,1,0,4122.18,-1056.07,-4062.73,0,0,0,1,647,21,1
3879,1,0,4091.41,-1053.59,-4015.62,0,-0.749984,0,0.661456,647,21,1
3880,1,0,4094.5,-1044.02,-4007.97,0,-0.749984,0,0.661456,647,21,1
3881,1,0,4103.29,-1055.13,-4024.08,-1.12438e-08,0.66327,-6.78765e-08,0.74838,647,21,1
3882,1,0,4147.62,-1028.15,-3988.48,0,-0.505669,0,0.862728,647,21,1
3883,1,0,4152.17,-1036.19,-3982.65,0,-0.505669,0,0.862728,647,21,1
3884,1,0,4132.05,-1052.78,-3999.12,0,-9.48785e-09,-3.72529e-09,1,647,21,1
3885,1,0,4148.33,-1050.38,-4011.15,0,0,0,1,647,21,1
3886,1,0,4141.36,-1050.47,-3994.27,-3.75439e-09,2.32831e-10,0,1,647,21,1
3890,1,0,4064.31,-1056.8,-4129.35,0,0,0,1,647,322,253
