"ID","assetPath","assetPathInFlux","color"
1,"Sky\TestReference.sky","Sky\NorthernWilds_Flux.sky",4278210303
4,"Sky\Murkmire_SZ_TheBreach_001.sky","Sky\TestReference.sky",4287496697
5,"Sky\Murkmire_SZ_Osun002.sky","Sky\TestReference.sky",4282326277
6,"Sky\Algoroc_Snowy02.sky","Sky\NorthernWilds_Flux.sky",4281854482
7,"Sky\Algoroc_StripMine3.sky","Sky\NorthernWilds_Flux.sky",4279362027
8,"Sky\Algoroc_Loftite2.sky","Sky\NorthernWilds_Flux.sky",4294966784
9,"Sky\Algoroc_Grimstone02.sky","Sky\NorthernWilds_Flux.sky",4282254327
10,"Sky\Algoroc_Main_008.sky","Sky\NorthernWilds_Flux.sky",4289473085
11,"Sky\Algoroc_Main_008.sky","Sky\NorthernWilds_Flux.sky",4294459392
13,"Sky\Galeras_Main_007.sky","Sky\FluxIdea01.sky",4278255462
14,"Sky\Ellevar_Main_005.sky","Sky\NorthernWilds_Flux.sky",4294901826
15,"Sky\Galeras_SZ_Chasm001.sky","Sky\FluxIdea01.sky",4279628872
16,"Sky\Ellevar_SZ_CreepyForest_001.sky","Sky\FluxIdea01.sky",4288207103
17,"Sky\Auroria_Main_005.sky","Sky\FluxIdea01.sky",4294946374
19,"Sky\Galeras_SZ_MurghCamps_002.sky","Sky\FluxIdea01.sky",4292683218
20,"Sky\Galeras_SZ_DominionBase_000.sky","Sky\FluxIdea01.sky",4282323598
21,"Sky\WhiteVale_Main03.sky","Sky\Flux_Dark.sky",4287534591
22,"Sky\Ellevar_SZ_MainStorm.sky","Sky\FluxIdea01.sky",4291804940
23,"Sky\Galeras_SZ_Falkrin_002.sky","Sky\FluxIdea01.sky",4293961499
26,"Sky\Celestion_Main_003.sky","Sky\FluxIdea01.sky",4287081519
27,"Sky\Murkmire_Main02.sky","Sky\FluxIdea01.sky",4278706943
28,"Sky\Auroria_SZ_Swamps_001.sky","Sky\FluxIdea01.sky",4287655843
29,"Sky\Deradune_SZ_Beaches_002.sky","Sky\FluxIdea01.sky",4285489084
30,"Sky\Galeras_SZ_Forested_000.sky","Sky\TestReference.sky",4294901760
31,"Sky\Olyssia_Main.sky","Sky\FluxIdea01.sky",4286586399
35,"Sky\Interoir_Test01.sky","Sky\FluxIdea01.sky",4286611584
38,"Sky\Malgrave_Main.sky","Sky\FluxIdea01.sky",4291902010
39,"sky\Malgrave_Rocky.sky","Sky\FluxIdea01.sky",4286988753
50,"Sky\Murkmire_SZ_SpookyForest_000.sky","Sky\FluxIdea01.sky",4287006342
52,"Sky\Deradune_Main_012.sky","Sky\NorthernWilds_Flux.sky",4291429637
67,"Sky\Deradune_SZ_FalkrinMurge_004.sky","Sky\FluxIdea01.sky",4280377537
68,"Sky\Dreadmoor_Main02.sky","Sky\FluxIdea01.sky",4282694439
69,"Sky\Galeras_SZ_FocusofAir_02.sky","Sky\FluxIdea01.sky",4294901760
70,"Sky\Malgrave_SZ_Chasms_01.sky","Sky\FluxIdea01.sky",4278683521
71,"sky\fullBright.sky","Sky\FluxIdea01.sky",4286611584
72,"Sky\HalonRing_Main_004.sky","Sky\NorthernWilds_Flux.sky",4294949627
73,"Sky\TestReference.sky","Sky\FluxIdea01.sky",4286611584
83,"Sky\SmoretTestSky.sky","Sky\FluxIdea01.sky",4286611584
85,"Sky\LevianBay_Main_003.sky","Sky\FluxIdea01.sky",4291085607
89,"Sky\CaveAmbient.sky","Sky\FluxIdea01.sky",4285441207
90,"Sky\JackTest.sky","Sky\FluxIdea01.sky",4294901760
94,"Sky\Deradune_SZ_Tarpits_002.sky","Sky\NorthernWilds_Flux.sky",4285336179
97,"Sky\Death.sky","Sky\Death.sky",4294966784
100,"Sky\CaveAmbient.sky","Sky\FluxIdea01.sky",4284462785
101,"Sky\Deradune_SZ_AurinPortal_003.sky","Sky\NorthernWilds_Flux.sky",4278210303
102,"Sky\Murkmire_SZ_SwampMarsh_001.sky","Sky\NorthernWilds_Flux.sky",4281204483
103,"Sky\Murkmire_SZ_ForestFall_001.sky","Sky\NorthernWilds_Flux.sky",4294901760
108,"Sky\CaveAmbient.sky","Sky\FluxIdea01.sky",4284778882
109,"Sky\Wilderun_Main03.sky","Sky\FluxIdea01.sky",4279533008
111,"Sky\Deradune_Moodie_003.sky","Sky\NorthernWilds_Flux.sky",4278530762
113,"Sky\Deradune_Blood04.sky","Sky\NorthernWilds_Flux.sky",4288368977
117,"Sky\Celestion_SZ_Bees_002.sky","Sky\FluxIdea01.sky",4286611584
118,"Sky\cloudtest001.sky","Sky\FluxIdea01.sky",4286611584
119,"Sky\Celestion_SZ_QuietForest.sky","Sky\FluxIdea01.sky",4294901760
120,"Sky\Celestion_SZ_Moodie_002.sky","Sky\FluxIdea01.sky",4279560943
122,"Sky\Cloud_Test_Algoroc_Main3.sky","Sky\NorthernWilds_Flux.sky",4278436902
123,"Sky\CrimsonIsle_Main_004.sky","Sky\NorthernWilds_Flux.sky",4287238922
124,"Sky\Celestion_SZ_Drakken_002.sky","Sky\NorthernWilds_Flux.sky",4294164995
125,"Sky\Celestion_SZ_BurnedForest_002.sky","Sky\FluxIdea01.sky",4293838348
126,"Sky\Deradune_SZ_Terminite_004.sky","Sky\NorthernWilds_Flux.sky",4289164567
130,"Sky\Algoroc_Spooky_Sky.sky","Sky\NorthernWilds_Flux.sky",4278210303
133,"Sky\Icecave_Skeech_002.sky","Sky\FluxIdea01.sky",4286611584
134,"Sky\NorthernWilds_002.sky","Sky\NorthernWilds_Flux.sky",4281555612
135,"Sky\NorthernWilds_Tower_002.sky","Sky\NorthernWilds_Flux.sky",4294743299
136,"Sky\NorthernWilds_Skeetch_002.sky","Sky\NorthernWilds_Flux.sky",4291747143
137,"Sky\Interior_JaggedRockMine_002.sky","Sky\NorthernWilds_Flux.sky",4291429637
138,"Sky\Interior_SpaceshipBlue.sky","Sky\NorthernWilds_Flux.sky",4283349715
139,"Sky\Interior_EldanDark2.sky","Sky\NorthernWilds_Flux.sky",4284342509
140,"Sky\Interior_AurinMatriarch.sky","Sky\NorthernWilds_Flux.sky",4285771325
141,"Sky\Interior_PumeraMine_002.sky","Sky\NorthernWilds_Flux.sky",4291429637
142,"Sky\SpaceShipDark.sky","Sky\FluxIdea01.sky",4281569732
143,"Sky\Ellevar_SZ_RainyMisty_001.sky","Sky\FluxIdea01.sky",4282475810
144,"Sky\Interior_DrakkenHousing_002.sky","Sky\FluxIdea01.sky",4286611584
145,"Sky\NorthernWilds_Imperium_002.sky","Sky\NorthernWilds_Flux.sky",4294901993
152,"Sky\Interior_ChuaHouse.sky","Sky\NorthernWilds_Flux.sky",4284342509
154,"Sky\Interior_terminite.sky","Sky\NorthernWilds_Flux.sky",4284681314
155,"Sky\Outerspace.sky","Sky\NorthernWilds_Flux.sky",4278190080
156,"Sky\Interior_CrashedShip.sky","Sky\NorthernWilds_Flux.sky",4284342509
157,"Sky\Deradune_SZ_Terraformer_002.sky","Sky\TestReference.sky",4286611584
158,"Sky\Deradune_SZ_Terraformer_ON_002.sky","Sky\TestReference.sky",4286611584
159,"Sky\Housing_IceCave.sky","Sky\FluxIdea01.sky",4284253601
160,"Sky\Housing_Chua.sky","Sky\NorthernWilds_Flux.sky",4284869981
161,"Sky\Housing_Drakken.sky","Sky\FluxIdea01.sky",4288429373
162,"Sky\Interior_Housing_Default2.sky","Sky\FluxIdea01.sky",4291410833
163,"Sky\Interior_Housing_Default3.sky","Sky\FluxIdea01.sky",4291410833
164,"Sky\Housing_Aurin.sky","Sky\NorthernWilds_Flux.sky",4285771325
165,"Sky\Housing_Hellfire.sky","Sky\FluxIdea01.sky",4293416470
166,"Sky\Housing_Green_Goth_002.sky","Sky\FluxIdea01.sky",4287351160
167,"Sky\Housing_Steamy.sky","Sky\FluxIdea01.sky",4291018656
168,"Sky\Housing_Underwater.sky","Sky\FluxIdea01.sky",4282221259
169,"Sky\Housing_Neon.sky","Sky\FluxIdea01.sky",4285857536
170,"Sky\Housing_Cute.sky","Sky\FluxIdea01.sky",4293717326
171,"Sky\Interior_AurinHouse2.sky","Sky\NorthernWilds_Flux.sky",4285771325
172,"Sky\Interior_EldanOcculusBoss.sky","Sky\NorthernWilds_Flux.sky",4292386879
174,"Sky\IcecaveSkeech_Fog_002.sky","Sky\FluxIdea01.sky",4283275237
176,"Sky\CopyofAuroria_SZ_GronyxValley_001.sky","Sky\FluxIdea01.sky",4280377537
177,"Sky\Interior_GalerasInn_002.sky","Sky\FluxIdea01.sky",4282473094
178,"Sky\Interior_AlgorocMine_002.sky","Sky\NorthernWilds_Flux.sky",4291429637
179,"Sky\Interior_RMC_Upper.sky","Sky\FluxIdea01.sky",4284778882
180,"Sky\Interior_AlgorocMine_Foggy_002.sky","Sky\NorthernWilds_Flux.sky",4291429637
181,"Sky\Whitevale_sz_tundra04.sky","Sky\NorthernWilds_Flux.sky",4293239317
182,"Sky\Whitevale_SZ_Glacial.sky","Sky\NorthernWilds_Flux.sky",4285336179
183,"Sky\Whitevale_SZ_Arcterra.sky","Sky\NorthernWilds_Flux.sky",4294772276
184,"Sky\Whitevale_SZ_FocusOfWater01.sky","Sky\NorthernWilds_Flux.sky",4289394448
185,"Sky\Interior_EldanRuinedTower.sky","Sky\FluxIdea01.sky",4286611584
186,"Sky\Auroria_SZ_Digsite_001.sky","Sky\NorthernWilds_Flux.sky",4281589483
187,"Sky\CopyofAuroria_SZ_HayFields_001.sky","Sky\FluxIdea01.sky",4294836005
188,"Sky\Auroria_SZ_OsunAttack_002.sky","Sky\FluxIdea01.sky",4290779624
189,"Sky\Auroria_SZ_Buzzbing_003.sky","Sky\FluxIdea01.sky",4280280554
190,"Sky\Auroria_SZ_Aurin_001.sky","Sky\FluxIdea01.sky",4281527089
191,"Sky\Auroria_SZ_OsunCity_002.sky","Sky\FluxIdea01.sky",4283843083
194,"Sky\Galeras_SZ_OpenBattlefield_001.sky","Sky\FluxIdea01.sky",4293961499
197,"Sky\Interior_Earthrender_Creepy_003.sky","Sky\FluxIdea01.sky",4287351160
198,"Sky\Interior_Earthrender_Foggy_004.sky","Sky\FluxIdea01.sky",4281709254
199,"Sky\Ellevar_SZ_Deforest_000.sky","Sky\FluxIdea01.sky",4280025315
200,"Sky\Ellevar_SZ_PastoralValley_001.sky","Sky\FluxIdea01.sky",4278253322
201,"Sky\Ellevar_SZ_IkthianBase001.sky","Sky\FluxIdea01.sky",4278255567
203,"Sky\Interior_Protostar.sky","Sky\FluxIdea01.sky",4280522216
204,"Sky\Algoroc_No_Night.sky","Sky\NorthernWilds_Flux.sky",4286664252
206,"Sky\Jeff_Tse_Test.sky","Sky\NorthernWilds_Flux.sky",4294459392
207,"Sky\Algoroc_SZ_ColdMountainSlug.sky","Sky\NorthernWilds_Flux.sky",4278255382
208,"Sky\Interior_YetiIceCave_002.sky","Sky\FluxIdea01.sky",4286611584
209,"Sky\Interior_GalerasInnCool.sky","Sky\FluxIdea01.sky",4282473094
210,"Sky\Interior_GalerasInnCoolFoggy.sky","Sky\FluxIdea01.sky",4282473094
211,"Sky\Auroria_Main_NIGHTONLY.sky","Sky\FluxIdea01.sky",4294946374
212,"Sky\Auroria_Main_MorningOnly.sky","Sky\FluxIdea01.sky",4294946374
214,"Sky\Murkmire_SZ_Field.sky","Sky\FluxIdea01.sky",4294936327
215,"Sky\Galeras_SZ_Chasm_LessDusty_000.sky","Sky\FluxIdea01.sky",4293642772
216,"Sky\Everstar_Main_005.sky","Sky\FluxIdea01.sky",4294865668
217,"Sky\HalonRing_SZ_Breathable_03.sky","Sky\NorthernWilds_Flux.sky",4279488494
218,"Sky\HalonRing_SZ_Hazy_01.sky","Sky\NorthernWilds_Flux.sky",4284511098
219,"Sky\HalonRing_SZ_HealtyAtmo_02.sky","Sky\NorthernWilds_Flux.sky",4294941440
220,"Sky\Interior_AlgorocMine_Dark_002.sky","Sky\NorthernWilds_Flux.sky",4291429637
221,"Sky\Malgrave_QT_Daytime.sky","Sky\FluxIdea01.sky",4291902010
222,"Sky\Malgrave_QT_Nighttime.sky","Sky\FluxIdea01.sky",4289201394
223,"Sky\Malgrave_QT_DuskDawn.sky","Sky\FluxIdea01.sky",4294941440
224,"Sky\Malgrave_QT_Storm.sky","Sky\FluxIdea01.sky",4291902010
225,"Sky\Interior_Arc_StartPod.sky","Sky\FluxIdea01.sky",4278838248
226,"Sky\Interior_Arc_Tram.sky","Sky\NorthernWilds_Flux.sky",4282653148
227,"Sky\Malgrave_QT_HeatWave.sky","Sky\FluxIdea01.sky",4285590035
228,"Sky\Interior_Arc_Recovery_002.sky","Sky\NorthernWilds_Flux.sky",4294949627
229,"Sky\Interior_Arc_LifeSupport.sky","Sky\FluxIdea01.sky",4286611584
230,"Sky\Interior_Arc_LivingQuarters.sky","Sky\FluxIdea01.sky",4286611584
231,"Sky\Interior_Arc_DockingBay_01.sky","Sky\FluxIdea01.sky",4286611584
232,"Sky\Interior_Arc_Medbay_01.sky","Sky\FluxIdea01.sky",4278588906
233,"Sky\Interior_Arc_MedbayRedRoom.sky","Sky\FluxIdea01.sky",4293787648
