"ID","description","RippleColorTex","RippleNormalTex","Scale","Rotation","Speed","OscFrequency","OscMagnitude","OscRotation","OscPhase","OscMinLayerWeight","OscMaxLayerWeight","OscLayerWeightPhase","materialBlend"
1,"Preview Layer Do Not Edit","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Normal.tex",1,0,0.1,0,0,0,0,1,1,0,0
2,"Lake_+X","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Normal.tex",1.48438,1.1781,0.109375,0.195313,0.34375,4.85965,1.5708,0.476563,0.71875,5,0
3,"Lake_-X","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Normal.tex",1,3.14159,0.1,2.30469,0.0390625,2.45437,0,0.507813,0.523438,0,0
4,"Lake_+Z","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Normal.tex",1,1.5708,0.1,0,0,0,0,0.34375,0.453125,0,0
28,"Lake_-Z","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Normal.tex",1,0,0.1,0,0,0,0,0.398438,0.234375,0,0
30,"Shoreline01","Art\Water\Temp\Water_Shorline_Wave_000_color.tex","Art\Water\Temp\Water_Pond_Ripple_001_normal.tex",0.15625,0,0,3.98438,0.015625,0,1.32536,0.664063,1,0,0
31,"Shoreline02","Art\Water\Temp\Water_ShorelineRippleTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_ShorelineRippleTEMP_BlueGreen_000_Normal.tex",0.703125,0,0,3.125,0.01,0,1.5708,0.6875,0.835938,1.17188,0
32,"Pond+X","Art\Water\Temp\Water_BaseShapesTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_BaseShapesTEMP_BlueGreen_000_Normal.tex",0.15625,0,0,3.59375,0.005,4.85965,0,0.390625,0.664063,0,0
33,"Pond -X","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_PondTEMP_Grey_000_Normal.tex",0.9375,1.5708,0.148438,3.55469,0.015625,3.43612,1.5708,0.0859375,0.140625,0.15625,0
34,"Pond +Z","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_CircularRipples_Grey_000_Normal.tex",0.46875,3.14159,0,3.86719,0.005,2.30711,3.14159,0.28125,0.203125,0.3125,0
35,"Pond -Z","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_CircularRipples_Grey_000_Normal.tex",0.3125,4.71239,0,4.29688,0.005,4.85965,4.71239,0.539063,1,0.625,0
59,"river_base_slow","Art\Water\Temp\test_001_color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.3125,1.5708,0.3,0,0,3.14159,0,0.09375,0.12,-4.14063,0
60,"River_ripples_falls_splash_large","Art\Water\Temp\Water_Pond_Ripple_001_color.tex","Art\Water\Temp\Water_Test_02_normal.tex",0.12,1.5708,2.2,0.742188,0,1.12901,0,0.8125,1,0.703125,0
