"ID","minXpForLevel","baseQuestXpPerLevel","abilityPointsPerLevel","attributePointsPerLevel","baseRepRewardPerLevel"
1,0,100,0,0,0
2,655,100,0,0,0
3,1710,152,0,0,0
4,2860,152,0,0,0
5,4320,152,0,0,0
6,6280,245,0,0,376
7,8920,245,0,0,376
8,12510,245,0,0,376
9,17330,537,0,0,376
10,23860,537,1,0,376
11,32470,537,1,0,376
12,43830,968,1,0,376
13,58570,968,1,0,376
14,77520,1035,1,0,226
15,101530,1035,1,0,226
16,131820,1447,1,0,226
17,169380,1447,1,0,226
18,215750,2617,1,0,226
19,272350,2617,1,0,226
20,340950,3283,1,0,226
21,423300,3283,1,0,226
22,521770,3648,1,0,266
23,638250,3648,1,0,266
24,775580,6155,1,0,266
25,936310,6155,1,0,266
26,1123510,13326,1,0,266
27,1340160,13326,1,0,266
28,1590200,13326,1,0,266
29,1876730,17212,1,0,362
30,2204290,17212,1,0,362
31,2576890,17212,1,0,362
32,2999270,24771,1,0,362
33,3475990,24771,1,0,362
34,4012950,24771,1,0,362
35,4614770,34632,1,0,362
36,5288090,34632,1,0,362
37,6038720,34632,1,0,362
38,6873450,47209,1,0,362
39,7798740,47209,1,0,362
40,8822880,47209,1,0,362
41,9952300,55114,1,0,294
42,11196140,55114,1,0,294
43,12562350,55114,1,0,294
44,14060140,55183,1,0,294
45,15698220,55183,1,0,294
46,17487670,71423,1,0,294
47,19437010,71423,1,0,333
48,21558320,71423,1,0,333
49,23862010,71423,1,0,333
50,26360090,75000,1,0,100
51,2147483647,46000,1,2,650
52,2147483647,46000,1,2,650
53,2147483647,46000,1,2,650
54,2147483647,46000,1,2,650
55,2147483647,46000,1,2,650
56,2147483647,46000,1,2,650
57,2147483647,46000,1,2,650
58,2147483647,46000,1,2,650
59,2147483647,46000,1,2,650
60,2147483647,46000,1,2,650
61,2147483647,0,5,5,650
62,2147483647,0,5,5,650
63,2147483647,0,5,5,650
64,2147483647,0,5,5,650
65,2147483647,0,5,5,650
66,2147483647,0,5,5,650
67,2147483647,0,5,5,650
68,2147483647,0,5,5,650
69,2147483647,0,5,5,650
70,2147483647,0,5,5,650
71,2147483647,0,5,5,650
72,2147483647,0,5,5,650
73,2147483647,0,5,5,650
74,2147483647,0,5,5,650
75,2147483647,0,5,5,650
